ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000052833	Sae1	GO:0043008	ATP-dependent protein binding	ATP-dependent_protein_binding
ENSMUSG00000021701	Plk2	GO:0043008	ATP-dependent protein binding	ATP-dependent_protein_binding
ENSMUSG00000042632	Pla2g6	GO:0043008	ATP-dependent protein binding	ATP-dependent_protein_binding
ENSMUSG00000023944	Hsp90ab1	GO:0043008	ATP-dependent protein binding	ATP-dependent_protein_binding
ENSMUSG00000000826	Dnajc5	GO:0043008	ATP-dependent protein binding	ATP-dependent_protein_binding
ENSMUSG00000034187	Nsf	GO:0043008	ATP-dependent protein binding	ATP-dependent_protein_binding
ENSMUSG00000019432	Ddx39b	GO:0043008	ATP-dependent protein binding	ATP-dependent_protein_binding
ENSMUSG00000034593	Myo5a	GO:0043008	ATP-dependent protein binding	ATP-dependent_protein_binding
ENSMUSG00000007207	Stx1a	GO:0043008	ATP-dependent protein binding	ATP-dependent_protein_binding
ENSMUSG00000079037	Prnp	GO:0043008	ATP-dependent protein binding	ATP-dependent_protein_binding
