ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000000708	Kat2b	GO:0031672	A band	A_band
ENSMUSG00000032826	Ank2	GO:0031672	A band	A_band
ENSMUSG00000031543	Ank1	GO:0031672	A band	A_band
ENSMUSG00000044086	Lmod3	GO:0031672	A band	A_band
ENSMUSG00000002100	Mybpc3	GO:0031672	A band	A_band
ENSMUSG00000019907	Ppp1r12a	GO:0031672	A band	A_band
ENSMUSG00000021313	Ryr2	GO:0031672	A band	A_band
ENSMUSG00000033196	Myh2	GO:0031672	A band	A_band
ENSMUSG00000056328	Myh1	GO:0031672	A band	A_band
ENSMUSG00000026313	Hdac4	GO:0031672	A band	A_band
ENSMUSG00000073557	Ppp1r12b	GO:0031672	A band	A_band
ENSMUSG00000012405	Rpl15	GO:0031672	A band	A_band
ENSMUSG00000018845	Unc45b	GO:0031672	A band	A_band
ENSMUSG00000059741	Myl3	GO:0031672	A band	A_band
ENSMUSG00000061086	Myl4	GO:0031672	A band	A_band
ENSMUSG00000051747	Ttn	GO:0031672	A band	A_band
ENSMUSG00000029614	Rpl6	GO:0031672	A band	A_band
ENSMUSG00000043716	Rpl7	GO:0031672	A band	A_band
ENSMUSG00000032399	Rpl4	GO:0031672	A band	A_band
ENSMUSG00000013936	Myl2	GO:0031672	A band	A_band
ENSMUSG00000020469	Myl7	GO:0031672	A band	A_band
