ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000060992	Copz1	GO:0030663	COPI-coated vesicle membrane	COPI-coated_vesicle_membrane
ENSMUSG00000032353	Tmed3	GO:0030663	COPI-coated vesicle membrane	COPI-coated_vesicle_membrane
ENSMUSG00000010830	Kdelr3	GO:0030663	COPI-coated vesicle membrane	COPI-coated_vesicle_membrane
ENSMUSG00000032458	Copb2	GO:0030663	COPI-coated vesicle membrane	COPI-coated_vesicle_membrane
ENSMUSG00000032096	Arcn1	GO:0030663	COPI-coated vesicle membrane	COPI-coated_vesicle_membrane
ENSMUSG00000051232	Tmem199	GO:0030663	COPI-coated vesicle membrane	COPI-coated_vesicle_membrane
ENSMUSG00000055681	Cope	GO:0030663	COPI-coated vesicle membrane	COPI-coated_vesicle_membrane
ENSMUSG00000030754	Copb1	GO:0030663	COPI-coated vesicle membrane	COPI-coated_vesicle_membrane
ENSMUSG00000021192	Golga5	GO:0030663	COPI-coated vesicle membrane	COPI-coated_vesicle_membrane
ENSMUSG00000025607	Copg2	GO:0030663	COPI-coated vesicle membrane	COPI-coated_vesicle_membrane
ENSMUSG00000026553	Copa	GO:0030663	COPI-coated vesicle membrane	COPI-coated_vesicle_membrane
ENSMUSG00000030058	Copg1	GO:0030663	COPI-coated vesicle membrane	COPI-coated_vesicle_membrane
ENSMUSG00000018672	Copz2	GO:0030663	COPI-coated vesicle membrane	COPI-coated_vesicle_membrane
ENSMUSG00000029390	Tmed2	GO:0030663	COPI-coated vesicle membrane	COPI-coated_vesicle_membrane
ENSMUSG00000002778	Kdelr1	GO:0030663	COPI-coated vesicle membrane	COPI-coated_vesicle_membrane
ENSMUSG00000079111	Kdelr2	GO:0030663	COPI-coated vesicle membrane	COPI-coated_vesicle_membrane
