ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000031095	Cul4b	GO:0031464	Cul4A-RING E3 ubiquitin ligase complex	Cul4A-RING_E3_ubiquitin_ligase_complex
ENSMUSG00000031446	Cul4a	GO:0031464	Cul4A-RING E3 ubiquitin ligase complex	Cul4A-RING_E3_ubiquitin_ligase_complex
ENSMUSG00000021694	Ercc8	GO:0031464	Cul4A-RING E3 ubiquitin ligase complex	Cul4A-RING_E3_ubiquitin_ligase_complex
ENSMUSG00000029276	Glmn	GO:0031464	Cul4A-RING E3 ubiquitin ligase complex	Cul4A-RING_E3_ubiquitin_ligase_complex
ENSMUSG00000024740	Ddb1	GO:0031464	Cul4A-RING E3 ubiquitin ligase complex	Cul4A-RING_E3_ubiquitin_ligase_complex
ENSMUSG00000040782	Cop1	GO:0031464	Cul4A-RING E3 ubiquitin ligase complex	Cul4A-RING_E3_ubiquitin_ligase_complex
ENSMUSG00000030610	Det1	GO:0031464	Cul4A-RING E3 ubiquitin ligase complex	Cul4A-RING_E3_ubiquitin_ligase_complex
ENSMUSG00000025234	Arih1	GO:0031464	Cul4A-RING E3 ubiquitin ligase complex	Cul4A-RING_E3_ubiquitin_ligase_complex
ENSMUSG00000022400	Rbx1	GO:0031464	Cul4A-RING E3 ubiquitin ligase complex	Cul4A-RING_E3_ubiquitin_ligase_complex
ENSMUSG00000037474	Dtl	GO:0031464	Cul4A-RING E3 ubiquitin ligase complex	Cul4A-RING_E3_ubiquitin_ligase_complex
ENSMUSG00000005362	Crbn	GO:0031464	Cul4A-RING E3 ubiquitin ligase complex	Cul4A-RING_E3_ubiquitin_ligase_complex
ENSMUSG00000003031	Cdkn1b	GO:0031464	Cul4A-RING E3 ubiquitin ligase complex	Cul4A-RING_E3_ubiquitin_ligase_complex
ENSMUSG00000002109	Ddb2	GO:0031464	Cul4A-RING E3 ubiquitin ligase complex	Cul4A-RING_E3_ubiquitin_ligase_complex
ENSMUSG00000038324	Trpc4ap	GO:0031464	Cul4A-RING E3 ubiquitin ligase complex	Cul4A-RING_E3_ubiquitin_ligase_complex
