ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000021359	Tfap2a	GO:0003700	DNA-binding transcription factor activity	DNA-binding_transcription_factor_activity
ENSMUSG00000051490	Foxd4	GO:0003700	DNA-binding transcription factor activity	DNA-binding_transcription_factor_activity
ENSMUSG00000055639	Dach1	GO:0003700	DNA-binding transcription factor activity	DNA-binding_transcription_factor_activity
ENSMUSG00000022463	Srebf2	GO:0003700	DNA-binding transcription factor activity	DNA-binding_transcription_factor_activity
ENSMUSG00000071637	Cebpd	GO:0003700	DNA-binding transcription factor activity	DNA-binding_transcription_factor_activity
ENSMUSG00000005698	Ctcf	GO:0003700	DNA-binding transcription factor activity	DNA-binding_transcription_factor_activity
ENSMUSG00000031618	Nr3c2	GO:0003700	DNA-binding transcription factor activity	DNA-binding_transcription_factor_activity
ENSMUSG00000051469	Zfp24	GO:0003700	DNA-binding transcription factor activity	DNA-binding_transcription_factor_activity
ENSMUSG00000058794	Nfe2	GO:0003700	DNA-binding transcription factor activity	DNA-binding_transcription_factor_activity
ENSMUSG00000005148	Klf5	GO:0003700	DNA-binding transcription factor activity	DNA-binding_transcription_factor_activity
ENSMUSG00000072294	Klf12	GO:0003700	DNA-binding transcription factor activity	DNA-binding_transcription_factor_activity
ENSMUSG00000024619	Cdx1	GO:0003700	DNA-binding transcription factor activity	DNA-binding_transcription_factor_activity
ENSMUSG00000031688	Pou4f2	GO:0003700	DNA-binding transcription factor activity	DNA-binding_transcription_factor_activity
ENSMUSG00000024912	Fosl1	GO:0003700	DNA-binding transcription factor activity	DNA-binding_transcription_factor_activity
ENSMUSG00000046351	Zfp322a	GO:0003700	DNA-binding transcription factor activity	DNA-binding_transcription_factor_activity
ENSMUSG00000024922	Ovol1	GO:0003700	DNA-binding transcription factor activity	DNA-binding_transcription_factor_activity
ENSMUSG00000057469	E2f6	GO:0003700	DNA-binding transcription factor activity	DNA-binding_transcription_factor_activity
ENSMUSG00000020037	Rfx4	GO:0003700	DNA-binding transcription factor activity	DNA-binding_transcription_factor_activity
ENSMUSG00000031681	Smad1	GO:0003700	DNA-binding transcription factor activity	DNA-binding_transcription_factor_activity
ENSMUSG00000045440	Insm2	GO:0003700	DNA-binding transcription factor activity	DNA-binding_transcription_factor_activity
ENSMUSG00000041852	Tcf20	GO:0003700	DNA-binding transcription factor activity	DNA-binding_transcription_factor_activity
ENSMUSG00000050919	Zfp366	GO:0003700	DNA-binding transcription factor activity	DNA-binding_transcription_factor_activity
ENSMUSG00000021250	Fos	GO:0003700	DNA-binding transcription factor activity	DNA-binding_transcription_factor_activity
