ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000022708	Zbtb20	GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	DNA-binding_transcription_repressor_activity,_RNA_polymerase_II-specific
ENSMUSG00000055639	Dach1	GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	DNA-binding_transcription_repressor_activity,_RNA_polymerase_II-specific
ENSMUSG00000022463	Srebf2	GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	DNA-binding_transcription_repressor_activity,_RNA_polymerase_II-specific
ENSMUSG00000005698	Ctcf	GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	DNA-binding_transcription_repressor_activity,_RNA_polymerase_II-specific
ENSMUSG00000072294	Klf12	GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	DNA-binding_transcription_repressor_activity,_RNA_polymerase_II-specific
ENSMUSG00000055341	Zfp457	GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	DNA-binding_transcription_repressor_activity,_RNA_polymerase_II-specific
ENSMUSG00000057842	Zfp595	GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	DNA-binding_transcription_repressor_activity,_RNA_polymerase_II-specific
ENSMUSG00000021366	Hivep1	GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	DNA-binding_transcription_repressor_activity,_RNA_polymerase_II-specific
ENSMUSG00000036442	Thap11	GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	DNA-binding_transcription_repressor_activity,_RNA_polymerase_II-specific
ENSMUSG00000031688	Pou4f2	GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	DNA-binding_transcription_repressor_activity,_RNA_polymerase_II-specific
ENSMUSG00000021244	Ylpm1	GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	DNA-binding_transcription_repressor_activity,_RNA_polymerase_II-specific
ENSMUSG00000046351	Zfp322a	GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	DNA-binding_transcription_repressor_activity,_RNA_polymerase_II-specific
ENSMUSG00000024922	Ovol1	GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	DNA-binding_transcription_repressor_activity,_RNA_polymerase_II-specific
ENSMUSG00000057469	E2f6	GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	DNA-binding_transcription_repressor_activity,_RNA_polymerase_II-specific
ENSMUSG00000045440	Insm2	GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	DNA-binding_transcription_repressor_activity,_RNA_polymerase_II-specific
ENSMUSG00000034271	Jdp2	GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	DNA-binding_transcription_repressor_activity,_RNA_polymerase_II-specific
ENSMUSG00000023991	Foxp4	GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	DNA-binding_transcription_repressor_activity,_RNA_polymerase_II-specific
ENSMUSG00000031902	Nfatc3	GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	DNA-binding_transcription_repressor_activity,_RNA_polymerase_II-specific
ENSMUSG00000024927	Rela	GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	DNA-binding_transcription_repressor_activity,_RNA_polymerase_II-specific
