ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000039942	Ptger4	GO:0070371	ERK1 and ERK2 cascade	ERK1_and_ERK2_cascade
ENSMUSG00000021367	Edn1	GO:0070371	ERK1 and ERK2 cascade	ERK1_and_ERK2_cascade
ENSMUSG00000053216	Btn2a2	GO:0070371	ERK1 and ERK2 cascade	ERK1_and_ERK2_cascade
ENSMUSG00000063358	Mapk1	GO:0070371	ERK1 and ERK2 cascade	ERK1_and_ERK2_cascade
ENSMUSG00000022346	Myc	GO:0070371	ERK1 and ERK2 cascade	ERK1_and_ERK2_cascade
ENSMUSG00000040726	Hesx1	GO:0070371	ERK1 and ERK2 cascade	ERK1_and_ERK2_cascade
ENSMUSG00000022114	Spry2	GO:0070371	ERK1 and ERK2 cascade	ERK1_and_ERK2_cascade
ENSMUSG00000020053	Igf1	GO:0070371	ERK1 and ERK2 cascade	ERK1_and_ERK2_cascade
ENSMUSG00000058914	C1qtnf3	GO:0070371	ERK1 and ERK2 cascade	ERK1_and_ERK2_cascade
ENSMUSG00000039419	Cntnap2	GO:0070371	ERK1 and ERK2 cascade	ERK1_and_ERK2_cascade
ENSMUSG00000037225	Fgf2	GO:0070371	ERK1 and ERK2 cascade	ERK1_and_ERK2_cascade
ENSMUSG00000037211	Spry1	GO:0070371	ERK1 and ERK2 cascade	ERK1_and_ERK2_cascade
ENSMUSG00000032633	Flcn	GO:0070371	ERK1 and ERK2 cascade	ERK1_and_ERK2_cascade
ENSMUSG00000031948	Kars	GO:0070371	ERK1 and ERK2 cascade	ERK1_and_ERK2_cascade
ENSMUSG00000039005	Tlr4	GO:0070371	ERK1 and ERK2 cascade	ERK1_and_ERK2_cascade
ENSMUSG00000028017	Egf	GO:0070371	ERK1 and ERK2 cascade	ERK1_and_ERK2_cascade
ENSMUSG00000022285	Ywhaz	GO:0070371	ERK1 and ERK2 cascade	ERK1_and_ERK2_cascade
ENSMUSG00000024515	Smad4	GO:0070371	ERK1 and ERK2 cascade	ERK1_and_ERK2_cascade
ENSMUSG00000055994	Nod2	GO:0070371	ERK1 and ERK2 cascade	ERK1_and_ERK2_cascade
ENSMUSG00000057967	Fgf18	GO:0070371	ERK1 and ERK2 cascade	ERK1_and_ERK2_cascade
ENSMUSG00000032359	Ctsh	GO:0070371	ERK1 and ERK2 cascade	ERK1_and_ERK2_cascade
ENSMUSG00000078817	Nlrp12	GO:0070371	ERK1 and ERK2 cascade	ERK1_and_ERK2_cascade
ENSMUSG00000000182	Fgf23	GO:0070371	ERK1 and ERK2 cascade	ERK1_and_ERK2_cascade
ENSMUSG00000062960	Kdr	GO:0070371	ERK1 and ERK2 cascade	ERK1_and_ERK2_cascade
ENSMUSG00000031760	Mt3	GO:0070371	ERK1 and ERK2 cascade	ERK1_and_ERK2_cascade
ENSMUSG00000021732	Fgf10	GO:0070371	ERK1 and ERK2 cascade	ERK1_and_ERK2_cascade
ENSMUSG00000022015	Tnfsf11	GO:0070371	ERK1 and ERK2 cascade	ERK1_and_ERK2_cascade
ENSMUSG00000038058	Nod1	GO:0070371	ERK1 and ERK2 cascade	ERK1_and_ERK2_cascade
ENSMUSG00000021127	Zfp36l1	GO:0070371	ERK1 and ERK2 cascade	ERK1_and_ERK2_cascade
ENSMUSG00000035112	Wnk4	GO:0070371	ERK1 and ERK2 cascade	ERK1_and_ERK2_cascade
ENSMUSG00000040247	Tbc1d10c	GO:0070371	ERK1 and ERK2 cascade	ERK1_and_ERK2_cascade
ENSMUSG00000045817	Zfp36l2	GO:0070371	ERK1 and ERK2 cascade	ERK1_and_ERK2_cascade
ENSMUSG00000070110	Mir504	GO:0070371	ERK1 and ERK2 cascade	ERK1_and_ERK2_cascade
ENSMUSG00000049112	Oxtr	GO:0070371	ERK1 and ERK2 cascade	ERK1_and_ERK2_cascade
ENSMUSG00000032554	Trf	GO:0070371	ERK1 and ERK2 cascade	ERK1_and_ERK2_cascade
