ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000022812	Gsk3b	GO:0006983	ER overload response	ER_overload_response
ENSMUSG00000031668	Eif2ak3	GO:0006983	ER overload response	ER_overload_response
ENSMUSG00000075701	Selenos	GO:0006983	ER overload response	ER_overload_response
ENSMUSG00000025408	Ddit3	GO:0006983	ER overload response	ER_overload_response
ENSMUSG00000116429	Ddit3	GO:0006983	ER overload response	ER_overload_response
ENSMUSG00000021619	Atg10	GO:0006983	ER overload response	ER_overload_response
ENSMUSG00000046062	Ppp1r15b	GO:0006983	ER overload response	ER_overload_response
ENSMUSG00000052428	Tmco1	GO:0006983	ER overload response	ER_overload_response
ENSMUSG00000000215	Ins2	GO:0006983	ER overload response	ER_overload_response
ENSMUSG00000059552	Trp53	GO:0006983	ER overload response	ER_overload_response
ENSMUSG00000078622	Ccdc47	GO:0006983	ER overload response	ER_overload_response
ENSMUSG00000026864	Hspa5	GO:0006983	ER overload response	ER_overload_response
