ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000031906	Smpd3	GO:0070314	G1 to G0 transition	G1_to_G0_transition
ENSMUSG00000071415	Rpl23	GO:0070314	G1 to G0 transition	G1_to_G0_transition
ENSMUSG00000029687	Ezh2	GO:0070314	G1 to G0 transition	G1_to_G0_transition
ENSMUSG00000006724	Cyp27b1	GO:0070314	G1 to G0 transition	G1_to_G0_transition
ENSMUSG00000053398	Phgdh	GO:0070314	G1 to G0 transition	G1_to_G0_transition
ENSMUSG00000006215	Zbtb17	GO:0070314	G1 to G0 transition	G1_to_G0_transition
ENSMUSG00000026051	Ecrg4	GO:0070314	G1 to G0 transition	G1_to_G0_transition
ENSMUSG00000003068	Stk11	GO:0070314	G1 to G0 transition	G1_to_G0_transition
ENSMUSG00000066357	Wdr6	GO:0070314	G1 to G0 transition	G1_to_G0_transition
ENSMUSG00000069631	Strada	GO:0070314	G1 to G0 transition	G1_to_G0_transition
