ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000069049	Eif2s3y	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000022827	Rabl3	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000073555	Gm4951	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000068606	Gm4841	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000090942	F830016B08Rik	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000054072	Iigp1	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000035133	Arhgap5	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000073016	Uprt	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000024878	Cbwd1	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000021666	Gfm2	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000022789	Dnm1l	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000021270	Hsp90aa1	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000022456	Septin3	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000098207	Arl14	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000112449	Srp54b	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000079108	Srp54c	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000022668	Gtpbp8	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000057455	Rit2	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000004788	Eif2b2	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000037022	Mmaa	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000024143	Rhoq	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000021877	Arf4	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000025266	Gnl3l	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000052681	Rap1b	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000043157	Arl11	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000001783	Rtcb	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000031710	Ucp1	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000021933	Gucy1b2	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000064120	Mocs1	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000029020	Mfn2	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000015961	Adss	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000018547	Pip4k2b	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000028005	Gucy1b1	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000033216	Eefsec	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000033910	Gucy1a1	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000032344	Cgas	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000029464	Gpn3	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000017831	Rab5a	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000037742	Eef1a1	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000038352	Arl5c	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000051615	Rap2a	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000061356	Nuggc	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000060904	Arl1	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000029208	Guf1	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000032042	Srpr	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000019845	Tube1	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000038563	Efl1	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000024772	Ehd1	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000040464	Gtpbp10	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000073838	Tufm	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000052549	Arl13a	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000041658	Rragb	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000031104	Rab33a	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000079657	Rab26	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000024524	Gnal	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000053870	Fpgt	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000001473	Tubb6	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000047842	Diras2	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000000359	Rem1	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000021712	Trim23	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000044147	Arf6	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000034438	Gbp8	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000062591	Tubb4a	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000029298	Gbp9	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000079363	Gbp4	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000079362	Gm43302	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000105096	Gbp10	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000020459	Mtif2	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000104713	Gbp6	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000022722	Arl6	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000022075	Rhobtb2	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000022911	Arl13b	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000021589	Rhobtb3	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000021066	Atl1	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000025422	Agap2	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000025870	Arl10	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000022621	Rabl2	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000058672	Tubb2a	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000045136	Tubb2b	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000015133	Lrrk1	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000039069	Mtg2	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000004451	Ralb	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000050029	Rap2c	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000064262	Gimap8	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000051124	Gimap9	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000030265	Kras	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000054435	Gimap4	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000047867	Gimap6	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000067338	Tuba3b	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000043931	Gimap7	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000090019	Gimap1	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000043505	Gimap5	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000039264	Gimap3	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000021068	Nin	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000056515	Rab31	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000049892	Rasd1	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000021216	Tubal3	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000041845	Rhod	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000058230	Arhgap35	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000032562	Gnai2	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000030559	Rab38	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000037617	Spag1	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000027293	Ehd4	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000049907	Rasl11b	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000078606	Gvin2	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000045868	Gvin1	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000024759	Atl3	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000029449	Rhof	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000021700	Rab3c	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000089687	Rab42	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000024511	Rab27b	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000000486	Septin1	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000091721	Gimd1	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000042354	Gnl3	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000022519	Srl	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000047446	Arl4a	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000017837	Nkiras2	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000022542	Septin12	GO:0005525	GTP binding	GTP_binding
ENSMUSG00000021149	Gtpbp4	GO:0005525	GTP binding	GTP_binding
