ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000041380	Htr2c	GO:0007187	G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger	G_protein-coupled_receptor_signaling_pathway,_coupled_to_cyclic_nucleotide_second_messenger
ENSMUSG00000026322	Htr4	GO:0007187	G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger	G_protein-coupled_receptor_signaling_pathway,_coupled_to_cyclic_nucleotide_second_messenger
ENSMUSG00000024798	Htr7	GO:0007187	G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger	G_protein-coupled_receptor_signaling_pathway,_coupled_to_cyclic_nucleotide_second_messenger
ENSMUSG00000049511	Htr1b	GO:0007187	G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger	G_protein-coupled_receptor_signaling_pathway,_coupled_to_cyclic_nucleotide_second_messenger
ENSMUSG00000021478	Drd1	GO:0007187	G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger	G_protein-coupled_receptor_signaling_pathway,_coupled_to_cyclic_nucleotide_second_messenger
ENSMUSG00000034987	Hrh2	GO:0007187	G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger	G_protein-coupled_receptor_signaling_pathway,_coupled_to_cyclic_nucleotide_second_messenger
ENSMUSG00000050783	Htr1f	GO:0007187	G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger	G_protein-coupled_receptor_signaling_pathway,_coupled_to_cyclic_nucleotide_second_messenger
ENSMUSG00000021721	Htr1a	GO:0007187	G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger	G_protein-coupled_receptor_signaling_pathway,_coupled_to_cyclic_nucleotide_second_messenger
ENSMUSG00000034997	Htr2a	GO:0007187	G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger	G_protein-coupled_receptor_signaling_pathway,_coupled_to_cyclic_nucleotide_second_messenger
ENSMUSG00000037346	Hrh4	GO:0007187	G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger	G_protein-coupled_receptor_signaling_pathway,_coupled_to_cyclic_nucleotide_second_messenger
ENSMUSG00000046159	Chrm3	GO:0007187	G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger	G_protein-coupled_receptor_signaling_pathway,_coupled_to_cyclic_nucleotide_second_messenger
ENSMUSG00000024659	Anxa1	GO:0007187	G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger	G_protein-coupled_receptor_signaling_pathway,_coupled_to_cyclic_nucleotide_second_messenger
ENSMUSG00000114755	Galr3	GO:0007187	G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger	G_protein-coupled_receptor_signaling_pathway,_coupled_to_cyclic_nucleotide_second_messenger
ENSMUSG00000070687	Htr1d	GO:0007187	G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger	G_protein-coupled_receptor_signaling_pathway,_coupled_to_cyclic_nucleotide_second_messenger
ENSMUSG00000032773	Chrm1	GO:0007187	G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger	G_protein-coupled_receptor_signaling_pathway,_coupled_to_cyclic_nucleotide_second_messenger
ENSMUSG00000053004	Hrh1	GO:0007187	G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger	G_protein-coupled_receptor_signaling_pathway,_coupled_to_cyclic_nucleotide_second_messenger
