ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000000355	Mcts1	GO:0075522	IRES-dependent viral translational initiation	IRES-dependent_viral_translational_initiation
ENSMUSG00000024991	Eif3a	GO:0075522	IRES-dependent viral translational initiation	IRES-dependent_viral_translational_initiation
ENSMUSG00000031029	Eif3f	GO:0075522	IRES-dependent viral translational initiation	IRES-dependent_viral_translational_initiation
ENSMUSG00000068823	Csde1	GO:0075522	IRES-dependent viral translational initiation	IRES-dependent_viral_translational_initiation
ENSMUSG00000068882	Ssb	GO:0075522	IRES-dependent viral translational initiation	IRES-dependent_viral_translational_initiation
ENSMUSG00000016554	Eif3d	GO:0075522	IRES-dependent viral translational initiation	IRES-dependent_viral_translational_initiation
ENSMUSG00000026427	Eif2d	GO:0075522	IRES-dependent viral translational initiation	IRES-dependent_viral_translational_initiation
ENSMUSG00000056851	Pcbp2	GO:0075522	IRES-dependent viral translational initiation	IRES-dependent_viral_translational_initiation
ENSMUSG00000006498	Ptbp1	GO:0075522	IRES-dependent viral translational initiation	IRES-dependent_viral_translational_initiation
ENSMUSG00000056076	Eif3b	GO:0075522	IRES-dependent viral translational initiation	IRES-dependent_viral_translational_initiation
ENSMUSG00000023106	Denr	GO:0075522	IRES-dependent viral translational initiation	IRES-dependent_viral_translational_initiation
