ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000022673	Mcm4	GO:0042555	MCM complex	MCM_complex
ENSMUSG00000002870	Mcm2	GO:0042555	MCM complex	MCM_complex
ENSMUSG00000041859	Mcm3	GO:0042555	MCM complex	MCM_complex
ENSMUSG00000058298	Mcm9	GO:0042555	MCM complex	MCM_complex
ENSMUSG00000026355	Mcm6	GO:0042555	MCM complex	MCM_complex
ENSMUSG00000005410	Mcm5	GO:0042555	MCM complex	MCM_complex
ENSMUSG00000048170	Mcmbp	GO:0042555	MCM complex	MCM_complex
ENSMUSG00000059323	Tonsl	GO:0042555	MCM complex	MCM_complex
ENSMUSG00000045751	Mms22l	GO:0042555	MCM complex	MCM_complex
ENSMUSG00000029730	Mcm7	GO:0042555	MCM complex	MCM_complex
ENSMUSG00000027353	Mcm8	GO:0042555	MCM complex	MCM_complex
