ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000024604	Rbm22	GO:0000974	Prp19 complex	Prp19_complex
ENSMUSG00000112216	Gm32717	GO:0000974	Prp19 complex	Prp19_complex
ENSMUSG00000112252	Gm32802	GO:0000974	Prp19 complex	Prp19_complex
ENSMUSG00000112814	Gm9040	GO:0000974	Prp19 complex	Prp19_complex
ENSMUSG00000112419	Gm9044	GO:0000974	Prp19 complex	Prp19_complex
ENSMUSG00000112027	Gm9045	GO:0000974	Prp19 complex	Prp19_complex
ENSMUSG00000112781	Gm9046	GO:0000974	Prp19 complex	Prp19_complex
ENSMUSG00000112495	Gm9048	GO:0000974	Prp19 complex	Prp19_complex
ENSMUSG00000112919	Gm9049	GO:0000974	Prp19 complex	Prp19_complex
ENSMUSG00000027998	Plrg1	GO:0000974	Prp19 complex	Prp19_complex
ENSMUSG00000004096	Cwc15	GO:0000974	Prp19 complex	Prp19_complex
ENSMUSG00000024735	Prpf19	GO:0000974	Prp19 complex	Prp19_complex
ENSMUSG00000005687	Bcas2	GO:0000974	Prp19 complex	Prp19_complex
ENSMUSG00000023932	Cdc5l	GO:0000974	Prp19 complex	Prp19_complex
ENSMUSG00000028821	Syf2	GO:0000974	Prp19 complex	Prp19_complex
ENSMUSG00000034555	Tex16	GO:0000974	Prp19 complex	Prp19_complex
ENSMUSG00000019470	Xab2	GO:0000974	Prp19 complex	Prp19_complex
ENSMUSG00000027649	Ctnnbl1	GO:0000974	Prp19 complex	Prp19_complex
ENSMUSG00000030056	Isy1	GO:0000974	Prp19 complex	Prp19_complex
ENSMUSG00000015656	Hspa8	GO:0000974	Prp19 complex	Prp19_complex
ENSMUSG00000005198	Polr2a	GO:0000974	Prp19 complex	Prp19_complex
ENSMUSG00000001767	Crnkl1	GO:0000974	Prp19 complex	Prp19_complex
ENSMUSG00000030435	U2af2	GO:0000974	Prp19 complex	Prp19_complex
