ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000069036	Sry	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	RNA_polymerase_II_cis-regulatory_region_sequence-specific_DNA_binding
ENSMUSG00000051490	Foxd4	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	RNA_polymerase_II_cis-regulatory_region_sequence-specific_DNA_binding
ENSMUSG00000055639	Dach1	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	RNA_polymerase_II_cis-regulatory_region_sequence-specific_DNA_binding
ENSMUSG00000022463	Srebf2	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	RNA_polymerase_II_cis-regulatory_region_sequence-specific_DNA_binding
ENSMUSG00000071637	Cebpd	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	RNA_polymerase_II_cis-regulatory_region_sequence-specific_DNA_binding
ENSMUSG00000005698	Ctcf	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	RNA_polymerase_II_cis-regulatory_region_sequence-specific_DNA_binding
ENSMUSG00000024837	Dmrt1	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	RNA_polymerase_II_cis-regulatory_region_sequence-specific_DNA_binding
ENSMUSG00000024276	Zfp397	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	RNA_polymerase_II_cis-regulatory_region_sequence-specific_DNA_binding
ENSMUSG00000042372	Dmrt3	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	RNA_polymerase_II_cis-regulatory_region_sequence-specific_DNA_binding
ENSMUSG00000048138	Dmrt2	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	RNA_polymerase_II_cis-regulatory_region_sequence-specific_DNA_binding
ENSMUSG00000063281	Zfp35	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	RNA_polymerase_II_cis-regulatory_region_sequence-specific_DNA_binding
ENSMUSG00000051469	Zfp24	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	RNA_polymerase_II_cis-regulatory_region_sequence-specific_DNA_binding
ENSMUSG00000058794	Nfe2	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	RNA_polymerase_II_cis-regulatory_region_sequence-specific_DNA_binding
ENSMUSG00000005148	Klf5	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	RNA_polymerase_II_cis-regulatory_region_sequence-specific_DNA_binding
ENSMUSG00000072294	Klf12	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	RNA_polymerase_II_cis-regulatory_region_sequence-specific_DNA_binding
ENSMUSG00000055341	Zfp457	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	RNA_polymerase_II_cis-regulatory_region_sequence-specific_DNA_binding
ENSMUSG00000057842	Zfp595	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	RNA_polymerase_II_cis-regulatory_region_sequence-specific_DNA_binding
ENSMUSG00000021366	Hivep1	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	RNA_polymerase_II_cis-regulatory_region_sequence-specific_DNA_binding
ENSMUSG00000024619	Cdx1	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	RNA_polymerase_II_cis-regulatory_region_sequence-specific_DNA_binding
ENSMUSG00000006720	Zfp184	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	RNA_polymerase_II_cis-regulatory_region_sequence-specific_DNA_binding
ENSMUSG00000036442	Thap11	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	RNA_polymerase_II_cis-regulatory_region_sequence-specific_DNA_binding
ENSMUSG00000031688	Pou4f2	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	RNA_polymerase_II_cis-regulatory_region_sequence-specific_DNA_binding
ENSMUSG00000037070	Rbmxl1	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	RNA_polymerase_II_cis-regulatory_region_sequence-specific_DNA_binding
ENSMUSG00000024912	Fosl1	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	RNA_polymerase_II_cis-regulatory_region_sequence-specific_DNA_binding
ENSMUSG00000042320	Prox2	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	RNA_polymerase_II_cis-regulatory_region_sequence-specific_DNA_binding
ENSMUSG00000031374	Zfp92	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	RNA_polymerase_II_cis-regulatory_region_sequence-specific_DNA_binding
ENSMUSG00000024922	Ovol1	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	RNA_polymerase_II_cis-regulatory_region_sequence-specific_DNA_binding
ENSMUSG00000057469	E2f6	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	RNA_polymerase_II_cis-regulatory_region_sequence-specific_DNA_binding
ENSMUSG00000020037	Rfx4	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	RNA_polymerase_II_cis-regulatory_region_sequence-specific_DNA_binding
ENSMUSG00000031681	Smad1	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	RNA_polymerase_II_cis-regulatory_region_sequence-specific_DNA_binding
ENSMUSG00000045440	Insm2	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	RNA_polymerase_II_cis-regulatory_region_sequence-specific_DNA_binding
ENSMUSG00000050919	Zfp366	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	RNA_polymerase_II_cis-regulatory_region_sequence-specific_DNA_binding
ENSMUSG00000028034	Fubp1	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	RNA_polymerase_II_cis-regulatory_region_sequence-specific_DNA_binding
ENSMUSG00000021250	Fos	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	RNA_polymerase_II_cis-regulatory_region_sequence-specific_DNA_binding
ENSMUSG00000024134	Six2	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	RNA_polymerase_II_cis-regulatory_region_sequence-specific_DNA_binding
ENSMUSG00000034271	Jdp2	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	RNA_polymerase_II_cis-regulatory_region_sequence-specific_DNA_binding
ENSMUSG00000034266	Batf	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	RNA_polymerase_II_cis-regulatory_region_sequence-specific_DNA_binding
ENSMUSG00000071267	Zfp942	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	RNA_polymerase_II_cis-regulatory_region_sequence-specific_DNA_binding
ENSMUSG00000053347	Zfp943	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	RNA_polymerase_II_cis-regulatory_region_sequence-specific_DNA_binding
ENSMUSG00000063383	Zfp947	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	RNA_polymerase_II_cis-regulatory_region_sequence-specific_DNA_binding
ENSMUSG00000096433	Zfp994	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	RNA_polymerase_II_cis-regulatory_region_sequence-specific_DNA_binding
ENSMUSG00000117284	Gm7072	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	RNA_polymerase_II_cis-regulatory_region_sequence-specific_DNA_binding
