ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000092702	Gm24514	GO:0006617	SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition	SRP-dependent_cotranslational_protein_targeting_to_membrane,_signal_sequence_recognition
ENSMUSG00000032042	Srpr	GO:0006617	SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition	SRP-dependent_cotranslational_protein_targeting_to_membrane,_signal_sequence_recognition
ENSMUSG00000093283	Gm22567	GO:0006617	SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition	SRP-dependent_cotranslational_protein_targeting_to_membrane,_signal_sequence_recognition
ENSMUSG00000118866	Rn7s1	GO:0006617	SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition	SRP-dependent_cotranslational_protein_targeting_to_membrane,_signal_sequence_recognition
ENSMUSG00000093112	Gm22701	GO:0006617	SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition	SRP-dependent_cotranslational_protein_targeting_to_membrane,_signal_sequence_recognition
ENSMUSG00000092986	Gm25574	GO:0006617	SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition	SRP-dependent_cotranslational_protein_targeting_to_membrane,_signal_sequence_recognition
ENSMUSG00000118841	Rn7s2	GO:0006617	SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition	SRP-dependent_cotranslational_protein_targeting_to_membrane,_signal_sequence_recognition
ENSMUSG00000093056	Gm24812	GO:0006617	SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition	SRP-dependent_cotranslational_protein_targeting_to_membrane,_signal_sequence_recognition
ENSMUSG00000092974	Gm25072	GO:0006617	SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition	SRP-dependent_cotranslational_protein_targeting_to_membrane,_signal_sequence_recognition
ENSMUSG00000093191	Gm22876	GO:0006617	SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition	SRP-dependent_cotranslational_protein_targeting_to_membrane,_signal_sequence_recognition
ENSMUSG00000092674	Gm24105	GO:0006617	SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition	SRP-dependent_cotranslational_protein_targeting_to_membrane,_signal_sequence_recognition
ENSMUSG00000093064	Gm23153	GO:0006617	SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition	SRP-dependent_cotranslational_protein_targeting_to_membrane,_signal_sequence_recognition
ENSMUSG00002076654	Gm55459	GO:0006617	SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition	SRP-dependent_cotranslational_protein_targeting_to_membrane,_signal_sequence_recognition
ENSMUSG00000093093	Gm22642	GO:0006617	SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition	SRP-dependent_cotranslational_protein_targeting_to_membrane,_signal_sequence_recognition
ENSMUSG00000093059	Gm24809	GO:0006617	SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition	SRP-dependent_cotranslational_protein_targeting_to_membrane,_signal_sequence_recognition
ENSMUSG00000032553	Srprb	GO:0006617	SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition	SRP-dependent_cotranslational_protein_targeting_to_membrane,_signal_sequence_recognition
ENSMUSG00000093183	Gm25687	GO:0006617	SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition	SRP-dependent_cotranslational_protein_targeting_to_membrane,_signal_sequence_recognition
ENSMUSG00000092805	Gm26461	GO:0006617	SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition	SRP-dependent_cotranslational_protein_targeting_to_membrane,_signal_sequence_recognition
ENSMUSG00000092746	Rn7s6	GO:0006617	SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition	SRP-dependent_cotranslational_protein_targeting_to_membrane,_signal_sequence_recognition
ENSMUSG00000093249	Gm24576	GO:0006617	SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition	SRP-dependent_cotranslational_protein_targeting_to_membrane,_signal_sequence_recognition
ENSMUSG00000092905	Gm25735	GO:0006617	SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition	SRP-dependent_cotranslational_protein_targeting_to_membrane,_signal_sequence_recognition
ENSMUSG00000092875	Gm22649	GO:0006617	SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition	SRP-dependent_cotranslational_protein_targeting_to_membrane,_signal_sequence_recognition
