ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000024837	Dmrt1	GO:0060008	Sertoli cell differentiation	Sertoli_cell_differentiation
ENSMUSG00000021944	Gata4	GO:0060008	Sertoli cell differentiation	Sertoli_cell_differentiation
ENSMUSG00000025056	Nr0b1	GO:0060008	Sertoli cell differentiation	Sertoli_cell_differentiation
ENSMUSG00000021477	Ctsl	GO:0060008	Sertoli cell differentiation	Sertoli_cell_differentiation
ENSMUSG00000045680	Tcf21	GO:0060008	Sertoli cell differentiation	Sertoli_cell_differentiation
ENSMUSG00000036856	Wnt4	GO:0060008	Sertoli cell differentiation	Sertoli_cell_differentiation
ENSMUSG00000034161	Scx	GO:0060008	Sertoli cell differentiation	Sertoli_cell_differentiation
ENSMUSG00000042625	Safb2	GO:0060008	Sertoli cell differentiation	Sertoli_cell_differentiation
ENSMUSG00000000567	Sox9	GO:0060008	Sertoli cell differentiation	Sertoli_cell_differentiation
ENSMUSG00000026751	Nr5a1	GO:0060008	Sertoli cell differentiation	Sertoli_cell_differentiation
