ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000024304	Cdh2	GO:0030315	T-tubule	T-tubule
ENSMUSG00000061603	Akap6	GO:0030315	T-tubule	T-tubule
ENSMUSG00000031616	Ednra	GO:0030315	T-tubule	T-tubule
ENSMUSG00000024381	Bin1	GO:0030315	T-tubule	T-tubule
ENSMUSG00000021253	Tgfb3	GO:0030315	T-tubule	T-tubule
ENSMUSG00000032034	Kcnj5	GO:0030315	T-tubule	T-tubule
ENSMUSG00000020882	Cacnb1	GO:0030315	T-tubule	T-tubule
ENSMUSG00000030249	Abcc9	GO:0030315	T-tubule	T-tubule
ENSMUSG00000032050	Rdx	GO:0030315	T-tubule	T-tubule
ENSMUSG00000045875	Adra1a	GO:0030315	T-tubule	T-tubule
ENSMUSG00000003161	Sri	GO:0030315	T-tubule	T-tubule
ENSMUSG00000053819	Camk2d	GO:0030315	T-tubule	T-tubule
ENSMUSG00000054477	Kcnn2	GO:0030315	T-tubule	T-tubule
ENSMUSG00000032826	Ank2	GO:0030315	T-tubule	T-tubule
ENSMUSG00000069601	Ank3	GO:0030315	T-tubule	T-tubule
ENSMUSG00000005533	Igf1r	GO:0030315	T-tubule	T-tubule
ENSMUSG00000040287	Stac3	GO:0030315	T-tubule	T-tubule
ENSMUSG00000052397	Ezr	GO:0030315	T-tubule	T-tubule
ENSMUSG00000022479	Vdr	GO:0030315	T-tubule	T-tubule
ENSMUSG00000033161	Atp1a1	GO:0030315	T-tubule	T-tubule
ENSMUSG00000042529	Kcnj12	GO:0030315	T-tubule	T-tubule
ENSMUSG00000079110	Capn3	GO:0030315	T-tubule	T-tubule
ENSMUSG00000024411	Aqp4	GO:0030315	T-tubule	T-tubule
ENSMUSG00000028854	Slc9a1	GO:0030315	T-tubule	T-tubule
ENSMUSG00000021816	Ppp3cb	GO:0030315	T-tubule	T-tubule
ENSMUSG00000030401	Rtn2	GO:0030315	T-tubule	T-tubule
ENSMUSG00000019768	Esr1	GO:0030315	T-tubule	T-tubule
ENSMUSG00000060882	Kcnd2	GO:0030315	T-tubule	T-tubule
ENSMUSG00000022770	Dlg1	GO:0030315	T-tubule	T-tubule
ENSMUSG00000031207	Msn	GO:0030315	T-tubule	T-tubule
ENSMUSG00000037434	Slc30a1	GO:0030315	T-tubule	T-tubule
ENSMUSG00000040118	Cacna2d1	GO:0030315	T-tubule	T-tubule
ENSMUSG00000031672	Got2	GO:0030315	T-tubule	T-tubule
ENSMUSG00000033788	Dysf	GO:0030315	T-tubule	T-tubule
ENSMUSG00000039166	Akap7	GO:0030315	T-tubule	T-tubule
ENSMUSG00000070304	Scn2b	GO:0030315	T-tubule	T-tubule
ENSMUSG00000026576	Atp1b1	GO:0030315	T-tubule	T-tubule
ENSMUSG00000062694	Cav3	GO:0030315	T-tubule	T-tubule
ENSMUSG00000037432	Fer1l5	GO:0030315	T-tubule	T-tubule
ENSMUSG00000038473	Nos1ap	GO:0030315	T-tubule	T-tubule
ENSMUSG00000032502	Stac	GO:0030315	T-tubule	T-tubule
ENSMUSG00000051331	Cacna1c	GO:0030315	T-tubule	T-tubule
ENSMUSG00000007097	Atp1a2	GO:0030315	T-tubule	T-tubule
ENSMUSG00000018566	Slc2a4	GO:0030315	T-tubule	T-tubule
ENSMUSG00000032511	Scn5a	GO:0030315	T-tubule	T-tubule
ENSMUSG00000047126	Cltc	GO:0030315	T-tubule	T-tubule
ENSMUSG00000045038	Prkce	GO:0030315	T-tubule	T-tubule
ENSMUSG00000047963	Stbd1	GO:0030315	T-tubule	T-tubule
ENSMUSG00000036570	Fxyd1	GO:0030315	T-tubule	T-tubule
ENSMUSG00000029361	Nos1	GO:0030315	T-tubule	T-tubule
ENSMUSG00000020722	Cacng1	GO:0030315	T-tubule	T-tubule
ENSMUSG00000019194	Scn1b	GO:0030315	T-tubule	T-tubule
ENSMUSG00000007122	Casq1	GO:0030315	T-tubule	T-tubule
ENSMUSG00000026407	Cacna1s	GO:0030315	T-tubule	T-tubule
ENSMUSG00000041695	Kcnj2	GO:0030315	T-tubule	T-tubule
ENSMUSG00000026463	Atp2b4	GO:0030315	T-tubule	T-tubule
ENSMUSG00000096146	Kcnj11	GO:0030315	T-tubule	T-tubule
ENSMUSG00000026824	Kcnj3	GO:0030315	T-tubule	T-tubule
ENSMUSG00000030592	Ryr1	GO:0030315	T-tubule	T-tubule
ENSMUSG00000075318	Scn2a	GO:0030315	T-tubule	T-tubule
ENSMUSG00000064329	Scn1a	GO:0030315	T-tubule	T-tubule
