ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000050310	Rictor	GO:0031932	TORC2 complex	TORC2_complex
ENSMUSG00000036106	Prr5	GO:0031932	TORC2 complex	TORC2_complex
ENSMUSG00000028991	Mtor	GO:0031932	TORC2 complex	TORC2_complex
ENSMUSG00000024142	Mlst8	GO:0031932	TORC2 complex	TORC2_complex
ENSMUSG00000024170	Telo2	GO:0031932	TORC2 complex	TORC2_complex
ENSMUSG00000028893	Sesn2	GO:0031932	TORC2 complex	TORC2_complex
ENSMUSG00000032009	Sesn3	GO:0031932	TORC2 complex	TORC2_complex
ENSMUSG00000027650	Tti1	GO:0031932	TORC2 complex	TORC2_complex
ENSMUSG00000032841	Prr5l	GO:0031932	TORC2 complex	TORC2_complex
ENSMUSG00000038696	Mapkap1	GO:0031932	TORC2 complex	TORC2_complex
