ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000053977	Cd8a	GO:0002456	T cell mediated immunity	T_cell_mediated_immunity
ENSMUSG00000035356	Nfkbiz	GO:0002456	T cell mediated immunity	T_cell_mediated_immunity
ENSMUSG00000019489	Cd70	GO:0002456	T cell mediated immunity	T_cell_mediated_immunity
ENSMUSG00000039521	Foxp3	GO:0002456	T cell mediated immunity	T_cell_mediated_immunity
ENSMUSG00000026405	C4bp	GO:0002456	T cell mediated immunity	T_cell_mediated_immunity
ENSMUSG00000016493	Cd46	GO:0002456	T cell mediated immunity	T_cell_mediated_immunity
ENSMUSG00000016481	Cr1l	GO:0002456	T cell mediated immunity	T_cell_mediated_immunity
ENSMUSG00000020902	Ntn1	GO:0002456	T cell mediated immunity	T_cell_mediated_immunity
ENSMUSG00000074491	Clec4g	GO:0002456	T cell mediated immunity	T_cell_mediated_immunity
ENSMUSG00000072620	Slfn2	GO:0002456	T cell mediated immunity	T_cell_mediated_immunity
ENSMUSG00000029869	Ephb6	GO:0002456	T cell mediated immunity	T_cell_mediated_immunity
ENSMUSG00000027276	Jag1	GO:0002456	T cell mediated immunity	T_cell_mediated_immunity
ENSMUSG00000020437	Myo1g	GO:0002456	T cell mediated immunity	T_cell_mediated_immunity
