ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000108763	Btnl12	GO:0050852	T cell receptor signaling pathway	T_cell_receptor_signaling_pathway
ENSMUSG00000000706	Btn1a1	GO:0050852	T cell receptor signaling pathway	T_cell_receptor_signaling_pathway
ENSMUSG00000004788	Eif2b2	GO:0050852	T cell receptor signaling pathway	T_cell_receptor_signaling_pathway
ENSMUSG00000022148	Fyb	GO:0050852	T cell receptor signaling pathway	T_cell_receptor_signaling_pathway
ENSMUSG00000053216	Btn2a2	GO:0050852	T cell receptor signaling pathway	T_cell_receptor_signaling_pathway
ENSMUSG00000063358	Mapk1	GO:0050852	T cell receptor signaling pathway	T_cell_receptor_signaling_pathway
ENSMUSG00000049109	Themis	GO:0050852	T cell receptor signaling pathway	T_cell_receptor_signaling_pathway
ENSMUSG00000055170	Ifng	GO:0050852	T cell receptor signaling pathway	T_cell_receptor_signaling_pathway
ENSMUSG00000039316	Rftn1	GO:0050852	T cell receptor signaling pathway	T_cell_receptor_signaling_pathway
ENSMUSG00000022637	Cblb	GO:0050852	T cell receptor signaling pathway	T_cell_receptor_signaling_pathway
ENSMUSG00000028790	Khdrbs1	GO:0050852	T cell receptor signaling pathway	T_cell_receptor_signaling_pathway
ENSMUSG00000053044	Cd8b1	GO:0050852	T cell receptor signaling pathway	T_cell_receptor_signaling_pathway
ENSMUSG00000053977	Cd8a	GO:0050852	T cell receptor signaling pathway	T_cell_receptor_signaling_pathway
ENSMUSG00000030742	Lat	GO:0050852	T cell receptor signaling pathway	T_cell_receptor_signaling_pathway
ENSMUSG00000035356	Nfkbiz	GO:0050852	T cell receptor signaling pathway	T_cell_receptor_signaling_pathway
ENSMUSG00000032688	Malt1	GO:0050852	T cell receptor signaling pathway	T_cell_receptor_signaling_pathway
ENSMUSG00000058435	Btnl4	GO:0050852	T cell receptor signaling pathway	T_cell_receptor_signaling_pathway
ENSMUSG00000092618	Btnl6	GO:0050852	T cell receptor signaling pathway	T_cell_receptor_signaling_pathway
ENSMUSG00000027466	Rbck1	GO:0050852	T cell receptor signaling pathway	T_cell_receptor_signaling_pathway
ENSMUSG00000054892	Txk	GO:0050852	T cell receptor signaling pathway	T_cell_receptor_signaling_pathway
ENSMUSG00000031264	Btk	GO:0050852	T cell receptor signaling pathway	T_cell_receptor_signaling_pathway
ENSMUSG00000039521	Foxp3	GO:0050852	T cell receptor signaling pathway	T_cell_receptor_signaling_pathway
ENSMUSG00000003235	Eif2b5	GO:0050852	T cell receptor signaling pathway	T_cell_receptor_signaling_pathway
ENSMUSG00000024105	Themis3	GO:0050852	T cell receptor signaling pathway	T_cell_receptor_signaling_pathway
ENSMUSG00000034330	Plcg2	GO:0050852	T cell receptor signaling pathway	T_cell_receptor_signaling_pathway
ENSMUSG00000021699	Pde4d	GO:0050852	T cell receptor signaling pathway	T_cell_receptor_signaling_pathway
ENSMUSG00000041187	Prkd2	GO:0050852	T cell receptor signaling pathway	T_cell_receptor_signaling_pathway
ENSMUSG00000099974	Bcl2a1d	GO:0050852	T cell receptor signaling pathway	T_cell_receptor_signaling_pathway
ENSMUSG00000002699	Lcp2	GO:0050852	T cell receptor signaling pathway	T_cell_receptor_signaling_pathway
ENSMUSG00000051076	Vtcn1	GO:0050852	T cell receptor signaling pathway	T_cell_receptor_signaling_pathway
ENSMUSG00000037731	Themis2	GO:0050852	T cell receptor signaling pathway	T_cell_receptor_signaling_pathway
ENSMUSG00000078599	Skint8	GO:0050852	T cell receptor signaling pathway	T_cell_receptor_signaling_pathway
ENSMUSG00000049214	Skint7	GO:0050852	T cell receptor signaling pathway	T_cell_receptor_signaling_pathway
ENSMUSG00000089773	Skint1	GO:0050852	T cell receptor signaling pathway	T_cell_receptor_signaling_pathway
ENSMUSG00000032011	Thy1	GO:0050852	T cell receptor signaling pathway	T_cell_receptor_signaling_pathway
ENSMUSG00000055960	Skint4	GO:0050852	T cell receptor signaling pathway	T_cell_receptor_signaling_pathway
ENSMUSG00000070868	Skint3	GO:0050852	T cell receptor signaling pathway	T_cell_receptor_signaling_pathway
ENSMUSG00000049972	Skint9	GO:0050852	T cell receptor signaling pathway	T_cell_receptor_signaling_pathway
ENSMUSG00000034359	Skint2	GO:0050852	T cell receptor signaling pathway	T_cell_receptor_signaling_pathway
ENSMUSG00000048766	Skint10	GO:0050852	T cell receptor signaling pathway	T_cell_receptor_signaling_pathway
ENSMUSG00000087194	Skint6	GO:0050852	T cell receptor signaling pathway	T_cell_receptor_signaling_pathway
ENSMUSG00000057977	Skint11	GO:0050852	T cell receptor signaling pathway	T_cell_receptor_signaling_pathway
ENSMUSG00000035914	Cd276	GO:0050852	T cell receptor signaling pathway	T_cell_receptor_signaling_pathway
ENSMUSG00000040423	Rc3h1	GO:0050852	T cell receptor signaling pathway	T_cell_receptor_signaling_pathway
ENSMUSG00000020395	Itk	GO:0050852	T cell receptor signaling pathway	T_cell_receptor_signaling_pathway
ENSMUSG00000023915	Tnfrsf21	GO:0050852	T cell receptor signaling pathway	T_cell_receptor_signaling_pathway
ENSMUSG00000049410	Zfp683	GO:0050852	T cell receptor signaling pathway	T_cell_receptor_signaling_pathway
ENSMUSG00000027843	Ptpn22	GO:0050852	T cell receptor signaling pathway	T_cell_receptor_signaling_pathway
ENSMUSG00000019969	Psen1	GO:0050852	T cell receptor signaling pathway	T_cell_receptor_signaling_pathway
ENSMUSG00000105533	Trav7d-2	GO:0050852	T cell receptor signaling pathway	T_cell_receptor_signaling_pathway
ENSMUSG00000096417	Trav7-2	GO:0050852	T cell receptor signaling pathway	T_cell_receptor_signaling_pathway
ENSMUSG00000040283	Btnl9	GO:0050852	T cell receptor signaling pathway	T_cell_receptor_signaling_pathway
ENSMUSG00000026012	Cd28	GO:0050852	T cell receptor signaling pathway	T_cell_receptor_signaling_pathway
ENSMUSG00000032093	Cd3e	GO:0050852	T cell receptor signaling pathway	T_cell_receptor_signaling_pathway
ENSMUSG00000047098	Rnf31	GO:0050852	T cell receptor signaling pathway	T_cell_receptor_signaling_pathway
