ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000073563	Csnk1g3	GO:0016055	Wnt signaling pathway	Wnt_signaling_pathway
ENSMUSG00000022812	Gsk3b	GO:0016055	Wnt signaling pathway	Wnt_signaling_pathway
ENSMUSG00000024317	Rnf138	GO:0016055	Wnt signaling pathway	Wnt_signaling_pathway
ENSMUSG00000050697	Prkaa1	GO:0016055	Wnt signaling pathway	Wnt_signaling_pathway
ENSMUSG00000065542	Mir224	GO:0016055	Wnt signaling pathway	Wnt_signaling_pathway
ENSMUSG00000021974	Fgf9	GO:0016055	Wnt signaling pathway	Wnt_signaling_pathway
ENSMUSG00000071847	Apcdd1	GO:0016055	Wnt signaling pathway	Wnt_signaling_pathway
ENSMUSG00000021986	Amer2	GO:0016055	Wnt signaling pathway	Wnt_signaling_pathway
ENSMUSG00000022346	Myc	GO:0016055	Wnt signaling pathway	Wnt_signaling_pathway
ENSMUSG00000040726	Hesx1	GO:0016055	Wnt signaling pathway	Wnt_signaling_pathway
ENSMUSG00000038876	Rnf146	GO:0016055	Wnt signaling pathway	Wnt_signaling_pathway
ENSMUSG00000005871	Apc	GO:0016055	Wnt signaling pathway	Wnt_signaling_pathway
ENSMUSG00000019880	Rspo3	GO:0016055	Wnt signaling pathway	Wnt_signaling_pathway
ENSMUSG00000093007	Mir15a	GO:0016055	Wnt signaling pathway	Wnt_signaling_pathway
ENSMUSG00000040680	Kremen2	GO:0016055	Wnt signaling pathway	Wnt_signaling_pathway
ENSMUSG00000012282	Wnt8a	GO:0016055	Wnt signaling pathway	Wnt_signaling_pathway
ENSMUSG00000065442	Mir20a	GO:0016055	Wnt signaling pathway	Wnt_signaling_pathway
ENSMUSG00000040260	Daam2	GO:0016055	Wnt signaling pathway	Wnt_signaling_pathway
ENSMUSG00000021994	Wnt5a	GO:0016055	Wnt signaling pathway	Wnt_signaling_pathway
ENSMUSG00000029005	Draxin	GO:0016055	Wnt signaling pathway	Wnt_signaling_pathway
ENSMUSG00000025860	Xiap	GO:0016055	Wnt signaling pathway	Wnt_signaling_pathway
ENSMUSG00000056342	Usp34	GO:0016055	Wnt signaling pathway	Wnt_signaling_pathway
ENSMUSG00000022382	Wnt7b	GO:0016055	Wnt signaling pathway	Wnt_signaling_pathway
ENSMUSG00000007989	Fzd3	GO:0016055	Wnt signaling pathway	Wnt_signaling_pathway
ENSMUSG00000032064	Dixdc1	GO:0016055	Wnt signaling pathway	Wnt_signaling_pathway
ENSMUSG00000021567	Nkd2	GO:0016055	Wnt signaling pathway	Wnt_signaling_pathway
ENSMUSG00000003228	Grk5	GO:0016055	Wnt signaling pathway	Wnt_signaling_pathway
ENSMUSG00000004364	Cul3	GO:0016055	Wnt signaling pathway	Wnt_signaling_pathway
ENSMUSG00000024868	Dkk1	GO:0016055	Wnt signaling pathway	Wnt_signaling_pathway
ENSMUSG00000033767	Tmem131l	GO:0016055	Wnt signaling pathway	Wnt_signaling_pathway
ENSMUSG00000044674	Fzd1	GO:0016055	Wnt signaling pathway	Wnt_signaling_pathway
ENSMUSG00000028926	Cdk14	GO:0016055	Wnt signaling pathway	Wnt_signaling_pathway
ENSMUSG00000020218	Wif1	GO:0016055	Wnt signaling pathway	Wnt_signaling_pathway
ENSMUSG00000005124	Ccn4	GO:0016055	Wnt signaling pathway	Wnt_signaling_pathway
ENSMUSG00000032852	Rspo4	GO:0016055	Wnt signaling pathway	Wnt_signaling_pathway
ENSMUSG00000027304	Rtf1	GO:0016055	Wnt signaling pathway	Wnt_signaling_pathway
ENSMUSG00000009900	Wnt3a	GO:0016055	Wnt signaling pathway	Wnt_signaling_pathway
ENSMUSG00000000126	Wnt9a	GO:0016055	Wnt signaling pathway	Wnt_signaling_pathway
ENSMUSG00000021395	Spin1	GO:0016055	Wnt signaling pathway	Wnt_signaling_pathway
ENSMUSG00000074698	Csnk2a1	GO:0016055	Wnt signaling pathway	Wnt_signaling_pathway
ENSMUSG00000041765	Ubac2	GO:0016055	Wnt signaling pathway	Wnt_signaling_pathway
ENSMUSG00000038503	Mesd	GO:0016055	Wnt signaling pathway	Wnt_signaling_pathway
ENSMUSG00000032855	Pkd1	GO:0016055	Wnt signaling pathway	Wnt_signaling_pathway
ENSMUSG00000046034	Otulin	GO:0016055	Wnt signaling pathway	Wnt_signaling_pathway
ENSMUSG00000024913	Lrp5	GO:0016055	Wnt signaling pathway	Wnt_signaling_pathway
ENSMUSG00000034462	Pkd2	GO:0016055	Wnt signaling pathway	Wnt_signaling_pathway
ENSMUSG00000022722	Arl6	GO:0016055	Wnt signaling pathway	Wnt_signaling_pathway
ENSMUSG00000033712	Ccar2	GO:0016055	Wnt signaling pathway	Wnt_signaling_pathway
ENSMUSG00000028988	Ctnnbip1	GO:0016055	Wnt signaling pathway	Wnt_signaling_pathway
ENSMUSG00000061559	Skic8	GO:0016055	Wnt signaling pathway	Wnt_signaling_pathway
ENSMUSG00000028173	Wls	GO:0016055	Wnt signaling pathway	Wnt_signaling_pathway
ENSMUSG00000020844	Nxn	GO:0016055	Wnt signaling pathway	Wnt_signaling_pathway
ENSMUSG00000025408	Ddit3	GO:0016055	Wnt signaling pathway	Wnt_signaling_pathway
ENSMUSG00000031535	Dkk4	GO:0016055	Wnt signaling pathway	Wnt_signaling_pathway
ENSMUSG00000003233	Dvl3	GO:0016055	Wnt signaling pathway	Wnt_signaling_pathway
ENSMUSG00000030093	Wnt7a	GO:0016055	Wnt signaling pathway	Wnt_signaling_pathway
ENSMUSG00000055799	Tcf7l1	GO:0016055	Wnt signaling pathway	Wnt_signaling_pathway
ENSMUSG00000031119	Gpc4	GO:0016055	Wnt signaling pathway	Wnt_signaling_pathway
ENSMUSG00000004637	Wwox	GO:0016055	Wnt signaling pathway	Wnt_signaling_pathway
ENSMUSG00000028023	Pitx2	GO:0016055	Wnt signaling pathway	Wnt_signaling_pathway
ENSMUSG00000049791	Fzd4	GO:0016055	Wnt signaling pathway	Wnt_signaling_pathway
ENSMUSG00000036158	Prickle1	GO:0016055	Wnt signaling pathway	Wnt_signaling_pathway
ENSMUSG00000021182	Ccdc88c	GO:0016055	Wnt signaling pathway	Wnt_signaling_pathway
ENSMUSG00000047604	Frat2	GO:0016055	Wnt signaling pathway	Wnt_signaling_pathway
ENSMUSG00000078794	Dact3	GO:0016055	Wnt signaling pathway	Wnt_signaling_pathway
ENSMUSG00000037852	Cpe	GO:0016055	Wnt signaling pathway	Wnt_signaling_pathway
ENSMUSG00000027573	Gid8	GO:0016055	Wnt signaling pathway	Wnt_signaling_pathway
ENSMUSG00000027985	Lef1	GO:0016055	Wnt signaling pathway	Wnt_signaling_pathway
ENSMUSG00000036169	Sostdc1	GO:0016055	Wnt signaling pathway	Wnt_signaling_pathway
ENSMUSG00000038256	Bcl9	GO:0016055	Wnt signaling pathway	Wnt_signaling_pathway
ENSMUSG00000044548	Dact1	GO:0016055	Wnt signaling pathway	Wnt_signaling_pathway
ENSMUSG00000024513	Mbd2	GO:0016055	Wnt signaling pathway	Wnt_signaling_pathway
ENSMUSG00000028031	Dkk2	GO:0016055	Wnt signaling pathway	Wnt_signaling_pathway
ENSMUSG00000008305	Tle1	GO:0016055	Wnt signaling pathway	Wnt_signaling_pathway
ENSMUSG00000034574	Daam1	GO:0016055	Wnt signaling pathway	Wnt_signaling_pathway
ENSMUSG00000031661	Nkd1	GO:0016055	Wnt signaling pathway	Wnt_signaling_pathway
ENSMUSG00000020271	Fbxw11	GO:0016055	Wnt signaling pathway	Wnt_signaling_pathway
ENSMUSG00000051920	Rspo2	GO:0016055	Wnt signaling pathway	Wnt_signaling_pathway
ENSMUSG00000036712	Cyld	GO:0016055	Wnt signaling pathway	Wnt_signaling_pathway
ENSMUSG00000044365	Cxxc4	GO:0016055	Wnt signaling pathway	Wnt_signaling_pathway
ENSMUSG00000013076	Amotl1	GO:0016055	Wnt signaling pathway	Wnt_signaling_pathway
ENSMUSG00000024740	Ddb1	GO:0016055	Wnt signaling pathway	Wnt_signaling_pathway
ENSMUSG00000074886	Grk6	GO:0016055	Wnt signaling pathway	Wnt_signaling_pathway
ENSMUSG00000025217	Btrc	GO:0016055	Wnt signaling pathway	Wnt_signaling_pathway
ENSMUSG00000040913	Fbxw4	GO:0016055	Wnt signaling pathway	Wnt_signaling_pathway
ENSMUSG00000022855	Senp2	GO:0016055	Wnt signaling pathway	Wnt_signaling_pathway
ENSMUSG00000025223	Ldb1	GO:0016055	Wnt signaling pathway	Wnt_signaling_pathway
ENSMUSG00000031548	Sfrp1	GO:0016055	Wnt signaling pathway	Wnt_signaling_pathway
