ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000041112	Elmo1	GO:0007015	actin filament organization	actin_filament_organization
ENSMUSG00000070047	Fat1	GO:0007015	actin filament organization	actin_filament_organization
ENSMUSG00000033871	Ppargc1b	GO:0007015	actin filament organization	actin_filament_organization
ENSMUSG00000056201	Cfl1	GO:0007015	actin filament organization	actin_filament_organization
ENSMUSG00000024388	Myo7b	GO:0007015	actin filament organization	actin_filament_organization
ENSMUSG00000022658	Tagln3	GO:0007015	actin filament organization	actin_filament_organization
ENSMUSG00000021373	Cap2	GO:0007015	actin filament organization	actin_filament_organization
ENSMUSG00000058126	Tpm3-rs7	GO:0007015	actin filament organization	actin_filament_organization
ENSMUSG00000034607	Pof1b	GO:0007015	actin filament organization	actin_filament_organization
ENSMUSG00000047945	Marcksl1	GO:0007015	actin filament organization	actin_filament_organization
ENSMUSG00000029003	Mad2l2	GO:0007015	actin filament organization	actin_filament_organization
ENSMUSG00000032346	Ooep	GO:0007015	actin filament organization	actin_filament_organization
ENSMUSG00000031636	Pdlim3	GO:0007015	actin filament organization	actin_filament_organization
ENSMUSG00000045795	Whamm	GO:0007015	actin filament organization	actin_filament_organization
ENSMUSG00000059456	Ptk2b	GO:0007015	actin filament organization	actin_filament_organization
ENSMUSG00000069662	Marcks	GO:0007015	actin filament organization	actin_filament_organization
ENSMUSG00000033577	Myo6	GO:0007015	actin filament organization	actin_filament_organization
ENSMUSG00000017774	Myo1c	GO:0007015	actin filament organization	actin_filament_organization
ENSMUSG00000018417	Myo1b	GO:0007015	actin filament organization	actin_filament_organization
ENSMUSG00000024533	Spire1	GO:0007015	actin filament organization	actin_filament_organization
ENSMUSG00000068270	Shroom4	GO:0007015	actin filament organization	actin_filament_organization
ENSMUSG00000025432	Avil	GO:0007015	actin filament organization	actin_filament_organization
ENSMUSG00000031955	Bcar1	GO:0007015	actin filament organization	actin_filament_organization
ENSMUSG00000040990	Sh3kbp1	GO:0007015	actin filament organization	actin_filament_organization
ENSMUSG00000079523	Tmsb10	GO:0007015	actin filament organization	actin_filament_organization
ENSMUSG00000029449	Rhof	GO:0007015	actin filament organization	actin_filament_organization
ENSMUSG00000020836	Coro6	GO:0007015	actin filament organization	actin_filament_organization
ENSMUSG00000039637	Coro7	GO:0007015	actin filament organization	actin_filament_organization
ENSMUSG00000041225	Arhgap12	GO:0007015	actin filament organization	actin_filament_organization
ENSMUSG00000034738	Nostrin	GO:0007015	actin filament organization	actin_filament_organization
ENSMUSG00000042678	Myo15a	GO:0007015	actin filament organization	actin_filament_organization
ENSMUSG00000025401	Myo1a	GO:0007015	actin filament organization	actin_filament_organization
ENSMUSG00000034675	Dbn1	GO:0007015	actin filament organization	actin_filament_organization
ENSMUSG00000031165	Was	GO:0007015	actin filament organization	actin_filament_organization
ENSMUSG00000022505	Emp2	GO:0007015	actin filament organization	actin_filament_organization
ENSMUSG00000015143	Actn1	GO:0007015	actin filament organization	actin_filament_organization
ENSMUSG00000003476	Crhr2	GO:0007015	actin filament organization	actin_filament_organization
ENSMUSG00000043850	Clrn1	GO:0007015	actin filament organization	actin_filament_organization
ENSMUSG00000028059	Arhgef2	GO:0007015	actin filament organization	actin_filament_organization
ENSMUSG00000049775	Tmsb4x	GO:0007015	actin filament organization	actin_filament_organization
ENSMUSG00000031355	Arhgap6	GO:0007015	actin filament organization	actin_filament_organization
ENSMUSG00000022770	Dlg1	GO:0007015	actin filament organization	actin_filament_organization
ENSMUSG00000061665	Cd2ap	GO:0007015	actin filament organization	actin_filament_organization
ENSMUSG00000041995	Zbed3	GO:0007015	actin filament organization	actin_filament_organization
ENSMUSG00000019359	Gdpd2	GO:0007015	actin filament organization	actin_filament_organization
ENSMUSG00000040276	Pacsin1	GO:0007015	actin filament organization	actin_filament_organization
ENSMUSG00000022831	Hcls1	GO:0007015	actin filament organization	actin_filament_organization
ENSMUSG00000024835	Coro1b	GO:0007015	actin filament organization	actin_filament_organization
ENSMUSG00000022565	Plec	GO:0007015	actin filament organization	actin_filament_organization
ENSMUSG00000032475	Nck1	GO:0007015	actin filament organization	actin_filament_organization
ENSMUSG00000045180	Shroom2	GO:0007015	actin filament organization	actin_filament_organization
ENSMUSG00000029684	Wasl	GO:0007015	actin filament organization	actin_filament_organization
ENSMUSG00000052613	Pcdh15	GO:0007015	actin filament organization	actin_filament_organization
ENSMUSG00000072955	Tmsb15l	GO:0007015	actin filament organization	actin_filament_organization
ENSMUSG00000089768	Tmsb15b1	GO:0007015	actin filament organization	actin_filament_organization
