ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000024580	Grpel2	GO:0000774	adenyl-nucleotide exchange factor activity	adenyl-nucleotide_exchange_factor_activity
ENSMUSG00000049792	Bag5	GO:0000774	adenyl-nucleotide exchange factor activity	adenyl-nucleotide_exchange_factor_activity
ENSMUSG00000024357	Sil1	GO:0000774	adenyl-nucleotide exchange factor activity	adenyl-nucleotide_exchange_factor_activity
ENSMUSG00000029198	Grpel1	GO:0000774	adenyl-nucleotide exchange factor activity	adenyl-nucleotide_exchange_factor_activity
ENSMUSG00000030847	Bag3	GO:0000774	adenyl-nucleotide exchange factor activity	adenyl-nucleotide_exchange_factor_activity
ENSMUSG00000063802	Hspbp1	GO:0000774	adenyl-nucleotide exchange factor activity	adenyl-nucleotide_exchange_factor_activity
ENSMUSG00000037316	Bag4	GO:0000774	adenyl-nucleotide exchange factor activity	adenyl-nucleotide_exchange_factor_activity
ENSMUSG00000028416	Bag1	GO:0000774	adenyl-nucleotide exchange factor activity	adenyl-nucleotide_exchange_factor_activity
ENSMUSG00000018293	Pfn1	GO:0000774	adenyl-nucleotide exchange factor activity	adenyl-nucleotide_exchange_factor_activity
ENSMUSG00000042215	Bag2	GO:0000774	adenyl-nucleotide exchange factor activity	adenyl-nucleotide_exchange_factor_activity
ENSMUSG00000029657	Hsph1	GO:0000774	adenyl-nucleotide exchange factor activity	adenyl-nucleotide_exchange_factor_activity
