ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000024897	Apba1	GO:0001540	amyloid-beta binding	amyloid-beta_binding
ENSMUSG00000024610	Cd74	GO:0001540	amyloid-beta binding	amyloid-beta_binding
ENSMUSG00000045730	Adrb2	GO:0001540	amyloid-beta binding	amyloid-beta_binding
ENSMUSG00000031239	Itm2a	GO:0001540	amyloid-beta binding	amyloid-beta_binding
ENSMUSG00000023992	Trem2	GO:0001540	amyloid-beta binding	amyloid-beta_binding
ENSMUSG00000001986	Gria3	GO:0001540	amyloid-beta binding	amyloid-beta_binding
ENSMUSG00000024346	Pfdn1	GO:0001540	amyloid-beta binding	amyloid-beta_binding
ENSMUSG00000041556	Fbxo2	GO:0001540	amyloid-beta binding	amyloid-beta_binding
ENSMUSG00000117679	Apbb3	GO:0001540	amyloid-beta binding	amyloid-beta_binding
ENSMUSG00000032060	Cryab	GO:0001540	amyloid-beta binding	amyloid-beta_binding
ENSMUSG00000022037	Clu	GO:0001540	amyloid-beta binding	amyloid-beta_binding
ENSMUSG00000027995	Tlr2	GO:0001540	amyloid-beta binding	amyloid-beta_binding
ENSMUSG00000030525	Chrna7	GO:0001540	amyloid-beta binding	amyloid-beta_binding
ENSMUSG00000008153	Clstn3	GO:0001540	amyloid-beta binding	amyloid-beta_binding
ENSMUSG00000015452	Ager	GO:0001540	amyloid-beta binding	amyloid-beta_binding
ENSMUSG00000028613	Lrp8	GO:0001540	amyloid-beta binding	amyloid-beta_binding
ENSMUSG00000030519	Apba2	GO:0001540	amyloid-beta binding	amyloid-beta_binding
ENSMUSG00000037032	Apbb1	GO:0001540	amyloid-beta binding	amyloid-beta_binding
ENSMUSG00000039953	Clstn1	GO:0001540	amyloid-beta binding	amyloid-beta_binding
ENSMUSG00000000157	Itgb2l	GO:0001540	amyloid-beta binding	amyloid-beta_binding
ENSMUSG00000049791	Fzd4	GO:0001540	amyloid-beta binding	amyloid-beta_binding
ENSMUSG00000058897	Col25a1	GO:0001540	amyloid-beta binding	amyloid-beta_binding
ENSMUSG00000026223	Itm2c	GO:0001540	amyloid-beta binding	amyloid-beta_binding
ENSMUSG00000031197	Vbp1	GO:0001540	amyloid-beta binding	amyloid-beta_binding
ENSMUSG00000049313	Sorl1	GO:0001540	amyloid-beta binding	amyloid-beta_binding
ENSMUSG00000005534	Insr	GO:0001540	amyloid-beta binding	amyloid-beta_binding
ENSMUSG00000015533	Itga2	GO:0001540	amyloid-beta binding	amyloid-beta_binding
ENSMUSG00000039239	Tgfb2	GO:0001540	amyloid-beta binding	amyloid-beta_binding
ENSMUSG00000058818	Pirb	GO:0001540	amyloid-beta binding	amyloid-beta_binding
ENSMUSG00000052270	Fpr2	GO:0001540	amyloid-beta binding	amyloid-beta_binding
ENSMUSG00000079700	Fpr3	GO:0001540	amyloid-beta binding	amyloid-beta_binding
ENSMUSG00000048062	Fpr-rs4	GO:0001540	amyloid-beta binding	amyloid-beta_binding
ENSMUSG00000071276	Fpr-rs7	GO:0001540	amyloid-beta binding	amyloid-beta_binding
ENSMUSG00000060701	Fpr-rs3	GO:0001540	amyloid-beta binding	amyloid-beta_binding
ENSMUSG00000032452	Clstn2	GO:0001540	amyloid-beta binding	amyloid-beta_binding
ENSMUSG00000002985	Apoe	GO:0001540	amyloid-beta binding	amyloid-beta_binding
ENSMUSG00000037295	Ldlrap1	GO:0001540	amyloid-beta binding	amyloid-beta_binding
ENSMUSG00000002944	Cd36	GO:0001540	amyloid-beta binding	amyloid-beta_binding
ENSMUSG00000025044	Msr1	GO:0001540	amyloid-beta binding	amyloid-beta_binding
ENSMUSG00000072966	Gprasp2	GO:0001540	amyloid-beta binding	amyloid-beta_binding
ENSMUSG00000028664	Ephb2	GO:0001540	amyloid-beta binding	amyloid-beta_binding
ENSMUSG00000032086	Bace1	GO:0001540	amyloid-beta binding	amyloid-beta_binding
ENSMUSG00000028563	Tm2d1	GO:0001540	amyloid-beta binding	amyloid-beta_binding
ENSMUSG00000037936	Scarb1	GO:0001540	amyloid-beta binding	amyloid-beta_binding
ENSMUSG00000045005	Fzd5	GO:0001540	amyloid-beta binding	amyloid-beta_binding
ENSMUSG00000039934	Gsap	GO:0001540	amyloid-beta binding	amyloid-beta_binding
ENSMUSG00000032083	Apoa1	GO:0001540	amyloid-beta binding	amyloid-beta_binding
ENSMUSG00000001289	Pfdn5	GO:0001540	amyloid-beta binding	amyloid-beta_binding
ENSMUSG00000024309	Pfdn6	GO:0001540	amyloid-beta binding	amyloid-beta_binding
ENSMUSG00000040907	Atp1a3	GO:0001540	amyloid-beta binding	amyloid-beta_binding
ENSMUSG00000022108	Itm2b	GO:0001540	amyloid-beta binding	amyloid-beta_binding
ENSMUSG00000071275	Fpr-rs6	GO:0001540	amyloid-beta binding	amyloid-beta_binding
ENSMUSG00000020524	Gria1	GO:0001540	amyloid-beta binding	amyloid-beta_binding
ENSMUSG00000026390	Marco	GO:0001540	amyloid-beta binding	amyloid-beta_binding
ENSMUSG00000006412	Pfdn2	GO:0001540	amyloid-beta binding	amyloid-beta_binding
ENSMUSG00000004931	Apba3	GO:0001540	amyloid-beta binding	amyloid-beta_binding
ENSMUSG00000048058	Ldlrad3	GO:0001540	amyloid-beta binding	amyloid-beta_binding
ENSMUSG00000032193	Ldlr	GO:0001540	amyloid-beta binding	amyloid-beta_binding
ENSMUSG00000026959	Grin1	GO:0001540	amyloid-beta binding	amyloid-beta_binding
ENSMUSG00000042388	Dlgap3	GO:0001540	amyloid-beta binding	amyloid-beta_binding
ENSMUSG00000000120	Ngfr	GO:0001540	amyloid-beta binding	amyloid-beta_binding
ENSMUSG00000079037	Prnp	GO:0001540	amyloid-beta binding	amyloid-beta_binding
ENSMUSG00000027447	Cst3	GO:0001540	amyloid-beta binding	amyloid-beta_binding
ENSMUSG00000029207	Apbb2	GO:0001540	amyloid-beta binding	amyloid-beta_binding
ENSMUSG00000052033	Pfdn4	GO:0001540	amyloid-beta binding	amyloid-beta_binding
