ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000000409	Lck	GO:0003823	antigen binding	antigen_binding
ENSMUSG00000002603	Tgfb1	GO:0003823	antigen binding	antigen_binding
ENSMUSG00000095079	Igha	GO:0003823	antigen binding	antigen_binding
ENSMUSG00000076612	Ighg2c	GO:0003823	antigen binding	antigen_binding
ENSMUSG00000104213	Ighd	GO:0003823	antigen binding	antigen_binding
ENSMUSG00000026835	Fcnb	GO:0003823	antigen binding	antigen_binding
ENSMUSG00000055024	Ep300	GO:0003823	antigen binding	antigen_binding
ENSMUSG00000030954	Gp2	GO:0003823	antigen binding	antigen_binding
ENSMUSG00000036822	Topors	GO:0003823	antigen binding	antigen_binding
ENSMUSG00000027009	Itga4	GO:0003823	antigen binding	antigen_binding
ENSMUSG00000017652	Cd40	GO:0003823	antigen binding	antigen_binding
ENSMUSG00000071158	Klrh1	GO:0003823	antigen binding	antigen_binding
ENSMUSG00000025511	Tspan4	GO:0003823	antigen binding	antigen_binding
ENSMUSG00000015787	Abo	GO:0003823	antigen binding	antigen_binding
ENSMUSG00000037379	Spon2	GO:0003823	antigen binding	antigen_binding
ENSMUSG00000067149	Jchain	GO:0003823	antigen binding	antigen_binding
