ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000024620	Pdgfrb	GO:0035909	aorta morphogenesis	aorta_morphogenesis
ENSMUSG00000025932	Eya1	GO:0035909	aorta morphogenesis	aorta_morphogenesis
ENSMUSG00000001555	Fkbp10	GO:0035909	aorta morphogenesis	aorta_morphogenesis
ENSMUSG00000020289	Nprl3	GO:0035909	aorta morphogenesis	aorta_morphogenesis
ENSMUSG00000025927	Tfap2b	GO:0035909	aorta morphogenesis	aorta_morphogenesis
ENSMUSG00000051367	Six1	GO:0035909	aorta morphogenesis	aorta_morphogenesis
ENSMUSG00000025219	Fgf8	GO:0035909	aorta morphogenesis	aorta_morphogenesis
ENSMUSG00000001751	Naglu	GO:0035909	aorta morphogenesis	aorta_morphogenesis
ENSMUSG00000022528	Hes1	GO:0035909	aorta morphogenesis	aorta_morphogenesis
ENSMUSG00000033837	Foxh1	GO:0035909	aorta morphogenesis	aorta_morphogenesis
ENSMUSG00000001052	Sec24b	GO:0035909	aorta morphogenesis	aorta_morphogenesis
ENSMUSG00000041235	Chd7	GO:0035909	aorta morphogenesis	aorta_morphogenesis
ENSMUSG00000032440	Tgfbr2	GO:0035909	aorta morphogenesis	aorta_morphogenesis
ENSMUSG00000030022	Adamts9	GO:0035909	aorta morphogenesis	aorta_morphogenesis
ENSMUSG00000027276	Jag1	GO:0035909	aorta morphogenesis	aorta_morphogenesis
ENSMUSG00000000093	Tbx2	GO:0035909	aorta morphogenesis	aorta_morphogenesis
