ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000049583	Grm5	GO:0097449	astrocyte projection	astrocyte_projection
ENSMUSG00000027737	Slc7a11	GO:0097449	astrocyte projection	astrocyte_projection
ENSMUSG00000052397	Ezr	GO:0097449	astrocyte projection	astrocyte_projection
ENSMUSG00000045103	Dmd	GO:0097449	astrocyte projection	astrocyte_projection
ENSMUSG00000031760	Mt3	GO:0097449	astrocyte projection	astrocyte_projection
ENSMUSG00000003974	Grm3	GO:0097449	astrocyte projection	astrocyte_projection
ENSMUSG00000024261	Syt4	GO:0097449	astrocyte projection	astrocyte_projection
ENSMUSG00000022892	App	GO:0097449	astrocyte projection	astrocyte_projection
ENSMUSG00000028756	Pink1	GO:0097449	astrocyte projection	astrocyte_projection
ENSMUSG00000020932	Gfap	GO:0097449	astrocyte projection	astrocyte_projection
ENSMUSG00000046352	Gjb2	GO:0097449	astrocyte projection	astrocyte_projection
ENSMUSG00000044708	Kcnj10	GO:0097449	astrocyte projection	astrocyte_projection
ENSMUSG00000005089	Slc1a2	GO:0097449	astrocyte projection	astrocyte_projection
ENSMUSG00000023192	Grm2	GO:0097449	astrocyte projection	astrocyte_projection
ENSMUSG00000037624	Kcnk2	GO:0097449	astrocyte projection	astrocyte_projection
ENSMUSG00000041329	Atp1b2	GO:0097449	astrocyte projection	astrocyte_projection
