ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000037526	Atg14	GO:0000421	autophagosome membrane	autophagosome_membrane
ENSMUSG00000031242	Chmp1b2	GO:0000421	autophagosome membrane	autophagosome_membrane
ENSMUSG00000016534	Lamp2	GO:0000421	autophagosome membrane	autophagosome_membrane
ENSMUSG00000045374	Wdr81	GO:0000421	autophagosome membrane	autophagosome_membrane
ENSMUSG00000043940	Wdfy3	GO:0000421	autophagosome membrane	autophagosome_membrane
ENSMUSG00000031447	Lamp1	GO:0000421	autophagosome membrane	autophagosome_membrane
ENSMUSG00000053119	Chmp3	GO:0000421	autophagosome membrane	autophagosome_membrane
ENSMUSG00000040813	Tex264	GO:0000421	autophagosome membrane	autophagosome_membrane
ENSMUSG00000066621	Tecpr1	GO:0000421	autophagosome membrane	autophagosome_membrane
ENSMUSG00000109901	Chmp1b	GO:0000421	autophagosome membrane	autophagosome_membrane
ENSMUSG00000095463	Entpd4	GO:0000421	autophagosome membrane	autophagosome_membrane
ENSMUSG00000022066	Entpd4b	GO:0000421	autophagosome membrane	autophagosome_membrane
ENSMUSG00000034190	Chmp7	GO:0000421	autophagosome membrane	autophagosome_membrane
ENSMUSG00000004843	Chmp2b	GO:0000421	autophagosome membrane	autophagosome_membrane
ENSMUSG00000031950	Gabarapl2	GO:0000421	autophagosome membrane	autophagosome_membrane
ENSMUSG00000054409	Tmem74	GO:0000421	autophagosome membrane	autophagosome_membrane
ENSMUSG00000002688	Prkd1	GO:0000421	autophagosome membrane	autophagosome_membrane
ENSMUSG00000034959	Rubcnl	GO:0000421	autophagosome membrane	autophagosome_membrane
ENSMUSG00000027536	Chmp4c	GO:0000421	autophagosome membrane	autophagosome_membrane
ENSMUSG00000038467	Chmp4b	GO:0000421	autophagosome membrane	autophagosome_membrane
ENSMUSG00000027602	Map1lc3a	GO:0000421	autophagosome membrane	autophagosome_membrane
ENSMUSG00000021690	Jmy	GO:0000421	autophagosome membrane	autophagosome_membrane
ENSMUSG00000030161	Gabarapl1	GO:0000421	autophagosome membrane	autophagosome_membrane
ENSMUSG00000046879	Irgm1	GO:0000421	autophagosome membrane	autophagosome_membrane
ENSMUSG00000031007	Atp6ap2	GO:0000421	autophagosome membrane	autophagosome_membrane
ENSMUSG00000024349	Sting1	GO:0000421	autophagosome membrane	autophagosome_membrane
ENSMUSG00000029512	Ulk1	GO:0000421	autophagosome membrane	autophagosome_membrane
ENSMUSG00000037062	Sh3glb1	GO:0000421	autophagosome membrane	autophagosome_membrane
ENSMUSG00000036853	Mcoln3	GO:0000421	autophagosome membrane	autophagosome_membrane
ENSMUSG00000022765	Snap29	GO:0000421	autophagosome membrane	autophagosome_membrane
ENSMUSG00000046456	Tmem150b	GO:0000421	autophagosome membrane	autophagosome_membrane
ENSMUSG00000002320	Tm9sf1	GO:0000421	autophagosome membrane	autophagosome_membrane
ENSMUSG00000035354	Uvrag	GO:0000421	autophagosome membrane	autophagosome_membrane
ENSMUSG00000031812	Map1lc3b	GO:0000421	autophagosome membrane	autophagosome_membrane
ENSMUSG00000027642	Rpn2	GO:0000421	autophagosome membrane	autophagosome_membrane
ENSMUSG00000000743	Chmp1a	GO:0000421	autophagosome membrane	autophagosome_membrane
ENSMUSG00000036622	Atp13a2	GO:0000421	autophagosome membrane	autophagosome_membrane
ENSMUSG00000025907	Rb1cc1	GO:0000421	autophagosome membrane	autophagosome_membrane
ENSMUSG00000078853	Igtp	GO:0000421	autophagosome membrane	autophagosome_membrane
ENSMUSG00000069874	Irgm2	GO:0000421	autophagosome membrane	autophagosome_membrane
ENSMUSG00000018567	Gabarap	GO:0000421	autophagosome membrane	autophagosome_membrane
ENSMUSG00000047767	Atg16l2	GO:0000421	autophagosome membrane	autophagosome_membrane
ENSMUSG00000018171	Vmp1	GO:0000421	autophagosome membrane	autophagosome_membrane
ENSMUSG00000028419	Chmp5	GO:0000421	autophagosome membrane	autophagosome_membrane
ENSMUSG00000041895	Wipi1	GO:0000421	autophagosome membrane	autophagosome_membrane
ENSMUSG00000079477	Rab7	GO:0000421	autophagosome membrane	autophagosome_membrane
ENSMUSG00000061455	Stx17	GO:0000421	autophagosome membrane	autophagosome_membrane
ENSMUSG00000026289	Atg16l1	GO:0000421	autophagosome membrane	autophagosome_membrane
ENSMUSG00000006056	Calcoco2	GO:0000421	autophagosome membrane	autophagosome_membrane
ENSMUSG00000033916	Chmp2a	GO:0000421	autophagosome membrane	autophagosome_membrane
ENSMUSG00000025371	Chmp6	GO:0000421	autophagosome membrane	autophagosome_membrane
