ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000050697	Prkaa1	GO:0006914	autophagy	autophagy
ENSMUSG00000022705	Drd3	GO:0006914	autophagy	autophagy
ENSMUSG00000056900	Usp13	GO:0006914	autophagy	autophagy
ENSMUSG00000037526	Atg14	GO:0006914	autophagy	autophagy
ENSMUSG00000033628	Pik3c3	GO:0006914	autophagy	autophagy
ENSMUSG00000022663	Atg3	GO:0006914	autophagy	autophagy
ENSMUSG00000031242	Chmp1b2	GO:0006914	autophagy	autophagy
ENSMUSG00000104158	Becn2	GO:0006914	autophagy	autophagy
ENSMUSG00000031913	Vps4a	GO:0006914	autophagy	autophagy
ENSMUSG00000016534	Lamp2	GO:0006914	autophagy	autophagy
ENSMUSG00000029020	Mfn2	GO:0006914	autophagy	autophagy
ENSMUSG00000023923	Tbc1d5	GO:0006914	autophagy	autophagy
ENSMUSG00000020057	Dram1	GO:0006914	autophagy	autophagy
ENSMUSG00000043940	Wdfy3	GO:0006914	autophagy	autophagy
ENSMUSG00000039735	Fnbp1l	GO:0006914	autophagy	autophagy
ENSMUSG00000028618	Tmem59	GO:0006914	autophagy	autophagy
ENSMUSG00000053119	Chmp3	GO:0006914	autophagy	autophagy
ENSMUSG00000040813	Tex264	GO:0006914	autophagy	autophagy
ENSMUSG00000075000	Nrbf2	GO:0006914	autophagy	autophagy
ENSMUSG00000024773	Atg2a	GO:0006914	autophagy	autophagy
ENSMUSG00000062906	Hdac10	GO:0006914	autophagy	autophagy
ENSMUSG00000066621	Tecpr1	GO:0006914	autophagy	autophagy
ENSMUSG00000022270	Retreg1	GO:0006914	autophagy	autophagy
ENSMUSG00000109901	Chmp1b	GO:0006914	autophagy	autophagy
ENSMUSG00000062762	Ei24	GO:0006914	autophagy	autophagy
ENSMUSG00000020758	Itgb4	GO:0006914	autophagy	autophagy
ENSMUSG00000034190	Chmp7	GO:0006914	autophagy	autophagy
ENSMUSG00000022620	Arsa	GO:0006914	autophagy	autophagy
ENSMUSG00000004843	Chmp2b	GO:0006914	autophagy	autophagy
ENSMUSG00000039168	Dap	GO:0006914	autophagy	autophagy
ENSMUSG00000032905	Atg12	GO:0006914	autophagy	autophagy
ENSMUSG00000031950	Gabarapl2	GO:0006914	autophagy	autophagy
ENSMUSG00000038160	Atg5	GO:0006914	autophagy	autophagy
ENSMUSG00000030881	Arfip2	GO:0006914	autophagy	autophagy
ENSMUSG00000026672	Optn	GO:0006914	autophagy	autophagy
ENSMUSG00000044167	Foxo1	GO:0006914	autophagy	autophagy
ENSMUSG00000027291	Vps39	GO:0006914	autophagy	autophagy
ENSMUSG00000006930	Hap1	GO:0006914	autophagy	autophagy
ENSMUSG00000035104	Eva1a	GO:0006914	autophagy	autophagy
ENSMUSG00000039840	Epg5	GO:0006914	autophagy	autophagy
ENSMUSG00000054409	Tmem74	GO:0006914	autophagy	autophagy
ENSMUSG00000032308	Ulk3	GO:0006914	autophagy	autophagy
ENSMUSG00000038520	Tbc1d17	GO:0006914	autophagy	autophagy
ENSMUSG00000028165	Cisd2	GO:0006914	autophagy	autophagy
ENSMUSG00000029434	Vps33a	GO:0006914	autophagy	autophagy
ENSMUSG00000031202	Rab39b	GO:0006914	autophagy	autophagy
ENSMUSG00000026589	Sec16b	GO:0006914	autophagy	autophagy
ENSMUSG00000038028	Tigar	GO:0006914	autophagy	autophagy
ENSMUSG00000049323	Smcr8	GO:0006914	autophagy	autophagy
ENSMUSG00000024410	Rmc1	GO:0006914	autophagy	autophagy
ENSMUSG00000024413	Npc1	GO:0006914	autophagy	autophagy
ENSMUSG00000008604	Ubqln4	GO:0006914	autophagy	autophagy
ENSMUSG00000023010	Tmbim6	GO:0006914	autophagy	autophagy
ENSMUSG00000023826	Prkn	GO:0006914	autophagy	autophagy
ENSMUSG00000021619	Atg10	GO:0006914	autophagy	autophagy
ENSMUSG00000027536	Chmp4c	GO:0006914	autophagy	autophagy
ENSMUSG00000039201	Tbc1d25	GO:0006914	autophagy	autophagy
ENSMUSG00000021814	Anxa7	GO:0006914	autophagy	autophagy
ENSMUSG00000068663	Clec16a	GO:0006914	autophagy	autophagy
ENSMUSG00000046230	Vps13a	GO:0006914	autophagy	autophagy
ENSMUSG00000041341	Atg2b	GO:0006914	autophagy	autophagy
ENSMUSG00000047554	Tmem41b	GO:0006914	autophagy	autophagy
ENSMUSG00000038467	Chmp4b	GO:0006914	autophagy	autophagy
ENSMUSG00000001751	Naglu	GO:0006914	autophagy	autophagy
ENSMUSG00000027602	Map1lc3a	GO:0006914	autophagy	autophagy
ENSMUSG00000038375	Trp53inp2	GO:0006914	autophagy	autophagy
ENSMUSG00000025373	Rnf41	GO:0006914	autophagy	autophagy
ENSMUSG00000017802	Retreg3	GO:0006914	autophagy	autophagy
ENSMUSG00000004798	Ulk2	GO:0006914	autophagy	autophagy
ENSMUSG00000038371	Sbf2	GO:0006914	autophagy	autophagy
ENSMUSG00000090084	Srpx	GO:0006914	autophagy	autophagy
ENSMUSG00000042082	Arsb	GO:0006914	autophagy	autophagy
ENSMUSG00000057554	Lgals8	GO:0006914	autophagy	autophagy
ENSMUSG00000030161	Gabarapl1	GO:0006914	autophagy	autophagy
ENSMUSG00000066551	Hmgb1	GO:0006914	autophagy	autophagy
ENSMUSG00000042015	Wdr41	GO:0006914	autophagy	autophagy
ENSMUSG00000087119	Atg4a-ps	GO:0006914	autophagy	autophagy
ENSMUSG00000032127	Vps11	GO:0006914	autophagy	autophagy
ENSMUSG00000068923	Syt11	GO:0006914	autophagy	autophagy
ENSMUSG00000046879	Irgm1	GO:0006914	autophagy	autophagy
ENSMUSG00000035086	Becn1	GO:0006914	autophagy	autophagy
