ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000021994	Wnt5a	GO:0007413	axonal fasciculation	axonal_fasciculation
ENSMUSG00000031628	Casp3	GO:0007413	axonal fasciculation	axonal_fasciculation
ENSMUSG00000020458	Rtn4	GO:0007413	axonal fasciculation	axonal_fasciculation
ENSMUSG00000022231	Sema5a	GO:0007413	axonal fasciculation	axonal_fasciculation
ENSMUSG00000058230	Arhgap35	GO:0007413	axonal fasciculation	axonal_fasciculation
ENSMUSG00000022762	Ncam2	GO:0007413	axonal fasciculation	axonal_fasciculation
ENSMUSG00000042401	Crtac1	GO:0007413	axonal fasciculation	axonal_fasciculation
ENSMUSG00000005958	Ephb3	GO:0007413	axonal fasciculation	axonal_fasciculation
ENSMUSG00000023915	Tnfrsf21	GO:0007413	axonal fasciculation	axonal_fasciculation
ENSMUSG00000068748	Ptprz1	GO:0007413	axonal fasciculation	axonal_fasciculation
ENSMUSG00000053024	Cntn2	GO:0007413	axonal fasciculation	axonal_fasciculation
ENSMUSG00000025810	Nrp1	GO:0007413	axonal fasciculation	axonal_fasciculation
ENSMUSG00000028664	Ephb2	GO:0007413	axonal fasciculation	axonal_fasciculation
ENSMUSG00000050947	Amigo1	GO:0007413	axonal fasciculation	axonal_fasciculation
ENSMUSG00000048895	Cdk5r1	GO:0007413	axonal fasciculation	axonal_fasciculation
ENSMUSG00000021743	Fezf2	GO:0007413	axonal fasciculation	axonal_fasciculation
ENSMUSG00000027997	Casp6	GO:0007413	axonal fasciculation	axonal_fasciculation
ENSMUSG00000044288	Cnr1	GO:0007413	axonal fasciculation	axonal_fasciculation
ENSMUSG00000023473	Celsr3	GO:0007413	axonal fasciculation	axonal_fasciculation
ENSMUSG00000033585	Ndn	GO:0007413	axonal fasciculation	axonal_fasciculation
