ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000030236	Slco1b2	GO:0009925	basal plasma membrane	basal_plasma_membrane
ENSMUSG00000030237	Slco1a4	GO:0009925	basal plasma membrane	basal_plasma_membrane
ENSMUSG00000041698	Slco1a1	GO:0009925	basal plasma membrane	basal_plasma_membrane
ENSMUSG00000079262	Slco1a6	GO:0009925	basal plasma membrane	basal_plasma_membrane
ENSMUSG00000005360	Slc1a3	GO:0009925	basal plasma membrane	basal_plasma_membrane
ENSMUSG00000074272	Ceacam1	GO:0009925	basal plasma membrane	basal_plasma_membrane
ENSMUSG00000054385	Ceacam2	GO:0009925	basal plasma membrane	basal_plasma_membrane
ENSMUSG00000017774	Myo1c	GO:0009925	basal plasma membrane	basal_plasma_membrane
ENSMUSG00000015452	Ager	GO:0009925	basal plasma membrane	basal_plasma_membrane
ENSMUSG00000062312	Erbb2	GO:0009925	basal plasma membrane	basal_plasma_membrane
ENSMUSG00000068270	Shroom4	GO:0009925	basal plasma membrane	basal_plasma_membrane
ENSMUSG00000020758	Itgb4	GO:0009925	basal plasma membrane	basal_plasma_membrane
ENSMUSG00000034462	Pkd2	GO:0009925	basal plasma membrane	basal_plasma_membrane
ENSMUSG00000069601	Ank3	GO:0009925	basal plasma membrane	basal_plasma_membrane
ENSMUSG00000022469	Rapgef3	GO:0009925	basal plasma membrane	basal_plasma_membrane
ENSMUSG00000037418	Best1	GO:0009925	basal plasma membrane	basal_plasma_membrane
ENSMUSG00000028552	Eps15	GO:0009925	basal plasma membrane	basal_plasma_membrane
ENSMUSG00000007655	Cav1	GO:0009925	basal plasma membrane	basal_plasma_membrane
ENSMUSG00000025790	Slco3a1	GO:0009925	basal plasma membrane	basal_plasma_membrane
ENSMUSG00000025401	Myo1a	GO:0009925	basal plasma membrane	basal_plasma_membrane
ENSMUSG00000009376	Met	GO:0009925	basal plasma membrane	basal_plasma_membrane
ENSMUSG00000044217	Aqp5	GO:0009925	basal plasma membrane	basal_plasma_membrane
ENSMUSG00000040966	Slc22a2	GO:0009925	basal plasma membrane	basal_plasma_membrane
ENSMUSG00000023829	Slc22a1	GO:0009925	basal plasma membrane	basal_plasma_membrane
ENSMUSG00000024411	Aqp4	GO:0009925	basal plasma membrane	basal_plasma_membrane
ENSMUSG00000046159	Chrm3	GO:0009925	basal plasma membrane	basal_plasma_membrane
ENSMUSG00000004655	Aqp1	GO:0009925	basal plasma membrane	basal_plasma_membrane
ENSMUSG00000041313	Slc7a1	GO:0009925	basal plasma membrane	basal_plasma_membrane
ENSMUSG00000018166	Erbb3	GO:0009925	basal plasma membrane	basal_plasma_membrane
ENSMUSG00000022770	Dlg1	GO:0009925	basal plasma membrane	basal_plasma_membrane
ENSMUSG00000032988	Slc16a8	GO:0009925	basal plasma membrane	basal_plasma_membrane
ENSMUSG00000036353	P2ry12	GO:0009925	basal plasma membrane	basal_plasma_membrane
ENSMUSG00000024597	Slc12a2	GO:0009925	basal plasma membrane	basal_plasma_membrane
ENSMUSG00000071454	Dtnb	GO:0009925	basal plasma membrane	basal_plasma_membrane
ENSMUSG00000030549	Rhcg	GO:0009925	basal plasma membrane	basal_plasma_membrane
ENSMUSG00000024354	Slc23a1	GO:0009925	basal plasma membrane	basal_plasma_membrane
ENSMUSG00000027111	Itga6	GO:0009925	basal plasma membrane	basal_plasma_membrane
ENSMUSG00000032902	Slc16a1	GO:0009925	basal plasma membrane	basal_plasma_membrane
ENSMUSG00000067336	Bmpr2	GO:0009925	basal plasma membrane	basal_plasma_membrane
ENSMUSG00000037295	Ldlrap1	GO:0009925	basal plasma membrane	basal_plasma_membrane
ENSMUSG00000022565	Plec	GO:0009925	basal plasma membrane	basal_plasma_membrane
ENSMUSG00000035638	Muc20	GO:0009925	basal plasma membrane	basal_plasma_membrane
ENSMUSG00000036960	Clca2	GO:0009925	basal plasma membrane	basal_plasma_membrane
ENSMUSG00000023088	Abcc1	GO:0009925	basal plasma membrane	basal_plasma_membrane
ENSMUSG00000032842	Abcc10	GO:0009925	basal plasma membrane	basal_plasma_membrane
ENSMUSG00000016494	Cd34	GO:0009925	basal plasma membrane	basal_plasma_membrane
ENSMUSG00000067144	Slc22a7	GO:0009925	basal plasma membrane	basal_plasma_membrane
ENSMUSG00000032548	Slco2a1	GO:0009925	basal plasma membrane	basal_plasma_membrane
ENSMUSG00000006386	Tek	GO:0009925	basal plasma membrane	basal_plasma_membrane
ENSMUSG00000032554	Trf	GO:0009925	basal plasma membrane	basal_plasma_membrane
ENSMUSG00000024650	Slc22a6	GO:0009925	basal plasma membrane	basal_plasma_membrane
ENSMUSG00000010095	Slc3a2	GO:0009925	basal plasma membrane	basal_plasma_membrane
ENSMUSG00000031808	Slc27a1	GO:0009925	basal plasma membrane	basal_plasma_membrane
ENSMUSG00000063652	Slc22a21	GO:0009925	basal plasma membrane	basal_plasma_membrane
ENSMUSG00000020334	Slc22a4	GO:0009925	basal plasma membrane	basal_plasma_membrane
ENSMUSG00000062209	Erbb4	GO:0009925	basal plasma membrane	basal_plasma_membrane
ENSMUSG00000040010	Slc7a5	GO:0009925	basal plasma membrane	basal_plasma_membrane
ENSMUSG00000030737	Slco2b1	GO:0009925	basal plasma membrane	basal_plasma_membrane
ENSMUSG00000022180	Slc7a8	GO:0009925	basal plasma membrane	basal_plasma_membrane
ENSMUSG00000042616	Oscp1	GO:0009925	basal plasma membrane	basal_plasma_membrane
ENSMUSG00000039115	Itga9	GO:0009925	basal plasma membrane	basal_plasma_membrane
ENSMUSG00000051397	Tacstd2	GO:0009925	basal plasma membrane	basal_plasma_membrane
ENSMUSG00000047501	Cldn4	GO:0009925	basal plasma membrane	basal_plasma_membrane
ENSMUSG00000020122	Egfr	GO:0009925	basal plasma membrane	basal_plasma_membrane
ENSMUSG00000028631	Kcnq4	GO:0009925	basal plasma membrane	basal_plasma_membrane
ENSMUSG00000027340	Slc23a2	GO:0009925	basal plasma membrane	basal_plasma_membrane
ENSMUSG00000030382	Slc27a5	GO:0009925	basal plasma membrane	basal_plasma_membrane
ENSMUSG00000074361	C5ar2	GO:0009925	basal plasma membrane	basal_plasma_membrane
ENSMUSG00000028542	Slc6a9	GO:0009925	basal plasma membrane	basal_plasma_membrane
ENSMUSG00000030834	Abcc6	GO:0009925	basal plasma membrane	basal_plasma_membrane
ENSMUSG00000032737	Inppl1	GO:0009925	basal plasma membrane	basal_plasma_membrane
ENSMUSG00000020681	Ace	GO:0009925	basal plasma membrane	basal_plasma_membrane
ENSMUSG00000020865	Abcc3	GO:0009925	basal plasma membrane	basal_plasma_membrane
ENSMUSG00000018900	Slc22a5	GO:0009925	basal plasma membrane	basal_plasma_membrane
ENSMUSG00000037706	Cd81	GO:0009925	basal plasma membrane	basal_plasma_membrane
ENSMUSG00000057182	Scn3a	GO:0009925	basal plasma membrane	basal_plasma_membrane
