ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000068617	Efcab1	GO:0048487	beta-tubulin binding	beta-tubulin_binding
ENSMUSG00000037415	Ranbp10	GO:0048487	beta-tubulin binding	beta-tubulin_binding
ENSMUSG00000040760	Appl1	GO:0048487	beta-tubulin binding	beta-tubulin_binding
ENSMUSG00000028975	Pex14	GO:0048487	beta-tubulin binding	beta-tubulin_binding
ENSMUSG00000022234	Cct5	GO:0048487	beta-tubulin binding	beta-tubulin_binding
ENSMUSG00000034891	Sncb	GO:0048487	beta-tubulin binding	beta-tubulin_binding
ENSMUSG00000001964	Emd	GO:0048487	beta-tubulin binding	beta-tubulin_binding
ENSMUSG00000017291	Taok1	GO:0048487	beta-tubulin binding	beta-tubulin_binding
ENSMUSG00000031137	Fgf13	GO:0048487	beta-tubulin binding	beta-tubulin_binding
ENSMUSG00000050953	Gja1	GO:0048487	beta-tubulin binding	beta-tubulin_binding
ENSMUSG00000037196	Pacrg	GO:0048487	beta-tubulin binding	beta-tubulin_binding
ENSMUSG00000023015	Racgap1	GO:0048487	beta-tubulin binding	beta-tubulin_binding
ENSMUSG00000029104	Htt	GO:0048487	beta-tubulin binding	beta-tubulin_binding
ENSMUSG00000024068	Spast	GO:0048487	beta-tubulin binding	beta-tubulin_binding
ENSMUSG00000055368	Slc6a2	GO:0048487	beta-tubulin binding	beta-tubulin_binding
ENSMUSG00000025235	Bbs4	GO:0048487	beta-tubulin binding	beta-tubulin_binding
ENSMUSG00000042043	Tbca	GO:0048487	beta-tubulin binding	beta-tubulin_binding
ENSMUSG00000024974	Smc3	GO:0048487	beta-tubulin binding	beta-tubulin_binding
ENSMUSG00000068923	Syt11	GO:0048487	beta-tubulin binding	beta-tubulin_binding
ENSMUSG00000032624	Eml4	GO:0048487	beta-tubulin binding	beta-tubulin_binding
ENSMUSG00000023064	Sncg	GO:0048487	beta-tubulin binding	beta-tubulin_binding
ENSMUSG00000024120	Lrpprc	GO:0048487	beta-tubulin binding	beta-tubulin_binding
ENSMUSG00000025889	Snca	GO:0048487	beta-tubulin binding	beta-tubulin_binding
ENSMUSG00000030105	Arl8b	GO:0048487	beta-tubulin binding	beta-tubulin_binding
ENSMUSG00000028576	Ift74	GO:0048487	beta-tubulin binding	beta-tubulin_binding
ENSMUSG00000036745	Ttll7	GO:0048487	beta-tubulin binding	beta-tubulin_binding
ENSMUSG00000019261	Map1s	GO:0048487	beta-tubulin binding	beta-tubulin_binding
ENSMUSG00000018736	Ndel1	GO:0048487	beta-tubulin binding	beta-tubulin_binding
ENSMUSG00000031161	Hdac6	GO:0048487	beta-tubulin binding	beta-tubulin_binding
ENSMUSG00000001134	Uxt	GO:0048487	beta-tubulin binding	beta-tubulin_binding
ENSMUSG00000039230	Tbcd	GO:0048487	beta-tubulin binding	beta-tubulin_binding
ENSMUSG00000014158	Trpv4	GO:0048487	beta-tubulin binding	beta-tubulin_binding
ENSMUSG00000040055	Gjb6	GO:0048487	beta-tubulin binding	beta-tubulin_binding
ENSMUSG00000010136	Pifo	GO:0048487	beta-tubulin binding	beta-tubulin_binding
ENSMUSG00000026360	Rgs2	GO:0048487	beta-tubulin binding	beta-tubulin_binding
ENSMUSG00000018567	Gabarap	GO:0048487	beta-tubulin binding	beta-tubulin_binding
ENSMUSG00000059439	Bcas3	GO:0048487	beta-tubulin binding	beta-tubulin_binding
ENSMUSG00000028413	B4galt1	GO:0048487	beta-tubulin binding	beta-tubulin_binding
ENSMUSG00000018428	Akap1	GO:0048487	beta-tubulin binding	beta-tubulin_binding
ENSMUSG00000030417	Pdcd5	GO:0048487	beta-tubulin binding	beta-tubulin_binding
ENSMUSG00000038060	Dlec1	GO:0048487	beta-tubulin binding	beta-tubulin_binding
ENSMUSG00000051149	Adnp	GO:0048487	beta-tubulin binding	beta-tubulin_binding
ENSMUSG00000054455	Vapb	GO:0048487	beta-tubulin binding	beta-tubulin_binding
