ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000024620	Pdgfrb	GO:0001568	blood vessel development	blood_vessel_development
ENSMUSG00000033792	Atp7a	GO:0001568	blood vessel development	blood_vessel_development
ENSMUSG00000020184	Mdm2	GO:0001568	blood vessel development	blood_vessel_development
ENSMUSG00000062232	Rapgef2	GO:0001568	blood vessel development	blood_vessel_development
ENSMUSG00000028517	Plpp3	GO:0001568	blood vessel development	blood_vessel_development
ENSMUSG00000019789	Hey2	GO:0001568	blood vessel development	blood_vessel_development
ENSMUSG00000026043	Col3a1	GO:0001568	blood vessel development	blood_vessel_development
ENSMUSG00000074272	Ceacam1	GO:0001568	blood vessel development	blood_vessel_development
ENSMUSG00000019846	Lama4	GO:0001568	blood vessel development	blood_vessel_development
ENSMUSG00000029661	Col1a2	GO:0001568	blood vessel development	blood_vessel_development
ENSMUSG00000049115	Agtr1a	GO:0001568	blood vessel development	blood_vessel_development
ENSMUSG00000032855	Pkd1	GO:0001568	blood vessel development	blood_vessel_development
ENSMUSG00000022607	Ptk2	GO:0001568	blood vessel development	blood_vessel_development
ENSMUSG00000074676	Foxs1	GO:0001568	blood vessel development	blood_vessel_development
ENSMUSG00000024529	Lox	GO:0001568	blood vessel development	blood_vessel_development
ENSMUSG00000026837	Col5a1	GO:0001568	blood vessel development	blood_vessel_development
ENSMUSG00000049791	Fzd4	GO:0001568	blood vessel development	blood_vessel_development
ENSMUSG00000044167	Foxo1	GO:0001568	blood vessel development	blood_vessel_development
ENSMUSG00000057123	Gja5	GO:0001568	blood vessel development	blood_vessel_development
ENSMUSG00000036180	Gatad2a	GO:0001568	blood vessel development	blood_vessel_development
ENSMUSG00000005583	Mef2c	GO:0001568	blood vessel development	blood_vessel_development
ENSMUSG00000056962	Jmjd6	GO:0001568	blood vessel development	blood_vessel_development
ENSMUSG00000029646	Cdx2	GO:0001568	blood vessel development	blood_vessel_development
ENSMUSG00000032327	Stra6	GO:0001568	blood vessel development	blood_vessel_development
ENSMUSG00000039239	Tgfb2	GO:0001568	blood vessel development	blood_vessel_development
ENSMUSG00000024294	Mib1	GO:0001568	blood vessel development	blood_vessel_development
ENSMUSG00000026700	Tnfsf4	GO:0001568	blood vessel development	blood_vessel_development
