ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000024304	Cdh2	GO:0048514	blood vessel morphogenesis	blood_vessel_morphogenesis
ENSMUSG00000021367	Edn1	GO:0048514	blood vessel morphogenesis	blood_vessel_morphogenesis
ENSMUSG00000024935	Slc1a1	GO:0048514	blood vessel morphogenesis	blood_vessel_morphogenesis
ENSMUSG00000038224	Serpinf2	GO:0048514	blood vessel morphogenesis	blood_vessel_morphogenesis
ENSMUSG00000024913	Lrp5	GO:0048514	blood vessel morphogenesis	blood_vessel_morphogenesis
ENSMUSG00000021457	Syk	GO:0048514	blood vessel morphogenesis	blood_vessel_morphogenesis
ENSMUSG00000031465	Angpt2	GO:0048514	blood vessel morphogenesis	blood_vessel_morphogenesis
ENSMUSG00000024529	Lox	GO:0048514	blood vessel morphogenesis	blood_vessel_morphogenesis
ENSMUSG00000032796	Lama1	GO:0048514	blood vessel morphogenesis	blood_vessel_morphogenesis
ENSMUSG00000030551	Nr2f2	GO:0048514	blood vessel morphogenesis	blood_vessel_morphogenesis
ENSMUSG00000028029	Aimp1	GO:0048514	blood vessel morphogenesis	blood_vessel_morphogenesis
ENSMUSG00000050953	Gja1	GO:0048514	blood vessel morphogenesis	blood_vessel_morphogenesis
ENSMUSG00000021549	Rasa1	GO:0048514	blood vessel morphogenesis	blood_vessel_morphogenesis
ENSMUSG00000041688	Amot	GO:0048514	blood vessel morphogenesis	blood_vessel_morphogenesis
ENSMUSG00000021732	Fgf10	GO:0048514	blood vessel morphogenesis	blood_vessel_morphogenesis
ENSMUSG00000001300	Efnb2	GO:0048514	blood vessel morphogenesis	blood_vessel_morphogenesis
ENSMUSG00000024087	Cyp1b1	GO:0048514	blood vessel morphogenesis	blood_vessel_morphogenesis
ENSMUSG00000031502	Col4a1	GO:0048514	blood vessel morphogenesis	blood_vessel_morphogenesis
ENSMUSG00000072625	Gdf2	GO:0048514	blood vessel morphogenesis	blood_vessel_morphogenesis
ENSMUSG00000020357	Flt4	GO:0048514	blood vessel morphogenesis	blood_vessel_morphogenesis
ENSMUSG00000023951	Vegfa	GO:0048514	blood vessel morphogenesis	blood_vessel_morphogenesis
ENSMUSG00000021109	Hif1a	GO:0048514	blood vessel morphogenesis	blood_vessel_morphogenesis
ENSMUSG00000031565	Fgfr1	GO:0048514	blood vessel morphogenesis	blood_vessel_morphogenesis
ENSMUSG00000000530	Acvrl1	GO:0048514	blood vessel morphogenesis	blood_vessel_morphogenesis
ENSMUSG00000006445	Epha2	GO:0048514	blood vessel morphogenesis	blood_vessel_morphogenesis
ENSMUSG00000024241	Sos1	GO:0048514	blood vessel morphogenesis	blood_vessel_morphogenesis
ENSMUSG00000032216	Nedd4	GO:0048514	blood vessel morphogenesis	blood_vessel_morphogenesis
ENSMUSG00000044813	Shb	GO:0048514	blood vessel morphogenesis	blood_vessel_morphogenesis
ENSMUSG00000020160	Meis1	GO:0048514	blood vessel morphogenesis	blood_vessel_morphogenesis
ENSMUSG00000006311	Etv2	GO:0048514	blood vessel morphogenesis	blood_vessel_morphogenesis
ENSMUSG00000002057	Foxn1	GO:0048514	blood vessel morphogenesis	blood_vessel_morphogenesis
