ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000021270	Hsp90aa1	GO:0031526	brush border membrane	brush_border_membrane
ENSMUSG00000033792	Atp7a	GO:0031526	brush border membrane	brush_border_membrane
ENSMUSG00000036083	Slc17a3	GO:0031526	brush border membrane	brush_border_membrane
ENSMUSG00000021336	Slc17a4	GO:0031526	brush border membrane	brush_border_membrane
ENSMUSG00000021612	Slc6a18	GO:0031526	brush border membrane	brush_border_membrane
ENSMUSG00000039529	Atp8b1	GO:0031526	brush border membrane	brush_border_membrane
ENSMUSG00000021565	Slc6a19	GO:0031526	brush border membrane	brush_border_membrane
ENSMUSG00000037541	Shank2	GO:0031526	brush border membrane	brush_border_membrane
ENSMUSG00000036123	Slc9a3	GO:0031526	brush border membrane	brush_border_membrane
ENSMUSG00000020062	Slc5a8	GO:0031526	brush border membrane	brush_border_membrane
ENSMUSG00000029299	Abcg3	GO:0031526	brush border membrane	brush_border_membrane
ENSMUSG00000020651	Slc26a4	GO:0031526	brush border membrane	brush_border_membrane
ENSMUSG00000037656	Slc20a2	GO:0031526	brush border membrane	brush_border_membrane
ENSMUSG00000034918	Cdhr2	GO:0031526	brush border membrane	brush_border_membrane
ENSMUSG00000000301	Pemt	GO:0031526	brush border membrane	brush_border_membrane
ENSMUSG00000027737	Slc7a11	GO:0031526	brush border membrane	brush_border_membrane
ENSMUSG00000028024	Enpep	GO:0031526	brush border membrane	brush_border_membrane
ENSMUSG00000022469	Rapgef3	GO:0031526	brush border membrane	brush_border_membrane
ENSMUSG00000021490	Slc34a1	GO:0031526	brush border membrane	brush_border_membrane
ENSMUSG00000025194	Abcc2	GO:0031526	brush border membrane	brush_border_membrane
ENSMUSG00000040584	Abcb1a	GO:0031526	brush border membrane	brush_border_membrane
ENSMUSG00000027070	Lrp2	GO:0031526	brush border membrane	brush_border_membrane
ENSMUSG00000001082	Mfsd10	GO:0031526	brush border membrane	brush_border_membrane
ENSMUSG00000015401	Cltrn	GO:0031526	brush border membrane	brush_border_membrane
ENSMUSG00000015405	Ace2	GO:0031526	brush border membrane	brush_border_membrane
ENSMUSG00000023022	Lima1	GO:0031526	brush border membrane	brush_border_membrane
ENSMUSG00000024727	Trpm6	GO:0031526	brush border membrane	brush_border_membrane
ENSMUSG00000004655	Aqp1	GO:0031526	brush border membrane	brush_border_membrane
ENSMUSG00000027015	Cybrd1	GO:0031526	brush border membrane	brush_border_membrane
ENSMUSG00000033998	Kcnk1	GO:0031526	brush border membrane	brush_border_membrane
ENSMUSG00000021553	Slc28a3	GO:0031526	brush border membrane	brush_border_membrane
ENSMUSG00000026726	Cubn	GO:0031526	brush border membrane	brush_border_membrane
ENSMUSG00000023944	Hsp90ab1	GO:0031526	brush border membrane	brush_border_membrane
ENSMUSG00000031089	Slc6a14	GO:0031526	brush border membrane	brush_border_membrane
ENSMUSG00000032462	Pik3cb	GO:0031526	brush border membrane	brush_border_membrane
ENSMUSG00000039062	Anpep	GO:0031526	brush border membrane	brush_border_membrane
ENSMUSG00000020829	Slc46a1	GO:0031526	brush border membrane	brush_border_membrane
ENSMUSG00000030781	Slc5a2	GO:0031526	brush border membrane	brush_border_membrane
ENSMUSG00000024131	Slc3a1	GO:0031526	brush border membrane	brush_border_membrane
ENSMUSG00000002944	Cd36	GO:0031526	brush border membrane	brush_border_membrane
ENSMUSG00000001225	Slc26a3	GO:0031526	brush border membrane	brush_border_membrane
ENSMUSG00000027690	Slc2a2	GO:0031526	brush border membrane	brush_border_membrane
ENSMUSG00000021278	Amn	GO:0031526	brush border membrane	brush_border_membrane
ENSMUSG00000025726	Slc28a1	GO:0031526	brush border membrane	brush_border_membrane
ENSMUSG00000063652	Slc22a21	GO:0031526	brush border membrane	brush_border_membrane
ENSMUSG00000027219	Slc28a2	GO:0031526	brush border membrane	brush_border_membrane
ENSMUSG00000023030	Slc11a2	GO:0031526	brush border membrane	brush_border_membrane
ENSMUSG00000001436	Slc19a1	GO:0031526	brush border membrane	brush_border_membrane
ENSMUSG00000032492	Pth1r	GO:0031526	brush border membrane	brush_border_membrane
ENSMUSG00000028158	Mttp	GO:0031526	brush border membrane	brush_border_membrane
ENSMUSG00000038600	Atp6v0a4	GO:0031526	brush border membrane	brush_border_membrane
ENSMUSG00000029188	Slc34a2	GO:0031526	brush border membrane	brush_border_membrane
ENSMUSG00000028413	B4galt1	GO:0031526	brush border membrane	brush_border_membrane
ENSMUSG00000019795	Pcmt1	GO:0031526	brush border membrane	brush_border_membrane
ENSMUSG00000028427	Aqp7	GO:0031526	brush border membrane	brush_border_membrane
ENSMUSG00000020611	Gna13	GO:0031526	brush border membrane	brush_border_membrane
ENSMUSG00000023259	Slc26a6	GO:0031526	brush border membrane	brush_border_membrane
ENSMUSG00000020828	Pld2	GO:0031526	brush border membrane	brush_border_membrane
ENSMUSG00000003464	Pex19	GO:0031526	brush border membrane	brush_border_membrane
ENSMUSG00000038209	Itln1	GO:0031526	brush border membrane	brush_border_membrane
