ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000026509	Capn2	GO:0004198	calcium-dependent cysteine-type endopeptidase activity	calcium-dependent_cysteine-type_endopeptidase_activity
ENSMUSG00000043705	Capn13	GO:0004198	calcium-dependent cysteine-type endopeptidase activity	calcium-dependent_cysteine-type_endopeptidase_activity
ENSMUSG00000079110	Capn3	GO:0004198	calcium-dependent cysteine-type endopeptidase activity	calcium-dependent_cysteine-type_endopeptidase_activity
ENSMUSG00000067276	Capn6	GO:0004198	calcium-dependent cysteine-type endopeptidase activity	calcium-dependent_cysteine-type_endopeptidase_activity
ENSMUSG00000078144	Capns2	GO:0004198	calcium-dependent cysteine-type endopeptidase activity	calcium-dependent_cysteine-type_endopeptidase_activity
ENSMUSG00000021893	Capn7	GO:0004198	calcium-dependent cysteine-type endopeptidase activity	calcium-dependent_cysteine-type_endopeptidase_activity
ENSMUSG00000054083	Capn12	GO:0004198	calcium-dependent cysteine-type endopeptidase activity	calcium-dependent_cysteine-type_endopeptidase_activity
ENSMUSG00000050994	Adgb	GO:0004198	calcium-dependent cysteine-type endopeptidase activity	calcium-dependent_cysteine-type_endopeptidase_activity
ENSMUSG00000024942	Capn1	GO:0004198	calcium-dependent cysteine-type endopeptidase activity	calcium-dependent_cysteine-type_endopeptidase_activity
ENSMUSG00000026270	Capn10	GO:0004198	calcium-dependent cysteine-type endopeptidase activity	calcium-dependent_cysteine-type_endopeptidase_activity
ENSMUSG00000035547	Capn5	GO:0004198	calcium-dependent cysteine-type endopeptidase activity	calcium-dependent_cysteine-type_endopeptidase_activity
ENSMUSG00000058626	Capn11	GO:0004198	calcium-dependent cysteine-type endopeptidase activity	calcium-dependent_cysteine-type_endopeptidase_activity
ENSMUSG00000031981	Capn9	GO:0004198	calcium-dependent cysteine-type endopeptidase activity	calcium-dependent_cysteine-type_endopeptidase_activity
ENSMUSG00000038599	Capn8	GO:0004198	calcium-dependent cysteine-type endopeptidase activity	calcium-dependent_cysteine-type_endopeptidase_activity
ENSMUSG00000037326	Capn15	GO:0004198	calcium-dependent cysteine-type endopeptidase activity	calcium-dependent_cysteine-type_endopeptidase_activity
ENSMUSG00000001794	Capns1	GO:0004198	calcium-dependent cysteine-type endopeptidase activity	calcium-dependent_cysteine-type_endopeptidase_activity
