ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000015001	Oc90	GO:0047498	calcium-dependent phospholipase A2 activity	calcium-dependent_phospholipase_A2_activity
ENSMUSG00000098488	Pla2g4b	GO:0047498	calcium-dependent phospholipase A2 activity	calcium-dependent_phospholipase_A2_activity
ENSMUSG00000050211	Pla2g4e	GO:0047498	calcium-dependent phospholipase A2 activity	calcium-dependent_phospholipase_A2_activity
ENSMUSG00000070719	Pla2g4d	GO:0047498	calcium-dependent phospholipase A2 activity	calcium-dependent_phospholipase_A2_activity
ENSMUSG00000046971	Pla2g4f	GO:0047498	calcium-dependent phospholipase A2 activity	calcium-dependent_phospholipase_A2_activity
ENSMUSG00000022683	Pla2g10	GO:0047498	calcium-dependent phospholipase A2 activity	calcium-dependent_phospholipase_A2_activity
ENSMUSG00000056220	Pla2g4a	GO:0047498	calcium-dependent phospholipase A2 activity	calcium-dependent_phospholipase_A2_activity
ENSMUSG00000034579	Pla2g3	GO:0047498	calcium-dependent phospholipase A2 activity	calcium-dependent_phospholipase_A2_activity
ENSMUSG00000028749	Pla2g2f	GO:0047498	calcium-dependent phospholipase A2 activity	calcium-dependent_phospholipase_A2_activity
ENSMUSG00000041202	Pla2g2d	GO:0047498	calcium-dependent phospholipase A2 activity	calcium-dependent_phospholipase_A2_activity
ENSMUSG00000028751	Pla2g2e	GO:0047498	calcium-dependent phospholipase A2 activity	calcium-dependent_phospholipase_A2_activity
ENSMUSG00000033847	Pla2g4c	GO:0047498	calcium-dependent phospholipase A2 activity	calcium-dependent_phospholipase_A2_activity
ENSMUSG00000029522	Pla2g1b	GO:0047498	calcium-dependent phospholipase A2 activity	calcium-dependent_phospholipase_A2_activity
