ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000020848	Doc2b	GO:0048791	calcium ion-regulated exocytosis of neurotransmitter	calcium_ion-regulated_exocytosis_of_neurotransmitter
ENSMUSG00000034656	Cacna1a	GO:0048791	calcium ion-regulated exocytosis of neurotransmitter	calcium_ion-regulated_exocytosis_of_neurotransmitter
ENSMUSG00000037386	Rims2	GO:0048791	calcium ion-regulated exocytosis of neurotransmitter	calcium_ion-regulated_exocytosis_of_neurotransmitter
ENSMUSG00000024743	Syt7	GO:0048791	calcium ion-regulated exocytosis of neurotransmitter	calcium_ion-regulated_exocytosis_of_neurotransmitter
ENSMUSG00000035864	Syt1	GO:0048791	calcium ion-regulated exocytosis of neurotransmitter	calcium_ion-regulated_exocytosis_of_neurotransmitter
ENSMUSG00000030806	Stx1b	GO:0048791	calcium ion-regulated exocytosis of neurotransmitter	calcium_ion-regulated_exocytosis_of_neurotransmitter
ENSMUSG00000068923	Syt11	GO:0048791	calcium ion-regulated exocytosis of neurotransmitter	calcium_ion-regulated_exocytosis_of_neurotransmitter
ENSMUSG00000024261	Syt4	GO:0048791	calcium ion-regulated exocytosis of neurotransmitter	calcium_ion-regulated_exocytosis_of_neurotransmitter
ENSMUSG00000004961	Syt5	GO:0048791	calcium ion-regulated exocytosis of neurotransmitter	calcium_ion-regulated_exocytosis_of_neurotransmitter
ENSMUSG00000032890	Rims3	GO:0048791	calcium ion-regulated exocytosis of neurotransmitter	calcium_ion-regulated_exocytosis_of_neurotransmitter
ENSMUSG00000035226	Rims4	GO:0048791	calcium ion-regulated exocytosis of neurotransmitter	calcium_ion-regulated_exocytosis_of_neurotransmitter
ENSMUSG00000031098	Syt8	GO:0048791	calcium ion-regulated exocytosis of neurotransmitter	calcium_ion-regulated_exocytosis_of_neurotransmitter
ENSMUSG00000027273	Snap25	GO:0048791	calcium ion-regulated exocytosis of neurotransmitter	calcium_ion-regulated_exocytosis_of_neurotransmitter
