ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000045875	Adra1a	GO:0060402	calcium ion transport into cytosol	calcium_ion_transport_into_cytosol
ENSMUSG00000021313	Ryr2	GO:0060402	calcium ion transport into cytosol	calcium_ion_transport_into_cytosol
ENSMUSG00000079055	Slc8a3	GO:0060402	calcium ion transport into cytosol	calcium_ion_transport_into_cytosol
ENSMUSG00000057789	Bak1	GO:0060402	calcium ion transport into cytosol	calcium_ion_transport_into_cytosol
ENSMUSG00000022416	Cacna1i	GO:0060402	calcium ion transport into cytosol	calcium_ion_transport_into_cytosol
ENSMUSG00000040118	Cacna2d1	GO:0060402	calcium ion transport into cytosol	calcium_ion_transport_into_cytosol
ENSMUSG00000003352	Cacnb3	GO:0060402	calcium ion transport into cytosol	calcium_ion_transport_into_cytosol
ENSMUSG00000057329	Bcl2	GO:0060402	calcium ion transport into cytosol	calcium_ion_transport_into_cytosol
ENSMUSG00000051331	Cacna1c	GO:0060402	calcium ion transport into cytosol	calcium_ion_transport_into_cytosol
ENSMUSG00000036899	Trpv5	GO:0060402	calcium ion transport into cytosol	calcium_ion_transport_into_cytosol
ENSMUSG00000030376	Slc8a2	GO:0060402	calcium ion transport into cytosol	calcium_ion_transport_into_cytosol
ENSMUSG00000020866	Cacna1g	GO:0060402	calcium ion transport into cytosol	calcium_ion_transport_into_cytosol
ENSMUSG00000003873	Bax	GO:0060402	calcium ion transport into cytosol	calcium_ion_transport_into_cytosol
