ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000024617	Camk2a	GO:0004683	calmodulin-dependent protein kinase activity	calmodulin-dependent_protein_kinase_activity
ENSMUSG00000002012	Pnck	GO:0004683	calmodulin-dependent protein kinase activity	calmodulin-dependent_protein_kinase_activity
ENSMUSG00000038128	Camk4	GO:0004683	calmodulin-dependent protein kinase activity	calmodulin-dependent_protein_kinase_activity
ENSMUSG00000059456	Ptk2b	GO:0004683	calmodulin-dependent protein kinase activity	calmodulin-dependent_protein_kinase_activity
ENSMUSG00000032577	Mapkapk3	GO:0004683	calmodulin-dependent protein kinase activity	calmodulin-dependent_protein_kinase_activity
ENSMUSG00000027296	Itpka	GO:0004683	calmodulin-dependent protein kinase activity	calmodulin-dependent_protein_kinase_activity
ENSMUSG00000029471	Camkk2	GO:0004683	calmodulin-dependent protein kinase activity	calmodulin-dependent_protein_kinase_activity
ENSMUSG00000053819	Camk2d	GO:0004683	calmodulin-dependent protein kinase activity	calmodulin-dependent_protein_kinase_activity
ENSMUSG00000039145	Camk1d	GO:0004683	calmodulin-dependent protein kinase activity	calmodulin-dependent_protein_kinase_activity
ENSMUSG00000031698	Mylk3	GO:0004683	calmodulin-dependent protein kinase activity	calmodulin-dependent_protein_kinase_activity
ENSMUSG00000032936	Camkv	GO:0004683	calmodulin-dependent protein kinase activity	calmodulin-dependent_protein_kinase_activity
ENSMUSG00000016528	Mapkapk2	GO:0004683	calmodulin-dependent protein kinase activity	calmodulin-dependent_protein_kinase_activity
ENSMUSG00000021820	Camk2g	GO:0004683	calmodulin-dependent protein kinase activity	calmodulin-dependent_protein_kinase_activity
ENSMUSG00000021559	Dapk1	GO:0004683	calmodulin-dependent protein kinase activity	calmodulin-dependent_protein_kinase_activity
ENSMUSG00000016179	Camk1g	GO:0004683	calmodulin-dependent protein kinase activity	calmodulin-dependent_protein_kinase_activity
ENSMUSG00000020190	Mknk2	GO:0004683	calmodulin-dependent protein kinase activity	calmodulin-dependent_protein_kinase_activity
ENSMUSG00000030272	Camk1	GO:0004683	calmodulin-dependent protein kinase activity	calmodulin-dependent_protein_kinase_activity
ENSMUSG00000020785	Camkk1	GO:0004683	calmodulin-dependent protein kinase activity	calmodulin-dependent_protein_kinase_activity
ENSMUSG00000057897	Camk2b	GO:0004683	calmodulin-dependent protein kinase activity	calmodulin-dependent_protein_kinase_activity
ENSMUSG00000029454	Mapkapk5	GO:0004683	calmodulin-dependent protein kinase activity	calmodulin-dependent_protein_kinase_activity
