ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000031710	Ucp1	GO:1901612	cardiolipin binding	cardiolipin_binding
ENSMUSG00000039529	Atp8b1	GO:1901612	cardiolipin binding	cardiolipin_binding
ENSMUSG00000028174	Rpe65	GO:1901612	cardiolipin binding	cardiolipin_binding
ENSMUSG00000029821	Gsdme	GO:1901612	cardiolipin binding	cardiolipin_binding
ENSMUSG00000038084	Opa1	GO:1901612	cardiolipin binding	cardiolipin_binding
ENSMUSG00000046879	Irgm1	GO:1901612	cardiolipin binding	cardiolipin_binding
ENSMUSG00000027820	Mme	GO:1901612	cardiolipin binding	cardiolipin_binding
ENSMUSG00000022575	Gsdmd	GO:1901612	cardiolipin binding	cardiolipin_binding
ENSMUSG00000021622	Ckmt2	GO:1901612	cardiolipin binding	cardiolipin_binding
ENSMUSG00000071654	Uqcc3	GO:1901612	cardiolipin binding	cardiolipin_binding
ENSMUSG00000024177	Nme4	GO:1901612	cardiolipin binding	cardiolipin_binding
ENSMUSG00000078853	Igtp	GO:1901612	cardiolipin binding	cardiolipin_binding
ENSMUSG00000069874	Irgm2	GO:1901612	cardiolipin binding	cardiolipin_binding
ENSMUSG00000078485	Plekhn1	GO:1901612	cardiolipin binding	cardiolipin_binding
ENSMUSG00000028455	Stoml2	GO:1901612	cardiolipin binding	cardiolipin_binding
