ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000024603	Dctn4	GO:0005938	cell cortex	cell_cortex
ENSMUSG00000005699	Pard6a	GO:0005938	cell cortex	cell_cortex
ENSMUSG00000018707	Dync1h1	GO:0005938	cell cortex	cell_cortex
ENSMUSG00000031511	Arhgef7	GO:0005938	cell cortex	cell_cortex
ENSMUSG00000035620	Ric8b	GO:0005938	cell cortex	cell_cortex
ENSMUSG00000036923	Stox1	GO:0005938	cell cortex	cell_cortex
ENSMUSG00000002006	Pdzd4	GO:0005938	cell cortex	cell_cortex
ENSMUSG00000030244	Gys2	GO:0005938	cell cortex	cell_cortex
ENSMUSG00000019433	Gipc1	GO:0005938	cell cortex	cell_cortex
ENSMUSG00000029007	Agtrap	GO:0005938	cell cortex	cell_cortex
ENSMUSG00000038366	Lasp1	GO:0005938	cell cortex	cell_cortex
ENSMUSG00000032346	Ooep	GO:0005938	cell cortex	cell_cortex
ENSMUSG00000041444	Arhgap32	GO:0005938	cell cortex	cell_cortex
ENSMUSG00000033860	Fgg	GO:0005938	cell cortex	cell_cortex
ENSMUSG00000028001	Fga	GO:0005938	cell cortex	cell_cortex
ENSMUSG00000033831	Fgb	GO:0005938	cell cortex	cell_cortex
ENSMUSG00000039735	Fnbp1l	GO:0005938	cell cortex	cell_cortex
ENSMUSG00000031078	Cttn	GO:0005938	cell cortex	cell_cortex
ENSMUSG00000059456	Ptk2b	GO:0005938	cell cortex	cell_cortex
ENSMUSG00000022246	Rai14	GO:0005938	cell cortex	cell_cortex
ENSMUSG00000039462	Col10a1	GO:0005938	cell cortex	cell_cortex
ENSMUSG00000026479	Lamc2	GO:0005938	cell cortex	cell_cortex
ENSMUSG00000046722	Cdc42se1	GO:0005938	cell cortex	cell_cortex
ENSMUSG00000069662	Marcks	GO:0005938	cell cortex	cell_cortex
ENSMUSG00000027459	Fam110a	GO:0005938	cell cortex	cell_cortex
ENSMUSG00000017774	Myo1c	GO:0005938	cell cortex	cell_cortex
ENSMUSG00000033722	BC034090	GO:0005938	cell cortex	cell_cortex
ENSMUSG00000022272	Myo10	GO:0005938	cell cortex	cell_cortex
ENSMUSG00000024533	Spire1	GO:0005938	cell cortex	cell_cortex
ENSMUSG00000030279	C2cd5	GO:0005938	cell cortex	cell_cortex
ENSMUSG00000020758	Itgb4	GO:0005938	cell cortex	cell_cortex
ENSMUSG00000044147	Arf6	GO:0005938	cell cortex	cell_cortex
ENSMUSG00000019487	Trip10	GO:0005938	cell cortex	cell_cortex
ENSMUSG00000022607	Ptk2	GO:0005938	cell cortex	cell_cortex
ENSMUSG00000024425	Ndfip1	GO:0005938	cell cortex	cell_cortex
ENSMUSG00000070733	Fryl	GO:0005938	cell cortex	cell_cortex
ENSMUSG00000055561	Spink5	GO:0005938	cell cortex	cell_cortex
ENSMUSG00000031328	Flna	GO:0005938	cell cortex	cell_cortex
ENSMUSG00000022602	Arc	GO:0005938	cell cortex	cell_cortex
ENSMUSG00000030881	Arfip2	GO:0005938	cell cortex	cell_cortex
ENSMUSG00000059040	Eno1b	GO:0005938	cell cortex	cell_cortex
ENSMUSG00000000127	Fer	GO:0005938	cell cortex	cell_cortex
ENSMUSG00000063524	Eno1	GO:0005938	cell cortex	cell_cortex
ENSMUSG00000030287	Itpr2	GO:0005938	cell cortex	cell_cortex
ENSMUSG00000028373	Astn2	GO:0005938	cell cortex	cell_cortex
ENSMUSG00000062785	Kcnc3	GO:0005938	cell cortex	cell_cortex
ENSMUSG00000028906	Epb41	GO:0005938	cell cortex	cell_cortex
ENSMUSG00000059043	Or2c1	GO:0005938	cell cortex	cell_cortex
ENSMUSG00000004056	Akt2	GO:0005938	cell cortex	cell_cortex
ENSMUSG00000026812	Tsc1	GO:0005938	cell cortex	cell_cortex
ENSMUSG00000034868	Myl12b	GO:0005938	cell cortex	cell_cortex
ENSMUSG00000117098	Gm49909	GO:0005938	cell cortex	cell_cortex
ENSMUSG00000027030	Stk39	GO:0005938	cell cortex	cell_cortex
ENSMUSG00000024048	Myl12a	GO:0005938	cell cortex	cell_cortex
ENSMUSG00000052397	Ezr	GO:0005938	cell cortex	cell_cortex
ENSMUSG00000026234	Ncl	GO:0005938	cell cortex	cell_cortex
ENSMUSG00000007655	Cav1	GO:0005938	cell cortex	cell_cortex
ENSMUSG00000066406	Akap13	GO:0005938	cell cortex	cell_cortex
ENSMUSG00000031024	Dennd2b	GO:0005938	cell cortex	cell_cortex
ENSMUSG00000034675	Dbn1	GO:0005938	cell cortex	cell_cortex
ENSMUSG00000024059	Clip4	GO:0005938	cell cortex	cell_cortex
ENSMUSG00000052783	Grk4	GO:0005938	cell cortex	cell_cortex
