ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000042320	Prox2	GO:0048468	cell development	cell_development
ENSMUSG00000060969	Irx1	GO:0048468	cell development	cell_development
ENSMUSG00000001504	Irx2	GO:0048468	cell development	cell_development
ENSMUSG00000021604	Irx4	GO:0048468	cell development	cell_development
ENSMUSG00000022952	Runx1	GO:0048468	cell development	cell_development
ENSMUSG00000022129	Dct	GO:0048468	cell development	cell_development
ENSMUSG00000020053	Igf1	GO:0048468	cell development	cell_development
ENSMUSG00000019947	Arid5b	GO:0048468	cell development	cell_development
ENSMUSG00000020644	Id2	GO:0048468	cell development	cell_development
ENSMUSG00000032688	Malt1	GO:0048468	cell development	cell_development
ENSMUSG00000005069	Pex5	GO:0048468	cell development	cell_development
ENSMUSG00000055435	Maf	GO:0048468	cell development	cell_development
ENSMUSG00000046518	Ferd3l	GO:0048468	cell development	cell_development
ENSMUSG00000032872	Cyb5r4	GO:0048468	cell development	cell_development
ENSMUSG00000027985	Lef1	GO:0048468	cell development	cell_development
ENSMUSG00000031734	Irx3	GO:0048468	cell development	cell_development
ENSMUSG00000031737	Irx5	GO:0048468	cell development	cell_development
ENSMUSG00000031738	Irx6	GO:0048468	cell development	cell_development
ENSMUSG00000022510	Trp63	GO:0048468	cell development	cell_development
ENSMUSG00000003549	Ercc1	GO:0048468	cell development	cell_development
ENSMUSG00000029026	Trp73	GO:0048468	cell development	cell_development
ENSMUSG00000039410	Prdm16	GO:0048468	cell development	cell_development
ENSMUSG00000091519	Skor2	GO:0048468	cell development	cell_development
ENSMUSG00000010175	Prox1	GO:0048468	cell development	cell_development
ENSMUSG00000039153	Runx2	GO:0048468	cell development	cell_development
ENSMUSG00000070691	Runx3	GO:0048468	cell development	cell_development
ENSMUSG00000001761	Smo	GO:0048468	cell development	cell_development
ENSMUSG00000031162	Gata1	GO:0048468	cell development	cell_development
ENSMUSG00000024182	Axin1	GO:0048468	cell development	cell_development
ENSMUSG00000020167	Tcf3	GO:0048468	cell development	cell_development
ENSMUSG00000034579	Pla2g3	GO:0048468	cell development	cell_development
ENSMUSG00000002633	Shh	GO:0048468	cell development	cell_development
ENSMUSG00000038210	Hoxa11	GO:0048468	cell development	cell_development
ENSMUSG00000000142	Axin2	GO:0048468	cell development	cell_development
ENSMUSG00000027164	Traf6	GO:0048468	cell development	cell_development
ENSMUSG00000026638	Irf6	GO:0048468	cell development	cell_development
ENSMUSG00000012520	Phox2b	GO:0048468	cell development	cell_development
ENSMUSG00000044518	Foxe3	GO:0048468	cell development	cell_development
ENSMUSG00000008999	Bmp7	GO:0048468	cell development	cell_development
ENSMUSG00000059552	Trp53	GO:0048468	cell development	cell_development
ENSMUSG00000027434	Nkx2-2	GO:0048468	cell development	cell_development
ENSMUSG00000037025	Foxa2	GO:0048468	cell development	cell_development
ENSMUSG00000034520	Gjc1	GO:0048468	cell development	cell_development
