ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000069044	Usp9y	GO:0016477	cell migration	cell_migration
ENSMUSG00000024304	Cdh2	GO:0016477	cell migration	cell_migration
ENSMUSG00000022812	Gsk3b	GO:0016477	cell migration	cell_migration
ENSMUSG00000022678	Nde1	GO:0016477	cell migration	cell_migration
ENSMUSG00000002489	Tiam1	GO:0016477	cell migration	cell_migration
ENSMUSG00000035133	Arhgap5	GO:0016477	cell migration	cell_migration
ENSMUSG00000024620	Pdgfrb	GO:0016477	cell migration	cell_migration
ENSMUSG00000022488	Nckap1l	GO:0016477	cell migration	cell_migration
ENSMUSG00000024134	Six2	GO:0016477	cell migration	cell_migration
ENSMUSG00000019889	Ptprk	GO:0016477	cell migration	cell_migration
ENSMUSG00000021877	Arf4	GO:0016477	cell migration	cell_migration
ENSMUSG00000021990	Spata13	GO:0016477	cell migration	cell_migration
ENSMUSG00000033149	Phldb2	GO:0016477	cell migration	cell_migration
ENSMUSG00000041754	Trem3	GO:0016477	cell migration	cell_migration
ENSMUSG00000031990	Jam3	GO:0016477	cell migration	cell_migration
ENSMUSG00000005871	Apc	GO:0016477	cell migration	cell_migration
ENSMUSG00000021338	Carmil1	GO:0016477	cell migration	cell_migration
ENSMUSG00000022112	Gpc5	GO:0016477	cell migration	cell_migration
ENSMUSG00000031995	St14	GO:0016477	cell migration	cell_migration
ENSMUSG00000045991	Onecut2	GO:0016477	cell migration	cell_migration
ENSMUSG00000058571	Gpc6	GO:0016477	cell migration	cell_migration
ENSMUSG00000021994	Wnt5a	GO:0016477	cell migration	cell_migration
ENSMUSG00000055447	Cd47	GO:0016477	cell migration	cell_migration
ENSMUSG00000004872	Pax3	GO:0016477	cell migration	cell_migration
ENSMUSG00000025437	Usp33	GO:0016477	cell migration	cell_migration
ENSMUSG00000024587	Nars	GO:0016477	cell migration	cell_migration
ENSMUSG00000025089	Gfra1	GO:0016477	cell migration	cell_migration
ENSMUSG00000040455	Usp45	GO:0016477	cell migration	cell_migration
ENSMUSG00000031391	L1cam	GO:0016477	cell migration	cell_migration
ENSMUSG00000045930	Clec14a	GO:0016477	cell migration	cell_migration
ENSMUSG00000008475	Arpc5	GO:0016477	cell migration	cell_migration
ENSMUSG00000037815	Ctnna1	GO:0016477	cell migration	cell_migration
ENSMUSG00000024122	Pdpk1	GO:0016477	cell migration	cell_migration
ENSMUSG00000060843	Ctnna3	GO:0016477	cell migration	cell_migration
ENSMUSG00000072437	Nanos1	GO:0016477	cell migration	cell_migration
ENSMUSG00000004364	Cul3	GO:0016477	cell migration	cell_migration
ENSMUSG00000047497	Adamts12	GO:0016477	cell migration	cell_migration
ENSMUSG00000026478	Lamc1	GO:0016477	cell migration	cell_migration
ENSMUSG00000002603	Tgfb1	GO:0016477	cell migration	cell_migration
ENSMUSG00000002602	Axl	GO:0016477	cell migration	cell_migration
ENSMUSG00000022200	Golph3	GO:0016477	cell migration	cell_migration
ENSMUSG00000020121	Srgap1	GO:0016477	cell migration	cell_migration
ENSMUSG00000031257	Nox1	GO:0016477	cell migration	cell_migration
ENSMUSG00000031563	Wwc2	GO:0016477	cell migration	cell_migration
ENSMUSG00000026490	Cdc42bpa	GO:0016477	cell migration	cell_migration
