ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000020607	Lratd1	GO:0048870	cell motility	cell_motility
ENSMUSG00000041112	Elmo1	GO:0048870	cell motility	cell_motility
ENSMUSG00000054728	Phactr1	GO:0048870	cell motility	cell_motility
ENSMUSG00000037815	Ctnna1	GO:0048870	cell motility	cell_motility
ENSMUSG00000052593	Adam17	GO:0048870	cell motility	cell_motility
ENSMUSG00000032035	Ets1	GO:0048870	cell motility	cell_motility
ENSMUSG00000031078	Cttn	GO:0048870	cell motility	cell_motility
ENSMUSG00000031253	Srpx2	GO:0048870	cell motility	cell_motility
ENSMUSG00000022272	Myo10	GO:0048870	cell motility	cell_motility
ENSMUSG00000020758	Itgb4	GO:0048870	cell motility	cell_motility
ENSMUSG00000055194	Actbl2	GO:0048870	cell motility	cell_motility
ENSMUSG00000043850	Clrn1	GO:0048870	cell motility	cell_motility
ENSMUSG00000022565	Plec	GO:0048870	cell motility	cell_motility
ENSMUSG00000022508	Bcl6	GO:0048870	cell motility	cell_motility
ENSMUSG00000016494	Cd34	GO:0048870	cell motility	cell_motility
ENSMUSG00000014791	Elmo3	GO:0048870	cell motility	cell_motility
ENSMUSG00000013663	Pten	GO:0048870	cell motility	cell_motility
ENSMUSG00000092519	Actl9	GO:0048870	cell motility	cell_motility
ENSMUSG00000040220	Gas8	GO:0048870	cell motility	cell_motility
ENSMUSG00000006445	Epha2	GO:0048870	cell motility	cell_motility
ENSMUSG00000053560	Ier2	GO:0048870	cell motility	cell_motility
ENSMUSG00000034115	Scn11a	GO:0048870	cell motility	cell_motility
ENSMUSG00000033940	Brk1	GO:0048870	cell motility	cell_motility
ENSMUSG00000007613	Tgfbr1	GO:0048870	cell motility	cell_motility
ENSMUSG00000026131	Dst	GO:0048870	cell motility	cell_motility
ENSMUSG00000017670	Elmo2	GO:0048870	cell motility	cell_motility
ENSMUSG00000004936	Map2k1	GO:0048870	cell motility	cell_motility
ENSMUSG00000029580	Actb	GO:0048870	cell motility	cell_motility
ENSMUSG00000029581	Fscn1	GO:0048870	cell motility	cell_motility
ENSMUSG00000062825	Actg1	GO:0048870	cell motility	cell_motility
ENSMUSG00000001847	Rac1	GO:0048870	cell motility	cell_motility
ENSMUSG00000026814	Eng	GO:0048870	cell motility	cell_motility
