ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000022488	Nckap1l	GO:0030031	cell projection assembly	cell_projection_assembly
ENSMUSG00000022438	Parvb	GO:0030031	cell projection assembly	cell_projection_assembly
ENSMUSG00000022439	Parvg	GO:0030031	cell projection assembly	cell_projection_assembly
ENSMUSG00000033763	Mtss2	GO:0030031	cell projection assembly	cell_projection_assembly
ENSMUSG00000009621	Vav2	GO:0030031	cell projection assembly	cell_projection_assembly
ENSMUSG00000070331	Qrich2	GO:0030031	cell projection assembly	cell_projection_assembly
ENSMUSG00000002565	Scin	GO:0030031	cell projection assembly	cell_projection_assembly
ENSMUSG00000020340	Cyfip2	GO:0030031	cell projection assembly	cell_projection_assembly
ENSMUSG00000033220	Rac2	GO:0030031	cell projection assembly	cell_projection_assembly
ENSMUSG00000018012	Rac3	GO:0030031	cell projection assembly	cell_projection_assembly
ENSMUSG00000033721	Vav3	GO:0030031	cell projection assembly	cell_projection_assembly
ENSMUSG00000060771	Tsga10	GO:0030031	cell projection assembly	cell_projection_assembly
ENSMUSG00000027002	Nckap1	GO:0030031	cell projection assembly	cell_projection_assembly
ENSMUSG00000026879	Gsn	GO:0030031	cell projection assembly	cell_projection_assembly
