ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000012187	Mogat1	GO:0044255	cellular lipid metabolic process	cellular_lipid_metabolic_process
ENSMUSG00000024781	Lipa	GO:0044255	cellular lipid metabolic process	cellular_lipid_metabolic_process
ENSMUSG00000005069	Pex5	GO:0044255	cellular lipid metabolic process	cellular_lipid_metabolic_process
ENSMUSG00000036800	Fam135b	GO:0044255	cellular lipid metabolic process	cellular_lipid_metabolic_process
ENSMUSG00000038150	Ormdl3	GO:0044255	cellular lipid metabolic process	cellular_lipid_metabolic_process
ENSMUSG00000032262	Elovl4	GO:0044255	cellular lipid metabolic process	cellular_lipid_metabolic_process
ENSMUSG00000021696	Elovl7	GO:0044255	cellular lipid metabolic process	cellular_lipid_metabolic_process
ENSMUSG00000041220	Elovl6	GO:0044255	cellular lipid metabolic process	cellular_lipid_metabolic_process
ENSMUSG00000060601	Nr1h2	GO:0044255	cellular lipid metabolic process	cellular_lipid_metabolic_process
ENSMUSG00000000686	Abhd15	GO:0044255	cellular lipid metabolic process	cellular_lipid_metabolic_process
ENSMUSG00000038754	Elovl3	GO:0044255	cellular lipid metabolic process	cellular_lipid_metabolic_process
ENSMUSG00000026153	Fam135a	GO:0044255	cellular lipid metabolic process	cellular_lipid_metabolic_process
ENSMUSG00000031985	Gnpat	GO:0044255	cellular lipid metabolic process	cellular_lipid_metabolic_process
ENSMUSG00000025353	Ormdl2	GO:0044255	cellular lipid metabolic process	cellular_lipid_metabolic_process
ENSMUSG00000042251	Pm20d1	GO:0044255	cellular lipid metabolic process	cellular_lipid_metabolic_process
ENSMUSG00000024978	Gpam	GO:0044255	cellular lipid metabolic process	cellular_lipid_metabolic_process
ENSMUSG00000031220	Awat2	GO:0044255	cellular lipid metabolic process	cellular_lipid_metabolic_process
ENSMUSG00000067597	Dgat2l6	GO:0044255	cellular lipid metabolic process	cellular_lipid_metabolic_process
ENSMUSG00000015665	Awat1	GO:0044255	cellular lipid metabolic process	cellular_lipid_metabolic_process
ENSMUSG00000021364	Elovl2	GO:0044255	cellular lipid metabolic process	cellular_lipid_metabolic_process
ENSMUSG00000002108	Nr1h3	GO:0044255	cellular lipid metabolic process	cellular_lipid_metabolic_process
ENSMUSG00000006464	Bbs1	GO:0044255	cellular lipid metabolic process	cellular_lipid_metabolic_process
ENSMUSG00000006390	Elovl1	GO:0044255	cellular lipid metabolic process	cellular_lipid_metabolic_process
ENSMUSG00000047822	Angptl8	GO:0044255	cellular lipid metabolic process	cellular_lipid_metabolic_process
ENSMUSG00000031574	Star	GO:0044255	cellular lipid metabolic process	cellular_lipid_metabolic_process
ENSMUSG00000032485	Scap	GO:0044255	cellular lipid metabolic process	cellular_lipid_metabolic_process
ENSMUSG00000030747	Dgat2	GO:0044255	cellular lipid metabolic process	cellular_lipid_metabolic_process
ENSMUSG00000052396	Mogat2	GO:0044255	cellular lipid metabolic process	cellular_lipid_metabolic_process
ENSMUSG00000027104	Atf2	GO:0044255	cellular lipid metabolic process	cellular_lipid_metabolic_process
ENSMUSG00000043207	Zmpste24	GO:0044255	cellular lipid metabolic process	cellular_lipid_metabolic_process
ENSMUSG00000052131	Akr1b7	GO:0044255	cellular lipid metabolic process	cellular_lipid_metabolic_process
ENSMUSG00000046338	Gpat2	GO:0044255	cellular lipid metabolic process	cellular_lipid_metabolic_process
ENSMUSG00000026097	Ormdl1	GO:0044255	cellular lipid metabolic process	cellular_lipid_metabolic_process
ENSMUSG00000100679	Gm28778	GO:0044255	cellular lipid metabolic process	cellular_lipid_metabolic_process
ENSMUSG00000040532	Abhd11	GO:0044255	cellular lipid metabolic process	cellular_lipid_metabolic_process
ENSMUSG00000032737	Inppl1	GO:0044255	cellular lipid metabolic process	cellular_lipid_metabolic_process
ENSMUSG00000051319	Mtln	GO:0044255	cellular lipid metabolic process	cellular_lipid_metabolic_process
