ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000100937	Nscme3l	GO:0034644	cellular response to UV	cellular_response_to_UV
ENSMUSG00000019889	Ptprk	GO:0034644	cellular response to UV	cellular_response_to_UV
ENSMUSG00000031095	Cul4b	GO:0034644	cellular response to UV	cellular_response_to_UV
ENSMUSG00000041417	Pik3r1	GO:0034644	cellular response to UV	cellular_response_to_UV
ENSMUSG00000022033	Pbk	GO:0034644	cellular response to UV	cellular_response_to_UV
ENSMUSG00000031446	Cul4a	GO:0034644	cellular response to UV	cellular_response_to_UV
ENSMUSG00000028086	Fbxw7	GO:0034644	cellular response to UV	cellular_response_to_UV
ENSMUSG00000021948	Prkcd	GO:0034644	cellular response to UV	cellular_response_to_UV
ENSMUSG00000037049	Smpd1	GO:0034644	cellular response to UV	cellular_response_to_UV
ENSMUSG00000070520	Nsmce3	GO:0034644	cellular response to UV	cellular_response_to_UV
ENSMUSG00000026496	Parp1	GO:0034644	cellular response to UV	cellular_response_to_UV
ENSMUSG00000038644	Pold1	GO:0034644	cellular response to UV	cellular_response_to_UV
ENSMUSG00000038806	Sde2	GO:0034644	cellular response to UV	cellular_response_to_UV
ENSMUSG00000022521	Crebbp	GO:0034644	cellular response to UV	cellular_response_to_UV
ENSMUSG00000024740	Ddb1	GO:0034644	cellular response to UV	cellular_response_to_UV
ENSMUSG00000002342	Tmem161a	GO:0034644	cellular response to UV	cellular_response_to_UV
ENSMUSG00000048668	Rhno1	GO:0034644	cellular response to UV	cellular_response_to_UV
ENSMUSG00000033454	Zbtb1	GO:0034644	cellular response to UV	cellular_response_to_UV
ENSMUSG00000021116	Eif2s1	GO:0034644	cellular response to UV	cellular_response_to_UV
ENSMUSG00000022545	Ercc4	GO:0034644	cellular response to UV	cellular_response_to_UV
ENSMUSG00000032409	Atr	GO:0034644	cellular response to UV	cellular_response_to_UV
ENSMUSG00000004655	Aqp1	GO:0034644	cellular response to UV	cellular_response_to_UV
ENSMUSG00000021264	Yy1	GO:0034644	cellular response to UV	cellular_response_to_UV
ENSMUSG00000014074	Rnf168	GO:0034644	cellular response to UV	cellular_response_to_UV
ENSMUSG00000057789	Bak1	GO:0034644	cellular response to UV	cellular_response_to_UV
ENSMUSG00000027770	Dhx36	GO:0034644	cellular response to UV	cellular_response_to_UV
ENSMUSG00000022400	Rbx1	GO:0034644	cellular response to UV	cellular_response_to_UV
ENSMUSG00000055024	Ep300	GO:0034644	cellular response to UV	cellular_response_to_UV
ENSMUSG00000022160	Mettl3	GO:0034644	cellular response to UV	cellular_response_to_UV
ENSMUSG00000059263	Usp47	GO:0034644	cellular response to UV	cellular_response_to_UV
ENSMUSG00000020366	Mapk9	GO:0034644	cellular response to UV	cellular_response_to_UV
ENSMUSG00000049734	Trex1	GO:0034644	cellular response to UV	cellular_response_to_UV
ENSMUSG00000032477	Cdc25a	GO:0034644	cellular response to UV	cellular_response_to_UV
ENSMUSG00000036940	Kdm1a	GO:0034644	cellular response to UV	cellular_response_to_UV
ENSMUSG00000002109	Ddb2	GO:0034644	cellular response to UV	cellular_response_to_UV
ENSMUSG00000004864	Mapk13	GO:0034644	cellular response to UV	cellular_response_to_UV
ENSMUSG00000021668	Polk	GO:0034644	cellular response to UV	cellular_response_to_UV
ENSMUSG00000073616	Cops9	GO:0034644	cellular response to UV	cellular_response_to_UV
ENSMUSG00000095567	Noc2l	GO:0034644	cellular response to UV	cellular_response_to_UV
ENSMUSG00000023411	Nfatc4	GO:0034644	cellular response to UV	cellular_response_to_UV
ENSMUSG00000031652	N4bp1	GO:0034644	cellular response to UV	cellular_response_to_UV
ENSMUSG00000060938	Rpl26	GO:0034644	cellular response to UV	cellular_response_to_UV
ENSMUSG00000032216	Nedd4	GO:0034644	cellular response to UV	cellular_response_to_UV
ENSMUSG00000028211	Trp53inp1	GO:0034644	cellular response to UV	cellular_response_to_UV
ENSMUSG00000026142	Rhbdd1	GO:0034644	cellular response to UV	cellular_response_to_UV
ENSMUSG00000028914	Casp9	GO:0034644	cellular response to UV	cellular_response_to_UV
ENSMUSG00000032267	Usp28	GO:0034644	cellular response to UV	cellular_response_to_UV
ENSMUSG00000027342	Pcna	GO:0034644	cellular response to UV	cellular_response_to_UV
ENSMUSG00000057113	Npm1	GO:0034644	cellular response to UV	cellular_response_to_UV
ENSMUSG00000059552	Trp53	GO:0034644	cellular response to UV	cellular_response_to_UV
ENSMUSG00000005102	Eif2ak4	GO:0034644	cellular response to UV	cellular_response_to_UV
ENSMUSG00000029535	Triap1	GO:0034644	cellular response to UV	cellular_response_to_UV
ENSMUSG00000040093	Bmf	GO:0034644	cellular response to UV	cellular_response_to_UV
ENSMUSG00000034154	Ino80	GO:0034644	cellular response to UV	cellular_response_to_UV
ENSMUSG00000003868	Ruvbl2	GO:0034644	cellular response to UV	cellular_response_to_UV
ENSMUSG00000003873	Bax	GO:0034644	cellular response to UV	cellular_response_to_UV
ENSMUSG00000020897	Aurkb	GO:0034644	cellular response to UV	cellular_response_to_UV
