ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000052727	Map1b	GO:0071363	cellular response to growth factor stimulus	cellular_response_to_growth_factor_stimulus
ENSMUSG00000020184	Mdm2	GO:0071363	cellular response to growth factor stimulus	cellular_response_to_growth_factor_stimulus
ENSMUSG00000001497	Pax9	GO:0071363	cellular response to growth factor stimulus	cellular_response_to_growth_factor_stimulus
ENSMUSG00000023277	Twf2	GO:0071363	cellular response to growth factor stimulus	cellular_response_to_growth_factor_stimulus
ENSMUSG00000002603	Tgfb1	GO:0071363	cellular response to growth factor stimulus	cellular_response_to_growth_factor_stimulus
ENSMUSG00000031451	Gas6	GO:0071363	cellular response to growth factor stimulus	cellular_response_to_growth_factor_stimulus
ENSMUSG00000024777	Ppp2r5b	GO:0071363	cellular response to growth factor stimulus	cellular_response_to_growth_factor_stimulus
ENSMUSG00000062312	Erbb2	GO:0071363	cellular response to growth factor stimulus	cellular_response_to_growth_factor_stimulus
ENSMUSG00000028613	Lrp8	GO:0071363	cellular response to growth factor stimulus	cellular_response_to_growth_factor_stimulus
ENSMUSG00000032118	Fez1	GO:0071363	cellular response to growth factor stimulus	cellular_response_to_growth_factor_stimulus
ENSMUSG00000029306	Ibsp	GO:0071363	cellular response to growth factor stimulus	cellular_response_to_growth_factor_stimulus
ENSMUSG00000031465	Angpt2	GO:0071363	cellular response to growth factor stimulus	cellular_response_to_growth_factor_stimulus
ENSMUSG00000021469	Msx2	GO:0071363	cellular response to growth factor stimulus	cellular_response_to_growth_factor_stimulus
ENSMUSG00000021408	Ripk1	GO:0071363	cellular response to growth factor stimulus	cellular_response_to_growth_factor_stimulus
ENSMUSG00000001964	Emd	GO:0071363	cellular response to growth factor stimulus	cellular_response_to_growth_factor_stimulus
ENSMUSG00000027293	Ehd4	GO:0071363	cellular response to growth factor stimulus	cellular_response_to_growth_factor_stimulus
ENSMUSG00000035799	Twist1	GO:0071363	cellular response to growth factor stimulus	cellular_response_to_growth_factor_stimulus
ENSMUSG00000050511	Oprd1	GO:0071363	cellular response to growth factor stimulus	cellular_response_to_growth_factor_stimulus
ENSMUSG00000047407	Tgif1	GO:0071363	cellular response to growth factor stimulus	cellular_response_to_growth_factor_stimulus
ENSMUSG00000005583	Mef2c	GO:0071363	cellular response to growth factor stimulus	cellular_response_to_growth_factor_stimulus
ENSMUSG00000065553	Mir103-1	GO:0071363	cellular response to growth factor stimulus	cellular_response_to_growth_factor_stimulus
ENSMUSG00000020919	Stat5b	GO:0071363	cellular response to growth factor stimulus	cellular_response_to_growth_factor_stimulus
ENSMUSG00000029231	Pdgfra	GO:0071363	cellular response to growth factor stimulus	cellular_response_to_growth_factor_stimulus
ENSMUSG00000027070	Lrp2	GO:0071363	cellular response to growth factor stimulus	cellular_response_to_growth_factor_stimulus
ENSMUSG00000031548	Sfrp1	GO:0071363	cellular response to growth factor stimulus	cellular_response_to_growth_factor_stimulus
ENSMUSG00000005534	Insr	GO:0071363	cellular response to growth factor stimulus	cellular_response_to_growth_factor_stimulus
ENSMUSG00000021765	Fst	GO:0071363	cellular response to growth factor stimulus	cellular_response_to_growth_factor_stimulus
ENSMUSG00000001034	Mapk7	GO:0071363	cellular response to growth factor stimulus	cellular_response_to_growth_factor_stimulus
ENSMUSG00000065512	Mir138-2	GO:0071363	cellular response to growth factor stimulus	cellular_response_to_growth_factor_stimulus
ENSMUSG00000020372	Rack1	GO:0071363	cellular response to growth factor stimulus	cellular_response_to_growth_factor_stimulus
ENSMUSG00000052430	Bmpr1b	GO:0071363	cellular response to growth factor stimulus	cellular_response_to_growth_factor_stimulus
ENSMUSG00000067336	Bmpr2	GO:0071363	cellular response to growth factor stimulus	cellular_response_to_growth_factor_stimulus
ENSMUSG00000039910	Cited2	GO:0071363	cellular response to growth factor stimulus	cellular_response_to_growth_factor_stimulus
ENSMUSG00000021796	Bmpr1a	GO:0071363	cellular response to growth factor stimulus	cellular_response_to_growth_factor_stimulus
ENSMUSG00000001729	Akt1	GO:0071363	cellular response to growth factor stimulus	cellular_response_to_growth_factor_stimulus
ENSMUSG00000030538	Cib1	GO:0071363	cellular response to growth factor stimulus	cellular_response_to_growth_factor_stimulus
ENSMUSG00000021594	Srd5a1	GO:0071363	cellular response to growth factor stimulus	cellular_response_to_growth_factor_stimulus
ENSMUSG00000042626	Shc1	GO:0071363	cellular response to growth factor stimulus	cellular_response_to_growth_factor_stimulus
ENSMUSG00000059409	Ppp2r5d	GO:0071363	cellular response to growth factor stimulus	cellular_response_to_growth_factor_stimulus
ENSMUSG00000005320	Fgfr4	GO:0071363	cellular response to growth factor stimulus	cellular_response_to_growth_factor_stimulus
ENSMUSG00000058444	Map2k5	GO:0071363	cellular response to growth factor stimulus	cellular_response_to_growth_factor_stimulus
ENSMUSG00000025958	Creb1	GO:0071363	cellular response to growth factor stimulus	cellular_response_to_growth_factor_stimulus
ENSMUSG00000000489	Pdgfb	GO:0071363	cellular response to growth factor stimulus	cellular_response_to_growth_factor_stimulus
ENSMUSG00000031565	Fgfr1	GO:0071363	cellular response to growth factor stimulus	cellular_response_to_growth_factor_stimulus
ENSMUSG00000021733	Slc4a7	GO:0071363	cellular response to growth factor stimulus	cellular_response_to_growth_factor_stimulus
ENSMUSG00000026281	Dtymk	GO:0071363	cellular response to growth factor stimulus	cellular_response_to_growth_factor_stimulus
ENSMUSG00000030849	Fgfr2	GO:0071363	cellular response to growth factor stimulus	cellular_response_to_growth_factor_stimulus
ENSMUSG00000000530	Acvrl1	GO:0071363	cellular response to growth factor stimulus	cellular_response_to_growth_factor_stimulus
ENSMUSG00000000532	Acvr1b	GO:0071363	cellular response to growth factor stimulus	cellular_response_to_growth_factor_stimulus
ENSMUSG00000023047	Amhr2	GO:0071363	cellular response to growth factor stimulus	cellular_response_to_growth_factor_stimulus
ENSMUSG00000065555	Mir219a-1	GO:0071363	cellular response to growth factor stimulus	cellular_response_to_growth_factor_stimulus
ENSMUSG00000035486	Plk5	GO:0071363	cellular response to growth factor stimulus	cellular_response_to_growth_factor_stimulus
