ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000019433	Gipc1	GO:0098761	cellular response to interleukin-7	cellular_response_to_interleukin-7
ENSMUSG00000031264	Btk	GO:0098761	cellular response to interleukin-7	cellular_response_to_interleukin-7
ENSMUSG00000059040	Eno1b	GO:0098761	cellular response to interleukin-7	cellular_response_to_interleukin-7
ENSMUSG00000063524	Eno1	GO:0098761	cellular response to interleukin-7	cellular_response_to_interleukin-7
ENSMUSG00000025980	Hspd1	GO:0098761	cellular response to interleukin-7	cellular_response_to_interleukin-7
ENSMUSG00000025393	Atp5b	GO:0098761	cellular response to interleukin-7	cellular_response_to_interleukin-7
ENSMUSG00000066551	Hmgb1	GO:0098761	cellular response to interleukin-7	cellular_response_to_interleukin-7
ENSMUSG00000024966	Stip1	GO:0098761	cellular response to interleukin-7	cellular_response_to_interleukin-7
ENSMUSG00000027248	Pdia3	GO:0098761	cellular response to interleukin-7	cellular_response_to_interleukin-7
ENSMUSG00000025130	P4hb	GO:0098761	cellular response to interleukin-7	cellular_response_to_interleukin-7
ENSMUSG00000006134	Crkl	GO:0098761	cellular response to interleukin-7	cellular_response_to_interleukin-7
ENSMUSG00000028639	Ybx1	GO:0098761	cellular response to interleukin-7	cellular_response_to_interleukin-7
ENSMUSG00000026192	Atic	GO:0098761	cellular response to interleukin-7	cellular_response_to_interleukin-7
ENSMUSG00000028426	Rad23b	GO:0098761	cellular response to interleukin-7	cellular_response_to_interleukin-7
ENSMUSG00000004897	Hdgf	GO:0098761	cellular response to interleukin-7	cellular_response_to_interleukin-7
ENSMUSG00000018819	Lsp1	GO:0098761	cellular response to interleukin-7	cellular_response_to_interleukin-7
ENSMUSG00000007850	Hnrnph1	GO:0098761	cellular response to interleukin-7	cellular_response_to_interleukin-7
