ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000033107	Rnf125	GO:1990830	cellular response to leukemia inhibitory factor	cellular_response_to_leukemia_inhibitory_factor
ENSMUSG00000024317	Rnf138	GO:1990830	cellular response to leukemia inhibitory factor	cellular_response_to_leukemia_inhibitory_factor
ENSMUSG00000104582	Mir380	GO:1990830	cellular response to leukemia inhibitory factor	cellular_response_to_leukemia_inhibitory_factor
ENSMUSG00000065617	Mir323	GO:1990830	cellular response to leukemia inhibitory factor	cellular_response_to_leukemia_inhibitory_factor
ENSMUSG00000070141	Mir494	GO:1990830	cellular response to leukemia inhibitory factor	cellular_response_to_leukemia_inhibitory_factor
ENSMUSG00000076145	Mir679	GO:1990830	cellular response to leukemia inhibitory factor	cellular_response_to_leukemia_inhibitory_factor
ENSMUSG00000105178	Mir376a	GO:1990830	cellular response to leukemia inhibitory factor	cellular_response_to_leukemia_inhibitory_factor
ENSMUSG00000098807	Mir300	GO:1990830	cellular response to leukemia inhibitory factor	cellular_response_to_leukemia_inhibitory_factor
ENSMUSG00000098838	Mir381	GO:1990830	cellular response to leukemia inhibitory factor	cellular_response_to_leukemia_inhibitory_factor
ENSMUSG00000076063	Mir539	GO:1990830	cellular response to leukemia inhibitory factor	cellular_response_to_leukemia_inhibitory_factor
ENSMUSG00000077001	Mir544	GO:1990830	cellular response to leukemia inhibitory factor	cellular_response_to_leukemia_inhibitory_factor
ENSMUSG00000076458	Mir764	GO:1990830	cellular response to leukemia inhibitory factor	cellular_response_to_leukemia_inhibitory_factor
ENSMUSG00000065428	Mir382	GO:1990830	cellular response to leukemia inhibitory factor	cellular_response_to_leukemia_inhibitory_factor
ENSMUSG00000070128	Mir485	GO:1990830	cellular response to leukemia inhibitory factor	cellular_response_to_leukemia_inhibitory_factor
ENSMUSG00000105849	Mir409	GO:1990830	cellular response to leukemia inhibitory factor	cellular_response_to_leukemia_inhibitory_factor
ENSMUSG00000065561	Mir369	GO:1990830	cellular response to leukemia inhibitory factor	cellular_response_to_leukemia_inhibitory_factor
ENSMUSG00000065497	Mir410	GO:1990830	cellular response to leukemia inhibitory factor	cellular_response_to_leukemia_inhibitory_factor
ENSMUSG00000076286	Mir672	GO:1990830	cellular response to leukemia inhibitory factor	cellular_response_to_leukemia_inhibitory_factor
