ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000022789	Dnm1l	GO:0071396	cellular response to lipid	cellular_response_to_lipid
ENSMUSG00000023992	Trem2	GO:0071396	cellular response to lipid	cellular_response_to_lipid
ENSMUSG00000078686	Mup9	GO:0071396	cellular response to lipid	cellular_response_to_lipid
ENSMUSG00000073834	Mup11	GO:0071396	cellular response to lipid	cellular_response_to_lipid
ENSMUSG00000094793	Mup12	GO:0071396	cellular response to lipid	cellular_response_to_lipid
ENSMUSG00000078675	Mup16	GO:0071396	cellular response to lipid	cellular_response_to_lipid
ENSMUSG00000078674	Mup18	GO:0071396	cellular response to lipid	cellular_response_to_lipid
ENSMUSG00000078673	Mup19	GO:0071396	cellular response to lipid	cellular_response_to_lipid
ENSMUSG00000058523	Mup5	GO:0071396	cellular response to lipid	cellular_response_to_lipid
ENSMUSG00000021457	Syk	GO:0071396	cellular response to lipid	cellular_response_to_lipid
ENSMUSG00000034330	Plcg2	GO:0071396	cellular response to lipid	cellular_response_to_lipid
ENSMUSG00000024959	Bad	GO:0071396	cellular response to lipid	cellular_response_to_lipid
ENSMUSG00000009406	Elk1	GO:0071396	cellular response to lipid	cellular_response_to_lipid
ENSMUSG00000041333	Mup4	GO:0071396	cellular response to lipid	cellular_response_to_lipid
ENSMUSG00000000320	Alox12	GO:0071396	cellular response to lipid	cellular_response_to_lipid
