ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000000303	Cdh1	GO:0071285	cellular response to lithium ion	cellular_response_to_lithium_ion
ENSMUSG00000024778	Fas	GO:0071285	cellular response to lithium ion	cellular_response_to_lithium_ion
ENSMUSG00000020644	Id2	GO:0071285	cellular response to lithium ion	cellular_response_to_lithium_ion
ENSMUSG00000062515	Fabp4	GO:0071285	cellular response to lithium ion	cellular_response_to_lithium_ion
ENSMUSG00000021615	Xrcc4	GO:0071285	cellular response to lithium ion	cellular_response_to_lithium_ion
ENSMUSG00000003031	Cdkn1b	GO:0071285	cellular response to lithium ion	cellular_response_to_lithium_ion
ENSMUSG00000023411	Nfatc4	GO:0071285	cellular response to lithium ion	cellular_response_to_lithium_ion
ENSMUSG00000049717	Lig4	GO:0071285	cellular response to lithium ion	cellular_response_to_lithium_ion
ENSMUSG00000057177	Gsk3a	GO:0071285	cellular response to lithium ion	cellular_response_to_lithium_ion
ENSMUSG00000003814	Calr	GO:0071285	cellular response to lithium ion	cellular_response_to_lithium_ion
ENSMUSG00000031659	Adcy7	GO:0071285	cellular response to lithium ion	cellular_response_to_lithium_ion
ENSMUSG00000002633	Shh	GO:0071285	cellular response to lithium ion	cellular_response_to_lithium_ion
ENSMUSG00000034957	Cebpa	GO:0071285	cellular response to lithium ion	cellular_response_to_lithium_ion
ENSMUSG00000020805	Slc13a5	GO:0071285	cellular response to lithium ion	cellular_response_to_lithium_ion
ENSMUSG00000026459	Myog	GO:0071285	cellular response to lithium ion	cellular_response_to_lithium_ion
ENSMUSG00000001095	Slc13a2	GO:0071285	cellular response to lithium ion	cellular_response_to_lithium_ion
