ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000048799	Cep120	GO:0005813	centrosome	centrosome
ENSMUSG00000022812	Gsk3b	GO:0005813	centrosome	centrosome
ENSMUSG00000022678	Nde1	GO:0005813	centrosome	centrosome
ENSMUSG00000022677	Cep20	GO:0005813	centrosome	centrosome
ENSMUSG00000024603	Dctn4	GO:0005813	centrosome	centrosome
ENSMUSG00000022671	Mzt2	GO:0005813	centrosome	centrosome
ENSMUSG00000021363	Mak	GO:0005813	centrosome	centrosome
ENSMUSG00000031592	Pcm1	GO:0005813	centrosome	centrosome
ENSMUSG00000040040	Ift88	GO:0005813	centrosome	centrosome
ENSMUSG00000031347	Cetn2	GO:0005813	centrosome	centrosome
ENSMUSG00000022064	Pibf1	GO:0005813	centrosome	centrosome
ENSMUSG00000005699	Pard6a	GO:0005813	centrosome	centrosome
ENSMUSG00000013155	Enkd1	GO:0005813	centrosome	centrosome
ENSMUSG00000018707	Dync1h1	GO:0005813	centrosome	centrosome
ENSMUSG00000022364	Tbc1d31	GO:0005813	centrosome	centrosome
ENSMUSG00000027778	Ift80	GO:0005813	centrosome	centrosome
ENSMUSG00000021965	Ska3	GO:0005813	centrosome	centrosome
ENSMUSG00000033502	Cdc14a	GO:0005813	centrosome	centrosome
ENSMUSG00000031511	Arhgef7	GO:0005813	centrosome	centrosome
ENSMUSG00000095098	Ccdc85b	GO:0005813	centrosome	centrosome
ENSMUSG00000043065	Spice1	GO:0005813	centrosome	centrosome
ENSMUSG00000046351	Zfp322a	GO:0005813	centrosome	centrosome
ENSMUSG00000021022	Ppp2r3c	GO:0005813	centrosome	centrosome
ENSMUSG00000031371	Haus7	GO:0005813	centrosome	centrosome
ENSMUSG00000035620	Ric8b	GO:0005813	centrosome	centrosome
ENSMUSG00000020580	Rock2	GO:0005813	centrosome	centrosome
ENSMUSG00000034290	Nek9	GO:0005813	centrosome	centrosome
ENSMUSG00000018040	Rrp7a	GO:0005813	centrosome	centrosome
ENSMUSG00000036438	Calm2	GO:0005813	centrosome	centrosome
ENSMUSG00000057335	Cep170	GO:0005813	centrosome	centrosome
ENSMUSG00000036923	Stox1	GO:0005813	centrosome	centrosome
ENSMUSG00000005871	Apc	GO:0005813	centrosome	centrosome
ENSMUSG00000031913	Vps4a	GO:0005813	centrosome	centrosome
ENSMUSG00000020212	Mdm1	GO:0005813	centrosome	centrosome
ENSMUSG00000012609	Ttll5	GO:0005813	centrosome	centrosome
ENSMUSG00000046753	Ccdc66	GO:0005813	centrosome	centrosome
ENSMUSG00000026504	Sdccag8	GO:0005813	centrosome	centrosome
ENSMUSG00000021375	Kif13a	GO:0005813	centrosome	centrosome
ENSMUSG00000032965	Ift57	GO:0005813	centrosome	centrosome
ENSMUSG00000023345	Poc1a	GO:0005813	centrosome	centrosome
ENSMUSG00000025437	Usp33	GO:0005813	centrosome	centrosome
ENSMUSG00000078941	Ak6	GO:0005813	centrosome	centrosome
ENSMUSG00000049154	Fam183b	GO:0005813	centrosome	centrosome
