ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000000167	Pih1d2	GO:0101031	chaperone complex	chaperone_complex
ENSMUSG00000030079	Ruvbl1	GO:0101031	chaperone complex	chaperone_complex
ENSMUSG00000020973	Dnaaf2	GO:0101031	chaperone complex	chaperone_complex
ENSMUSG00000024537	Psmg2	GO:0101031	chaperone complex	chaperone_complex
ENSMUSG00000022913	Psmg1	GO:0101031	chaperone complex	chaperone_complex
ENSMUSG00000037617	Spag1	GO:0101031	chaperone complex	chaperone_complex
ENSMUSG00000059355	Wdr83os	GO:0101031	chaperone complex	chaperone_complex
ENSMUSG00000022466	Rpap3	GO:0101031	chaperone complex	chaperone_complex
ENSMUSG00000026812	Tsc1	GO:0101031	chaperone complex	chaperone_complex
ENSMUSG00000071072	Ptges3	GO:0101031	chaperone complex	chaperone_complex
ENSMUSG00000004460	Dnajb11	GO:0101031	chaperone complex	chaperone_complex
ENSMUSG00000021811	Dnajc9	GO:0101031	chaperone complex	chaperone_complex
ENSMUSG00000019471	Cdc37	GO:0101031	chaperone complex	chaperone_complex
ENSMUSG00000024966	Stip1	GO:0101031	chaperone complex	chaperone_complex
ENSMUSG00000030847	Bag3	GO:0101031	chaperone complex	chaperone_complex
ENSMUSG00000022769	Sdf2l1	GO:0101031	chaperone complex	chaperone_complex
ENSMUSG00000022556	Hsf1	GO:0101031	chaperone complex	chaperone_complex
ENSMUSG00000041548	Hspb8	GO:0101031	chaperone complex	chaperone_complex
ENSMUSG00000039615	Stub1	GO:0101031	chaperone complex	chaperone_complex
ENSMUSG00000042215	Bag2	GO:0101031	chaperone complex	chaperone_complex
ENSMUSG00000015656	Hspa8	GO:0101031	chaperone complex	chaperone_complex
ENSMUSG00000003099	Ppp5c	GO:0101031	chaperone complex	chaperone_complex
ENSMUSG00000078622	Ccdc47	GO:0101031	chaperone complex	chaperone_complex
ENSMUSG00000002064	Sdf2	GO:0101031	chaperone complex	chaperone_complex
ENSMUSG00000003868	Ruvbl2	GO:0101031	chaperone complex	chaperone_complex
