ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000022234	Cct5	GO:0005832	chaperonin-containing T-complex	chaperonin-containing_T-complex
ENSMUSG00000025613	Cct8	GO:0005832	chaperonin-containing T-complex	chaperonin-containing_T-complex
ENSMUSG00000001416	Cct3	GO:0005832	chaperonin-containing T-complex	chaperonin-containing_T-complex
ENSMUSG00000068039	Tcp1	GO:0005832	chaperonin-containing T-complex	chaperonin-containing_T-complex
ENSMUSG00000030007	Cct7	GO:0005832	chaperonin-containing T-complex	chaperonin-containing_T-complex
ENSMUSG00000020698	Cct6b	GO:0005832	chaperonin-containing T-complex	chaperonin-containing_T-complex
ENSMUSG00000038044	Cct8l1	GO:0005832	chaperonin-containing T-complex	chaperonin-containing_T-complex
ENSMUSG00000034024	Cct2	GO:0005832	chaperonin-containing T-complex	chaperonin-containing_T-complex
ENSMUSG00000029447	Cct6a	GO:0005832	chaperonin-containing T-complex	chaperonin-containing_T-complex
ENSMUSG00000007739	Cct4	GO:0005832	chaperonin-containing T-complex	chaperonin-containing_T-complex
