ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000026166	Ccl20	GO:0042379	chemokine receptor binding	chemokine_receptor_binding
ENSMUSG00000023235	Ccl25	GO:0042379	chemokine receptor binding	chemokine_receptor_binding
ENSMUSG00000026573	Xcl1	GO:0042379	chemokine receptor binding	chemokine_receptor_binding
ENSMUSG00000061353	Cxcl12	GO:0042379	chemokine receptor binding	chemokine_receptor_binding
ENSMUSG00000043953	Ccrl2	GO:0042379	chemokine receptor binding	chemokine_receptor_binding
ENSMUSG00000042306	S100a14	GO:0042379	chemokine receptor binding	chemokine_receptor_binding
ENSMUSG00000095675	Ccl21b	GO:0042379	chemokine receptor binding	chemokine_receptor_binding
ENSMUSG00000096596	Gm10591	GO:0042379	chemokine receptor binding	chemokine_receptor_binding
ENSMUSG00000071005	Ccl19	GO:0042379	chemokine receptor binding	chemokine_receptor_binding
ENSMUSG00000094686	Ccl21a	GO:0042379	chemokine receptor binding	chemokine_receptor_binding
ENSMUSG00000035042	Ccl5	GO:0042379	chemokine receptor binding	chemokine_receptor_binding
ENSMUSG00000094065	Ccl21d	GO:0042379	chemokine receptor binding	chemokine_receptor_binding
ENSMUSG00000073878	Gm13304	GO:0042379	chemokine receptor binding	chemokine_receptor_binding
ENSMUSG00000018920	Cxcl16	GO:0042379	chemokine receptor binding	chemokine_receptor_binding
