ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000031340	Gabre	GO:0005254	chloride channel activity	chloride_channel_activity
ENSMUSG00000031343	Gabra3	GO:0005254	chloride channel activity	chloride_channel_activity
ENSMUSG00000031344	Gabrq	GO:0005254	chloride channel activity	chloride_channel_activity
ENSMUSG00000029862	Clcn1	GO:0005254	chloride channel activity	chloride_channel_activity
ENSMUSG00000028020	Glrb	GO:0005254	chloride channel activity	chloride_channel_activity
ENSMUSG00000001260	Gabrg1	GO:0005254	chloride channel activity	chloride_channel_activity
ENSMUSG00000000560	Gabra2	GO:0005254	chloride channel activity	chloride_channel_activity
ENSMUSG00000035189	Ano4	GO:0005254	chloride channel activity	chloride_channel_activity
ENSMUSG00000029211	Gabra4	GO:0005254	chloride channel activity	chloride_channel_activity
ENSMUSG00000019935	Slc17a8	GO:0005254	chloride channel activity	chloride_channel_activity
ENSMUSG00000029212	Gabrb1	GO:0005254	chloride channel activity	chloride_channel_activity
ENSMUSG00000074991	Gabrr3	GO:0005254	chloride channel activity	chloride_channel_activity
ENSMUSG00000004317	Clcn5	GO:0005254	chloride channel activity	chloride_channel_activity
ENSMUSG00000038257	Glra3	GO:0005254	chloride channel activity	chloride_channel_activity
ENSMUSG00000004319	Clcn3	GO:0005254	chloride channel activity	chloride_channel_activity
ENSMUSG00000052819	Best2	GO:0005254	chloride channel activity	chloride_channel_activity
ENSMUSG00000055811	Cldn17	GO:0005254	chloride channel activity	chloride_channel_activity
ENSMUSG00000064210	Ano6	GO:0005254	chloride channel activity	chloride_channel_activity
ENSMUSG00000037418	Best1	GO:0005254	chloride channel activity	chloride_channel_activity
ENSMUSG00000022843	Clcn2	GO:0005254	chloride channel activity	chloride_channel_activity
ENSMUSG00000020159	Gabrp	GO:0005254	chloride channel activity	chloride_channel_activity
ENSMUSG00000038115	Ano2	GO:0005254	chloride channel activity	chloride_channel_activity
ENSMUSG00000020436	Gabrg2	GO:0005254	chloride channel activity	chloride_channel_activity
ENSMUSG00000010803	Gabra1	GO:0005254	chloride channel activity	chloride_channel_activity
ENSMUSG00000020428	Gabra6	GO:0005254	chloride channel activity	chloride_channel_activity
ENSMUSG00000007653	Gabrb2	GO:0005254	chloride channel activity	chloride_channel_activity
