ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000043811	Rtn4r	GO:0035374	chondroitin sulfate binding	chondroitin_sulfate_binding
ENSMUSG00000032343	Impg1	GO:0035374	chondroitin sulfate binding	chondroitin_sulfate_binding
ENSMUSG00000028356	Ambp	GO:0035374	chondroitin sulfate binding	chondroitin_sulfate_binding
ENSMUSG00000024501	Dpysl3	GO:0035374	chondroitin sulfate binding	chondroitin_sulfate_binding
ENSMUSG00000041936	Agrn	GO:0035374	chondroitin sulfate binding	chondroitin_sulfate_binding
ENSMUSG00000029838	Ptn	GO:0035374	chondroitin sulfate binding	chondroitin_sulfate_binding
ENSMUSG00000018340	Anxa6	GO:0035374	chondroitin sulfate binding	chondroitin_sulfate_binding
ENSMUSG00000013236	Ptprs	GO:0035374	chondroitin sulfate binding	chondroitin_sulfate_binding
ENSMUSG00000045287	Rtn4rl1	GO:0035374	chondroitin sulfate binding	chondroitin_sulfate_binding
ENSMUSG00000027239	Mdk	GO:0035374	chondroitin sulfate binding	chondroitin_sulfate_binding
