ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000031684	Slc10a7	GO:0005801	cis-Golgi network	cis-Golgi_network
ENSMUSG00000021248	Tmed10	GO:0005801	cis-Golgi network	cis-Golgi_network
ENSMUSG00000020993	Trappc6b	GO:0005801	cis-Golgi network	cis-Golgi_network
ENSMUSG00000021257	Angel1	GO:0005801	cis-Golgi network	cis-Golgi_network
ENSMUSG00000041417	Pik3r1	GO:0005801	cis-Golgi network	cis-Golgi_network
ENSMUSG00000024941	Scyl1	GO:0005801	cis-Golgi network	cis-Golgi_network
ENSMUSG00000040407	Akap9	GO:0005801	cis-Golgi network	cis-Golgi_network
ENSMUSG00000022270	Retreg1	GO:0005801	cis-Golgi network	cis-Golgi_network
ENSMUSG00000062526	Mppe1	GO:0005801	cis-Golgi network	cis-Golgi_network
ENSMUSG00000041205	Map6d1	GO:0005801	cis-Golgi network	cis-Golgi_network
ENSMUSG00000024085	Man2a1	GO:0005801	cis-Golgi network	cis-Golgi_network
ENSMUSG00000010392	Gosr1	GO:0005801	cis-Golgi network	cis-Golgi_network
ENSMUSG00000038256	Bcl9	GO:0005801	cis-Golgi network	cis-Golgi_network
ENSMUSG00000021188	Trip11	GO:0005801	cis-Golgi network	cis-Golgi_network
ENSMUSG00000063406	Tmed5	GO:0005801	cis-Golgi network	cis-Golgi_network
ENSMUSG00000025224	Gbf1	GO:0005801	cis-Golgi network	cis-Golgi_network
ENSMUSG00000020952	Scfd1	GO:0005801	cis-Golgi network	cis-Golgi_network
ENSMUSG00000034893	Cog3	GO:0005801	cis-Golgi network	cis-Golgi_network
ENSMUSG00000021541	Trpc7	GO:0005801	cis-Golgi network	cis-Golgi_network
ENSMUSG00000029103	Lrpap1	GO:0005801	cis-Golgi network	cis-Golgi_network
ENSMUSG00000010830	Kdelr3	GO:0005801	cis-Golgi network	cis-Golgi_network
ENSMUSG00000002043	Trappc6a	GO:0005801	cis-Golgi network	cis-Golgi_network
ENSMUSG00000026433	Rab29	GO:0005801	cis-Golgi network	cis-Golgi_network
ENSMUSG00000047694	Yipf6	GO:0005801	cis-Golgi network	cis-Golgi_network
ENSMUSG00000058388	Phtf1	GO:0005801	cis-Golgi network	cis-Golgi_network
ENSMUSG00000034243	Golgb1	GO:0005801	cis-Golgi network	cis-Golgi_network
ENSMUSG00000020634	Ubxn2a	GO:0005801	cis-Golgi network	cis-Golgi_network
ENSMUSG00000030643	Rab30	GO:0005801	cis-Golgi network	cis-Golgi_network
ENSMUSG00000019997	Ccn2	GO:0005801	cis-Golgi network	cis-Golgi_network
ENSMUSG00000001105	Ift20	GO:0005801	cis-Golgi network	cis-Golgi_network
ENSMUSG00000071649	B3gat3	GO:0005801	cis-Golgi network	cis-Golgi_network
ENSMUSG00000021192	Golga5	GO:0005801	cis-Golgi network	cis-Golgi_network
ENSMUSG00000055407	Map6	GO:0005801	cis-Golgi network	cis-Golgi_network
ENSMUSG00000037234	Hook3	GO:0005801	cis-Golgi network	cis-Golgi_network
ENSMUSG00000020451	Limk2	GO:0005801	cis-Golgi network	cis-Golgi_network
ENSMUSG00000032757	Bet1	GO:0005801	cis-Golgi network	cis-Golgi_network
ENSMUSG00000002546	Golga2	GO:0005801	cis-Golgi network	cis-Golgi_network
ENSMUSG00000017664	Slc35c2	GO:0005801	cis-Golgi network	cis-Golgi_network
ENSMUSG00000028414	Fktn	GO:0005801	cis-Golgi network	cis-Golgi_network
ENSMUSG00000028789	Azin2	GO:0005801	cis-Golgi network	cis-Golgi_network
ENSMUSG00000002778	Kdelr1	GO:0005801	cis-Golgi network	cis-Golgi_network
ENSMUSG00000079111	Kdelr2	GO:0005801	cis-Golgi network	cis-Golgi_network
ENSMUSG00000030824	Nucb1	GO:0005801	cis-Golgi network	cis-Golgi_network
