ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000005698	Ctcf	GO:0000793	condensed chromosome	condensed_chromosome
ENSMUSG00000024844	Banf1	GO:0000793	condensed chromosome	condensed_chromosome
ENSMUSG00000021245	Mlh3	GO:0000793	condensed chromosome	condensed_chromosome
ENSMUSG00000022779	Top3b	GO:0000793	condensed chromosome	condensed_chromosome
ENSMUSG00000031715	Smarca5	GO:0000793	condensed chromosome	condensed_chromosome
ENSMUSG00000000751	Rpa1	GO:0000793	condensed chromosome	condensed_chromosome
ENSMUSG00000021255	Esrrb	GO:0000793	condensed chromosome	condensed_chromosome
ENSMUSG00000005493	Msh4	GO:0000793	condensed chromosome	condensed_chromosome
ENSMUSG00000047710	Champ1	GO:0000793	condensed chromosome	condensed_chromosome
ENSMUSG00000008690	Ncaph2	GO:0000793	condensed chromosome	condensed_chromosome
ENSMUSG00000020914	Top2a	GO:0000793	condensed chromosome	condensed_chromosome
ENSMUSG00000015937	Macroh2a1	GO:0000793	condensed chromosome	condensed_chromosome
ENSMUSG00000066551	Hmgb1	GO:0000793	condensed chromosome	condensed_chromosome
ENSMUSG00000025358	Cdk2	GO:0000793	condensed chromosome	condensed_chromosome
ENSMUSG00000032126	Hmbs	GO:0000793	condensed chromosome	condensed_chromosome
ENSMUSG00000028271	Gtf2b	GO:0000793	condensed chromosome	condensed_chromosome
ENSMUSG00000034639	Setmar	GO:0000793	condensed chromosome	condensed_chromosome
ENSMUSG00000017146	Brca1	GO:0000793	condensed chromosome	condensed_chromosome
ENSMUSG00000002324	Rec8	GO:0000793	condensed chromosome	condensed_chromosome
ENSMUSG00000072235	Tuba1a	GO:0000793	condensed chromosome	condensed_chromosome
ENSMUSG00000024045	Akap8	GO:0000793	condensed chromosome	condensed_chromosome
ENSMUSG00000032498	Mlh1	GO:0000793	condensed chromosome	condensed_chromosome
ENSMUSG00000054717	Hmgb2	GO:0000793	condensed chromosome	condensed_chromosome
ENSMUSG00000015880	Ncapg	GO:0000793	condensed chromosome	condensed_chromosome
ENSMUSG00000049717	Lig4	GO:0000793	condensed chromosome	condensed_chromosome
ENSMUSG00000035576	L3mbtl1	GO:0000793	condensed chromosome	condensed_chromosome
ENSMUSG00000020430	Pes1	GO:0000793	condensed chromosome	condensed_chromosome
ENSMUSG00000031004	Mki67	GO:0000793	condensed chromosome	condensed_chromosome
ENSMUSG00000038252	Ncapd2	GO:0000793	condensed chromosome	condensed_chromosome
ENSMUSG00000028312	Smc2	GO:0000793	condensed chromosome	condensed_chromosome
ENSMUSG00000034023	Fancd2	GO:0000793	condensed chromosome	condensed_chromosome
ENSMUSG00000002748	Baz1b	GO:0000793	condensed chromosome	condensed_chromosome
ENSMUSG00000070837	Aurkc	GO:0000793	condensed chromosome	condensed_chromosome
ENSMUSG00000027323	Rad51	GO:0000793	condensed chromosome	condensed_chromosome
ENSMUSG00000036202	Rif1	GO:0000793	condensed chromosome	condensed_chromosome
