ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000041731	Pgm5	GO:0043034	costamere	costamere
ENSMUSG00000027680	Fxr1	GO:0043034	costamere	costamere
ENSMUSG00000041476	Smpx	GO:0043034	costamere	costamere
ENSMUSG00000032826	Ank2	GO:0043034	costamere	costamere
ENSMUSG00000030890	Ilk	GO:0043034	costamere	costamere
ENSMUSG00000069601	Ank3	GO:0043034	costamere	costamere
ENSMUSG00000020911	Krt19	GO:0043034	costamere	costamere
ENSMUSG00000030554	Synm	GO:0043034	costamere	costamere
ENSMUSG00000045103	Dmd	GO:0043034	costamere	costamere
ENSMUSG00000039952	Dag1	GO:0043034	costamere	costamere
ENSMUSG00000024236	Svil	GO:0043034	costamere	costamere
ENSMUSG00000049382	Krt8	GO:0043034	costamere	costamere
ENSMUSG00000007617	Homer1	GO:0043034	costamere	costamere
ENSMUSG00000021823	Vcl	GO:0043034	costamere	costamere
ENSMUSG00000118667	Ahnak2	GO:0043034	costamere	costamere
ENSMUSG00000069833	Ahnak	GO:0043034	costamere	costamere
ENSMUSG00000017009	Sdc4	GO:0043034	costamere	costamere
ENSMUSG00000062825	Actg1	GO:0043034	costamere	costamere
