ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000096680		GO:0005737	cytoplasm	cytoplasm
ENSMUSG00000095505		GO:0005737	cytoplasm	cytoplasm
ENSMUSG00000094741		GO:0005737	cytoplasm	cytoplasm
ENSMUSG00000094887		GO:0005737	cytoplasm	cytoplasm
ENSMUSG00000096236		GO:0005737	cytoplasm	cytoplasm
ENSMUSG00000100535	Gm20870	GO:0005737	cytoplasm	cytoplasm
ENSMUSG00000099782	Gm20903	GO:0005737	cytoplasm	cytoplasm
ENSMUSG00000101157	Gm20905	GO:0005737	cytoplasm	cytoplasm
ENSMUSG00000101146	Gm20814	GO:0005737	cytoplasm	cytoplasm
ENSMUSG00000100902	Gm20850	GO:0005737	cytoplasm	cytoplasm
ENSMUSG00000100892	Gm20897	GO:0005737	cytoplasm	cytoplasm
ENSMUSG00000102122	Gm20883	GO:0005737	cytoplasm	cytoplasm
ENSMUSG00000099856	Gm20906	GO:0005737	cytoplasm	cytoplasm
ENSMUSG00000100045	Gm20929	GO:0005737	cytoplasm	cytoplasm
ENSMUSG00000101766	Gm20908	GO:0005737	cytoplasm	cytoplasm
ENSMUSG00000103919	Gm21366	GO:0005737	cytoplasm	cytoplasm
ENSMUSG00000069053	Uba1y	GO:0005737	cytoplasm	cytoplasm
ENSMUSG00000069045	Ddx3y	GO:0005737	cytoplasm	cytoplasm
ENSMUSG00000069036	Sry	GO:0005737	cytoplasm	cytoplasm
ENSMUSG00000101155	Sly	GO:0005737	cytoplasm	cytoplasm
ENSMUSG00000094570	Gm20931	GO:0005737	cytoplasm	cytoplasm
ENSMUSG00000094746	Gm20916	GO:0005737	cytoplasm	cytoplasm
ENSMUSG00000095793	Gm20855	GO:0005737	cytoplasm	cytoplasm
ENSMUSG00000096650	Gm20896	GO:0005737	cytoplasm	cytoplasm
ENSMUSG00000099531	Gm20869	GO:0005737	cytoplasm	cytoplasm
ENSMUSG00000099840	Gm21409	GO:0005737	cytoplasm	cytoplasm
ENSMUSG00000100485	Gm20920	GO:0005737	cytoplasm	cytoplasm
ENSMUSG00000101158	Gm20894	GO:0005737	cytoplasm	cytoplasm
ENSMUSG00000101286	Gm21317	GO:0005737	cytoplasm	cytoplasm
ENSMUSG00000101933	Gm20835	GO:0005737	cytoplasm	cytoplasm
ENSMUSG00000094399	Gm21477	GO:0005737	cytoplasm	cytoplasm
ENSMUSG00000024304	Cdh2	GO:0005737	cytoplasm	cytoplasm
ENSMUSG00000048799	Cep120	GO:0005737	cytoplasm	cytoplasm
ENSMUSG00000073563	Csnk1g3	GO:0005737	cytoplasm	cytoplasm
ENSMUSG00000059898	Dsc3	GO:0005737	cytoplasm	cytoplasm
ENSMUSG00000060657	Marf1	GO:0005737	cytoplasm	cytoplasm
ENSMUSG00000022812	Gsk3b	GO:0005737	cytoplasm	cytoplasm
ENSMUSG00000022678	Nde1	GO:0005737	cytoplasm	cytoplasm
